"Block Group","Census Tract","County","State","total_population","total_hous_units","total_occ_hous_units","total_vac_hous_units","total_own_occ_units","total_rent_occ_units","total_for_rent_units","total_rented_non_occ","total_for_sale_units","total_sold_non_occ_units","med_rent_over_income","owner_hous_val_25th_per","owner_hous_val_50th_per","owner_hous_val_75th_per","med_owner_cost_mortg","med_owner_cost_no_mortg","med_cost_over_income_mortg","med_cost_over_income_no_mortg","med_hous_cost","med_fam_income","med_non_fam_income","med_rent_0_bed","med_rent_1_bed","med_rent_2_bed","med_rent_3_bed","med_rent_4_bed","med_rent_5_plus_bed","med_rent","tot_white","tot_black","tot_native","tot_asian","tot_pacific","tot_other","tot_two_plus","median_age","median_male_age","median_female_age","tot_households","family_households","family_married_households","family_other_households","non_family_households","non_family_households_alone","non_family_households_not_alone","two_person_family","three_person_family","four_person_family","five_person_family","six_person_family","seven_plus_person_family","one_person_nonfamily","two_person_nonfamily","three_person_nonfamily","four_person_nonfamily","five_person_nonfamily","six_person_nonfamily","seven_plus_person_nonfamily","labor_force","civilian_labor_force","civilian_labor_force_employ","civilian_labor_force_unemploy","military_labor_force","non_labor_force","agg_income_deficit","agg_income_deficit_married","agg_income_deficit_nonmarried","agg_income_deficit_no_wife","agg_income_deficit_no_husband","median_household_income","median_hh_income_own","median_hh_income_rent","no_schooling_completed","nursery_school","kindergarten","first_grade","second_grade","third_grade","fourth_grade","fifth_grade","sixth_grade","seventh_grade","eigth_grade","ninth_grade","tenth_grade","eleventh_grade","twelfth_grade_no_diploma","regular_high_school_diploma","ged_or_alternative_credential","some_college_less_than_1_year","some_college_1_or_more_years_no_degree","associates_degree","bachelors_degree","masters_degree","professional_school_degree","doctorate_degree","commute_car_truck_or_van","commute_drove_alone","commute_carpooled","commute_in_2_person_carpool","commute_in_3_person_carpool","commute_in_4_person_carpool","commute_in_5_or_6_person_carpool","commute_in_7_or_more_person_carpool","commute_public_transportation_excluding_taxicab","commute_bus_or_trolley_bus","commute_streetcar_or_trolley_car","commute_subway_or_elevated","commute_railroad","commute_ferryboat","commute_taxicab","commute_motorcycle","commute_bicycle","commute_walked","commute_other_means","commute_worked_at_home","hh_income_less_than_10000","hh_income_10000_to_14999","hh_income_15000_to_19999","hh_income_20000_to_24999","hh_income_25000_to_29999","hh_income_30000_to_34999","hh_income_35000_to_39999","hh_income_40000_to_44999","hh_income_45000_to_49999","hh_income_50000_to_59999","hh_income_60000_to_74999","hh_income_75000_to_99999","hh_income_100000_to_124999","hh_income_125000_to_149999","hh_income_150000_to_199999","hh_income_200_000_or_more","workers_no_vehicle_available","workers_1_vehicle_available","workers_2_vehicles_available","workers_3_vehicles_available","workers_4_vehicles_available","workers_5_plus_vehicles_available"
"Block Group 1","Census Tract 26","St. Joseph County","Indiana",1309,458,385,73,221,164,21,0,0,0,21.3,54300,60200,66900,724,283,38,10.5,NA,42083,40150,NA,NA,NA,NA,NA,NA,834,597,351,0,0,0,317,44,19.7,19.2,21.9,385,282,158,124,103,90,13,76,51,13,81,29,32,90,13,0,0,0,0,0,565,565,565,0,0,281,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,95,0,0,0,10,18,13,139,125,0,71,32,13,50,0,0,551,476,75,43,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,21,6,8,95,0,21,15,97,49,5,0,13,8,9,6,32,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 26","St. Joseph County","Indiana",602,317,292,25,203,89,0,0,0,0,NA,48700,59700,70900,692,298,20.1,12.1,NA,53438,NA,NA,NA,NA,NA,NA,NA,NA,467,88,0,0,0,47,0,48.8,43.5,55.7,292,134,101,33,158,158,0,85,24,0,18,0,7,158,0,0,0,0,0,0,262,262,233,29,0,229,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,7,0,28,68,80,11,102,22,55,61,22,0,0,0,0,218,211,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,99,6,0,28,46,0,0,43,0,19,0,31,20,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 26","St. Joseph County","Indiana",1420,517,517,0,431,86,0,0,0,0,30.9,65700,73700,79900,885,193,24.8,12.1,NA,46174,18844,NA,NA,NA,NA,NA,NA,475,795,350,0,0,0,235,40,28.8,30.1,28.3,517,295,232,63,222,180,42,81,42,84,50,26,12,180,42,0,0,0,0,0,563,563,557,6,0,303,NA,NA,NA,NA,NA,NA,NA,NA,18,0,0,0,0,0,6,0,10,0,23,27,79,0,0,203,123,20,122,32,68,25,0,0,511,464,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,54,11,120,0,67,26,0,42,60,92,42,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 34","St. Joseph County","Indiana",984,297,246,51,177,69,0,0,0,24,49,35600,51100,58600,694,364,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,932,479,230,0,0,0,170,105,21.7,21.8,20.9,246,159,97,62,87,47,40,5,31,71,35,0,17,47,29,11,0,0,0,0,502,502,366,136,0,237,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,42,0,36,0,0,6,9,17,19,0,92,43,10,102,99,9,0,0,0,351,341,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,21,24,53,0,5,32,0,9,11,0,78,13,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 34","St. Joseph County","Indiana",1492,499,433,66,119,314,12,0,0,0,40.2,58400,88300,135500,688,331,17.4,11.7,NA,22750,35532,NA,NA,NA,NA,NA,NA,523,455,863,0,0,0,30,144,23.6,34.6,12.3,433,359,157,202,74,74,0,177,17,45,69,51,0,74,0,0,0,0,0,0,487,487,462,25,0,328,2536700,NA,2536700,NA,2536700,NA,NA,NA,0,0,0,0,0,0,0,17,0,0,17,5,49,60,14,342,47,16,85,46,28,11,0,0,462,393,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,11,71,13,25,29,93,0,0,19,0,64,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 34","St. Joseph County","Indiana",1249,592,387,205,228,159,54,0,8,26,43.2,39300,51700,76100,779,350,18.9,10,NA,37407,18664,NA,NA,NA,NA,NA,NA,711,705,398,0,0,0,60,86,39.2,39.2,39,387,326,114,212,61,50,11,103,123,74,13,5,8,50,11,0,0,0,0,0,615,615,562,53,0,368,NA,NA,NA,NA,NA,NA,NA,NA,22,0,0,0,0,8,21,39,70,22,0,37,0,13,10,174,130,0,54,80,104,0,0,0,466,383,83,64,14,0,5,0,0,0,0,0,0,0,0,0,0,0,68,13,0,30,37,92,15,8,85,7,23,32,6,46,6,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 4","Census Tract 34","St. Joseph County","Indiana",462,307,225,82,78,147,31,0,0,0,26.3,25400,50500,59800,858,216,21.1,10,NA,60526,17829,NA,NA,NA,NA,NA,NA,692,288,126,0,0,0,19,29,50.2,40.7,53.6,225,126,18,108,99,99,0,106,14,0,0,0,6,99,0,0,0,0,0,0,274,274,258,16,0,148,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,11,0,0,0,0,87,28,36,25,11,39,17,13,61,42,20,11,0,0,230,175,55,42,0,11,0,2,16,16,0,0,0,0,0,0,0,0,0,0,26,8,32,15,0,11,48,0,0,18,31,36,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 35","St. Joseph County","Indiana",1531,731,641,90,373,268,28,0,39,0,17,56700,66800,77900,790,324,20.2,13.5,NA,31616,30326,NA,NA,NA,NA,NA,NA,486,1329,114,0,0,0,12,76,38.4,33.5,41.2,641,367,156,211,274,235,39,182,89,66,5,25,0,235,17,13,0,9,0,0,717,717,686,31,0,438,NA,NA,NA,NA,NA,NA,NA,NA,28,0,0,0,0,0,0,0,0,0,14,57,48,0,29,352,64,109,156,54,94,34,0,0,614,571,43,35,8,0,0,0,25,25,0,0,0,0,0,0,9,15,0,23,111,28,54,70,28,73,38,8,9,34,99,22,58,0,0,9,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 35","St. Joseph County","Indiana",1199,610,557,53,158,399,25,0,28,0,28,52500,58600,74700,863,234,17.4,10,NA,31643,26985,NA,NA,NA,NA,NA,NA,519,747,328,18,0,0,37,69,28,32.2,26.1,557,296,147,149,261,229,32,144,84,58,10,0,0,229,24,8,0,0,0,0,603,603,531,72,0,246,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,0,0,0,0,3,0,3,69,7,220,51,110,124,82,87,16,0,0,489,424,65,63,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,125,27,45,7,69,91,69,0,21,38,39,18,8,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 113.05","St. Joseph County","Indiana",2372,781,742,39,731,11,26,0,0,0,NA,165900,199700,279900,1531,479,16.5,10,NA,120179,32216,NA,NA,NA,NA,NA,NA,NA,2105,111,0,43,0,0,113,43.5,44,41.4,742,639,610,29,103,85,18,313,117,59,100,37,13,85,8,10,0,0,0,0,1081,1081,1033,48,0,675,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,38,0,0,0,0,0,0,0,0,0,27,108,15,33,163,111,530,312,126,116,937,867,70,32,0,0,0,38,8,8,0,0,0,0,0,0,0,0,0,62,15,7,0,16,8,44,15,48,22,7,75,65,100,47,124,149,NA,NA,NA,NA,NA,NA
