X,Y,OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,Side,User_fld,Addr_type,IN_Street,IN_City,IN_ZIP,IN_State,USER_Date,USER_Address,USER_City,USER_State,USER_Fatal,USER_Year
-86.212863177199836,41.669358140588677,1,Danielle-Cente,M,100,A,"700 S 24TH ST, SOUTH BEND, 46615",L,0,StreetAddress,700 S 24th St. ,South Bend,,IN,2017-09-05T05:00:00.000Z,700 S 24th St. ,South Bend,IN,No,2017
-86.211669466094008,41.671327259575641,2,Danielle-Cente,M,100,A,"500 S 25TH ST, SOUTH BEND, 46615",L,0,StreetAddress,500 S 25th St. ,South Bend,,IN,2016-10-19T05:00:00.000Z,500 S 25th St. ,South Bend,IN,Yes,2016
-86.210651849929178,41.706166250802845,3,Danielle-Cente,T,88.59,A,"54100 27TH ST, SOUTH BEND, 46635",L,0,StreetAddress,700 S 27th St. ,South Bend,,IN,2015-05-16T05:00:00.000Z,700 S 27th St. ,South Bend,IN,No,2015
-86.203825655065117,41.660457424047245,4,Danielle-Cente,M,100,A,"1300 S 31ST ST, SOUTH BEND, 46615",R,0,StreetAddress,1300 S 31st. St. ,South Bend,,IN,2016-12-11T05:00:00.000Z,1300 S 31st. St. ,South Bend,IN,Yes,2016
-86.199082041227783,41.662466499706767,5,Danielle-Cente,M,100,A,"1200 S 35TH ST, SOUTH BEND, 46615",R,0,StreetAddress,1200 S 35th St. ,South Bend,,IN,2017-08-01T05:00:00.000Z,1200 S 35th St. ,South Bend,IN,No,2017
-86.197846156852407,41.670290216750857,6,Danielle-Cente,M,100,A,"600 S 36TH ST, SOUTH BEND, 46615",L,0,StreetAddress,600 S 36th St. ,South Bend,,IN,2016-10-10T05:00:00.000Z,600 S 36th St. ,South Bend,IN,No,2016
-86.275180735355576,41.68755184607479,7,Danielle-Cente,M,100,A,"1000 N ADAMS ST, SOUTH BEND, 46628",R,0,StreetAddress,1000 N Adams St. ,South Bend,,IN,2015-08-17T05:00:00.000Z,1000 N Adams St. ,South Bend,IN,No,2015
-86.275258187613545,41.690830006224417,8,Danielle-Cente,M,79,A,"1201 N ADAMS ST, SOUTH BEND, 46628",L,0,StreetAddress,1200 N Adams St. ,South Bend,,IN,2015-12-08T05:00:00.000Z,1200 N Adams St. ,South Bend,IN,No,2015
-86.265784383080472,41.682962983006959,9,Danielle-Cente,M,100,A,"500 N ALLEN ST, SOUTH BEND, 46616",L,0,StreetAddress,500 N Allen St. ,South Bend,,IN,2015-12-26T05:00:00.000Z,500 N Allen St. ,South Bend,IN,No,2015
-86.266053949764839,41.683876559597714,10,Danielle-Cente,M,100,A,"700 N ALLEN ST, SOUTH BEND, 46616",R,0,StreetAddress,700 N Allen St. ,South Bend,,IN,2016-11-13T05:00:00.000Z,700 N Allen St. ,South Bend,IN,No,2016
-86.271409131644305,41.694757127469671,11,Danielle-Cente,M,100,A,"1500 N ANDERSON AV, SOUTH BEND, 46628",R,0,StreetAddress,1500 N Anderson Ave. ,South Bend,,IN,2016-01-18T05:00:00.000Z,1500 N Anderson Ave. ,South Bend,IN,Yes,2016
-86.233083403698458,41.683553038733038,12,Danielle-Cente,M,81.74,A,"600 N ARTHUR ST, SOUTH BEND, 46617",R,0,StreetAddress,600 N Arhur St. ,South Bend,,IN,2017-07-22T05:00:00.000Z,600 N Arhur St. ,South Bend,IN,No,2017
-86.293528914708531,41.697305562594465,13,Danielle-Cente,M,79,A,"1401 N BENDIX DR, SOUTH BEND, 46628",L,0,StreetAddress,1400 N Bendix Dr. ,South Bend,,IN,2015-03-24T05:00:00.000Z,1400 N Bendix Dr. ,South Bend,IN,Yes,2015
-86.288751030951644,41.666578321074539,14,Danielle-Cente,M,79,A,"801 S BENDIX DR, SOUTH BEND, 46619",L,0,StreetAddress,800 S Bendix Dr. ,South Bend,,IN,2017-03-16T05:00:00.000Z,800 S Bendix Dr. ,South Bend,IN,Yes,2017
-86.273203454819253,41.682173871620201,15,Danielle-Cente,T,100,A,"601 N BIRDSELL ST, SOUTH BEND, 46628",L,0,StreetAddress,300 N Birdsell St. ,South Bend,,IN,2017-12-11T05:00:00.000Z,300 N Birdsell St. ,South Bend,IN,No,2017
-86.273208723874774,41.680562122448528,16,Danielle-Cente,M,100,A,"400 N BIRDSELL ST, SOUTH BEND, 46628",R,0,StreetAddress,400 N Birdsell St. ,South Bend,,IN,2015-09-20T05:00:00.000Z,400 N Birdsell St. ,South Bend,IN,Yes,2015
-86.267455863594861,41.689365913670208,17,Danielle-Cente,M,100,A,"1100 N BLAINE AV, SOUTH BEND, 46616",R,0,StreetAddress,1100 N Blaine Ave. ,South Bend,,IN,2017-02-06T05:00:00.000Z,1100 N Blaine Ave. ,South Bend,IN,Yes,2017
-86.267472647275255,41.690910335315579,18,Danielle-Cente,T,86.3,A,"1201 N BLAINE AV, SOUTH BEND, 46628",L,0,StreetAddress,800 N Blaine St. ,South Bend,,IN,2015-10-10T05:00:00.000Z,800 N Blaine St. ,South Bend,IN,No,2015
-86.28754030249307,41.719960917096351,19,Danielle-Cente,T,100,A,"2653 N BOW CT, SOUTH BEND, 46628",L,0,StreetAddress,2600 N Bow Ct. ,South Bend,,IN,2015-12-24T05:00:00.000Z,2600 N Bow Ct. ,South Bend,IN,No,2015
-86.237913297883196,41.653677197665459,20,Danielle-Cente,M,100,A,"900 E BOWMAN ST, SOUTH BEND, 46613",R,0,StreetAddress,900 E Bowman St. ,South Bend,,IN,2016-08-19T05:00:00.000Z,900 E Bowman St. ,South Bend,IN,No,2016
-86.237913297883196,41.653677197665459,21,Danielle-Cente,M,100,A,"900 E BOWMAN ST, SOUTH BEND, 46613",R,0,StreetAddress,900 E Bowman St. ,South Bend,,IN,2016-08-20T05:00:00.000Z,900 E Bowman St. ,South Bend,IN,No,2016
-86.244443528651502,41.660177786042539,22,Danielle-Cente,M,100,A,"500 E BROADWAY ST, SOUTH BEND, 46613",R,0,StreetAddress,500 E Broadway St. ,South Bend,,IN,2016-05-28T05:00:00.000Z,500 E Broadway St. ,South Bend,IN,Yes,2016
-86.24105887229004,41.660260454124625,23,Danielle-Cente,M,100,A,"700 E BROADWAY ST, SOUTH BEND, 46613",R,0,StreetAddress,700 E Broadway St. ,South Bend,,IN,2016-03-12T05:00:00.000Z,700 E Broadway St. ,South Bend,IN,No,2016
-86.277704528271556,41.689212293480558,24,Danielle-Cente,M,100,A,"1100 N BROOKFIELD ST, SOUTH BEND, 46628",R,0,StreetAddress,1100 N Brookfield St. ,South Bend,,IN,2015-05-24T05:00:00.000Z,1100 N Brookfield St. ,South Bend,IN,No,2015
-86.277937725253395,41.701511289243356,25,Danielle-Cente,M,79,A,"1901 N BROOKFIELD ST, SOUTH BEND, 46628",L,0,StreetAddress,1900 N Brookfield St. ,South Bend,,IN,2017-07-31T05:00:00.000Z,1900 N Brookfield St. ,South Bend,IN,No,2017
-86.229898487856957,41.634535616444417,26,Danielle-Cente,T,100,A,"3928 S BROOKTON DR, SOUTH BEND, 46614",L,0,StreetAddress,4000 S Brookton Dr. ,South Bend,,IN,2016-04-05T05:00:00.000Z,4000 S Brookton Dr. ,South Bend,IN,No,2016
-86.264599684945395,41.70079541415636,27,Danielle-Cente,T,88.59,A,"1014 BRYAN ST, SOUTH BEND, 46616",L,0,StreetAddress,1000 W Bryan St. ,South Bend,,IN,2015-12-25T05:00:00.000Z,1000 W Bryan St. ,South Bend,IN,No,2015
-86.268974904040604,41.654015614842542,28,Danielle-Cente,T,90.87,A,"1300 W CALVERT ST, SOUTH BEND, 46613",L,0,StreetAddress,1300 E Calvert St. ,South Bend,,IN,2017-11-30T05:00:00.000Z,1300 E Calvert St. ,South Bend,IN,No,2017
-86.247875485618351,41.654342440162758,29,Danielle-Cente,M,100,A,"200 E CALVERT ST, SOUTH BEND, 46613",L,0,StreetAddress,200 E Calvert St. ,South Bend,,IN,2017-06-10T05:00:00.000Z,200 E Calvert St. ,South Bend,IN,No,2017
-86.247875485618351,41.654342440162758,30,Danielle-Cente,M,100,A,"200 E CALVERT ST, SOUTH BEND, 46613",L,0,StreetAddress,200 E Calvert St. ,South Bend,,IN,2017-06-22T05:00:00.000Z,200 E Calvert St. ,South Bend,IN,No,2017
-86.247875485618351,41.654342440162758,31,Danielle-Cente,M,100,A,"200 E CALVERT ST, SOUTH BEND, 46613",L,0,StreetAddress,200 E Calvert St. ,South Bend,,IN,2015-01-04T05:00:00.000Z,200 E Calvert St. ,South Bend,IN,Yes,2015
-86.247875485618351,41.654342440162758,32,Danielle-Cente,M,100,A,"200 E CALVERT ST, SOUTH BEND, 46613",L,0,StreetAddress,200 E Calvert St. ,South Bend,,IN,2015-01-04T05:00:00.000Z,200 E Calvert St. ,South Bend,IN,Yes,2015
-86.258757395268731,41.65414403192834,33,Danielle-Cente,M,100,A,"700 W CALVERT ST, SOUTH BEND, 46613",L,0,StreetAddress,700 W Calvert St. ,South Bend,,IN,2017-12-04T05:00:00.000Z,700 W Calvert St. ,South Bend,IN,No,2017
-86.242207303019072,41.681884184648638,34,Danielle-Cente,T,100,A,"E CEDAR ST, SOUTH BEND, 46617",L,0,StreetAddress,1200 E Cedar St. ,South Bend,,IN,2016-09-26T05:00:00.000Z,1200 E Cedar St. ,South Bend,IN,Yes,2016
-86.302211895297802,41.677678768676145,35,Danielle-Cente,M,100,A,"200 N CHICAGO ST, SOUTH BEND, 46619",R,0,StreetAddress,200 N Chicago St. ,South Bend,,IN,2015-08-10T05:00:00.000Z,200 N Chicago St. ,South Bend,IN,No,2015
-86.302110378595586,41.671904889362573,36,Danielle-Cente,M,100,A,"400 S CHICAGO ST, SOUTH BEND, 46619",L,0,StreetAddress,400 S Chicago St. ,South Bend,,IN,2017-01-02T05:00:00.000Z,400 S Chicago St. ,South Bend,IN,No,2017
