Outcome_Status,Direction,Street_Name,Suffix,Code_Enforcement_Order_Status,Property_Status,Program_Designation,Date_of_Outcome,Council_District,Zip_Code,ShapeSTArea,ShapeSTLength,OBJECTID,County_Tax_ID,State_Parcel_ID,Address_Number,Structures
Demolished,N,Olive,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-22T00:00:00.000Z,1,46628,5052.903961,321.4546196,1,018-2108-4026,71-03-34-380-024.000-026,1425,"House, Garage"
Deconstructed,N,Brookfield,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Deconstruction,2014-11-07T00:00:00.000Z,1,46628,4961.917664,329.692928,2,018-2155-5733,71-03-34-476-027.000-026,1613,"House, Garage"
Demolished,N,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-10-14T00:00:00.000Z,1,46628,5427.576843,347.3172327,3,018-2149-5559,71-03-34-453-030.000-026,1601,"House, Shed, Fence"
Demolished,,Johnson,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-04-11T00:00:00.000Z,1,46628,4911.634583,327.6907344,4,018-2155-5738,71-03-34-476-015.000-026,1602,House
Repaired,,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-05-18T00:00:00.000Z,1,46628,5280.246826,337.987916,5,018-2150-5588,71-03-34-454-014.000-026,1602,"House, Garage, Fence"
Repaired,,Bryan,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-06-24T00:00:00.000Z,1,46616,5091.479156,336.9177382,6,018-2143-5367,71-03-35-326-009.000-026,1101,"House, Shed"
Repaired,W,Bryan,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-12-17T00:00:00.000Z,1,46616,5293.150726,343.1588509,7,018-2143-5370,71-03-35-326-012.000-026,1025,"House, Garage, Fence"
Repaired,,Bryan,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-12-29T00:00:00.000Z,1,46616,5149.109619,339.3950034,8,018-2143-5373,71-03-35-326-015.000-026,1013,"House, Garage"
Repaired,,Beale,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-06-29T00:00:00.000Z,,46616,5171.343719,337.1521873,9,018-2142-5323,71-03-35-327-023.000-026,1105,House
Repaired & Occupied,,Beale,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-11-20T00:00:00.000Z,1,46616,5344.678741,339.8532267,10,018-2142-5325,71-03-35-327-024.000-026,1101,House
Demolished,,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-08T00:00:00.000Z,1,46628,5521.345093,349.0871246,11,018-2122-4480,71-03-34-407-017.000-026,1749,
Repaired,N,Olive,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-06-08T00:00:00.000Z,1,46628,4776.053497,318.8005344,12,018-2106-3956,71-03-34-378-019.000-026,1645,"House, Fence"
,N,Olive,ST,Repair Deadline Expired,,,,1,46628,5258.392883,341.7844433,13,018-2147-5478,71-03-34-451-004.000-026,1646,"House, Garage"
Demolished,,Johnson,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2016,2016-11-09T00:00:00.000Z,1,46628,4904.769012,325.2384264,14,018-2155-5716,71-03-34-476-004.000-026,1646,"House, Garage, Fence"
Demolished,N,Meade,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-09-05T00:00:00.000Z,2,46628,5966.832214,357.6831119,15,018-2102-3857,71-03-34-330-028.000-026,1701,
Repaired,,College,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-18T00:00:00.000Z,1,46628,8610.757477,405.7544587,16,018-2125-4635,71-03-34-431-019.000-026,1725,
,W,Rose,ST,Demo Affirmed w/CP,Bid Awarded - Demolition,Bid Opening - Demo - Dec 12 2017,,,46616,5238.819,333.865627,17,018-2141-5291,71-03-35-329-028.000-026,1033,"House, Fence"
Repaired,N,Kenmore,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-12-08T00:00:00.000Z,1,46628,6079.168121,339.3966589,18,018-2204-7740,71-03-33-476-013.000-026,1506,"House, Garage"
Repaired,,Elwood,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-01-15T00:00:00.000Z,1,46628,5029.075867,325.125334,19,018-2041-1400,71-03-34-351-013.000-026,2905,House
Repaired,N,Meade,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-07-17T00:00:00.000Z,2,46619,5317.430267,342.5213932,20,018-2107-3985,71-03-34-379-004.000-026,1514,House
Repaired,,Fremont,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-04-11T00:00:00.000Z,1,46628,5560.757202,350.9873346,21,018-2107-4000,71-03-34-379-026.000-026,1421,
,,Fremont,ST,Repair Expired - Repair Hearing No Show,,,,1,46628,5193.296783,345.5408631,22,018-2107-4002,71-03-34-379-027.000-026,1413,"House, Garage"
Repaired,N,Olive,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-01-13T00:00:00.000Z,1,46628,4799.041016,317.5092575,23,018-2108-4034,71-03-34-380-028.000-026,1405,"House, Fence, Sheds"
