"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"City","Akron","OH","Akron, OH",101,74,12.4015748031496,70,8.57142857142857,5.32413793103448
"City","Cuyahoga Falls","OH","Akron, OH",843,74,15.1020408163265,57,6.42857142857143,5.32413793103448
"City","Kent","OH","Akron, OH",1008,74,7.75862068965517,60,1.42857142857143,5.32413793103448
"City","Stow","OH","Akron, OH",1295,74,7.57575757575758,57.5,0.714285714285714,5.32413793103448
"City","Ravenna","OH","Akron, OH",1349,74,8.46153846153846,74,7.85714285714286,5.32413793103448
"City","Barberton","OH","Akron, OH",1854,74,12.1495327102804,67,7.14285714285714,5.32413793103448
"City","Green","OH","Akron, OH",1875,74,7.69230769230769,70,3.57142857142857,5.32413793103448
"City","Twinsburg","OH","Akron, OH",2244,74,8,65,2.85714285714286,5.32413793103448
"City","Hudson","OH","Akron, OH",2339,74,6.92307692307692,71.5,2.14285714285714,5.32413793103448
"City","Northfield","OH","Akron, OH",2793,74,11.8421052631579,58,5,5.32413793103448
"City","Copley","OH","Akron, OH",3409,74,12.2222222222222,73,9.28571428571429,5.32413793103448
"City","Tallmadge","OH","Akron, OH",3423,74,16.4383561643836,73.5,10,5.32413793103448
"City","Aurora","OH","Akron, OH",4076,74,6.2992125984252,81,5.71428571428571,5.32413793103448
"City","Streetsboro","OH","Akron, OH",4102,74,10.3448275862069,61,4.28571428571429,5.32413793103448
"City","Albany","NY","Albany-Schenectady-Troy, NY",274,60,9.58466453674121,87,5.29411764705882,6.64827586206897
"City","Colonie","NY","Albany-Schenectady-Troy, NY",452,60,9.54773869346734,78,3.52941176470588,6.64827586206897
"City","Schenectady","NY","Albany-Schenectady-Troy, NY",479,60,8.63787375415282,100,8.23529411764706,6.64827586206897
"City","Troy","NY","Albany-Schenectady-Troy, NY",866,60,11.0236220472441,93.5,7.64705882352941,6.64827586206897
"City","Saratoga Springs","NY","Albany-Schenectady-Troy, NY",1155,60,8.22942643391521,99,7.05882352941176,6.64827586206897
"City","Clifton Park","NY","Albany-Schenectady-Troy, NY",1237,60,9.73782771535581,87,5.88235294117647,6.64827586206897
"City","Bethlehem","NY","Albany-Schenectady-Troy, NY",1539,60,6.63265306122449,78,0.588235294117647,6.64827586206897
"City","Guilderland","NY","Albany-Schenectady-Troy, NY",1591,60,7.05128205128205,89,2.35294117647059,6.64827586206897
"City","Halfmoon","NY","Albany-Schenectady-Troy, NY",2181,60,3.3175355450237,93.5,1.17647058823529,6.64827586206897
