"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.665,681.818181818182,664.044943820225,725.882352941176,743.221621621622,747.872678891653,746.153846153846,770.114942528736,750,772.140522875817,906.25,922.163588390501,798.837052062204,902.409638554217,799.798792756539,826.114649681529,842.96875,846.153846153846,851.136363636364,880.353442219881,894.465894465895,910.360433166316,928.571428571429,975,973.706896551724,945.517867958813,948.333333333333,963.800163800164,940.188284518828,936.567992599445,937.445652173913,956.934504792332,975,975,975,1000,1106.90121786198,1079.19254658385,1076.66666666667,1065,1061.875,1059.60264900662,1084.57142857143,1081.08108108108,1073.91203703704,1105.76923076923,1123.70892373766
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,327.611940298507,301.972685887709,316.514806378132,334.219858156028,332.592592592593,320.028409090909,318.231878253905,313.102119460501,316.93759936407,314.915983399129,316.168384351913,309.671694764862,302.257433246589,308.357619914997,304.386325723818,305.46357615894,303.324099722992,303.617571059431,305.327868852459,305.814108929799,303.617571059431,296.957806802563,289.982425307557,293.44262295082,297.783933518006,285.406091370558,290.20979020979,311.321059431525,319.200380493866,314.191017618996,319.148936170213,317.796610169492,323.958333333333,331.242802452613,333.096797671033,325.173611111111,332.222222222222,346.278317152104,372.370266479663,400.362752463485,409.817351598174,432.575757575758,432.185523541813,429.75212160275,432.604735883424,427.151675485009,437.12437105607,443.549876847291,445.205479452055,448.932926829268,432.500597507849,455.371432184335,455.064194008559,445.486518171161,451.94080508275,462.808641975309,466.763919572247,470.08547008547,457.377800483839,460.271317829457,472.922932330827,501.754385964912,524.387263052877,533.480056930173,535.454545454545,525.529028757461,508.620689655172,508.257713248639,515.873015873016,536.676064553762,550.925925925926,540.238718116416,543.461956521739,557.352941176471,560,562.144633058985,569.429494079656,566.82676516673,573.606557377049,551.232166018158,567.307692307692,587.252602533551,604.361956943938,614.035087719298,618.713450292398,612.353567625133,606.644456975634,608.844777306469,622.173341423948,616.876575773985,610.506745744937,618.478260869565,641.421947449768,640.419947506562,640.933657963807,633.192389006343,639.403116160234,647.629680522157,635.344888869278,647.55589916707,655.045223289994,665.425287356322,650,652.448775612194,653.543307086614,674.675536525427,660.964230171073,675.019580185242,683.178047450634
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.239104829211,264.705882352941,283.671775223499,290.478260869565,291.383219954649,276.461538461538,289.734299516908,275.252525252525,285.089442467378,271.995464852608,258.600687929956,264.285714285714,282.81045751634,281.150735294118,269.230769230769,267.701143985844,278.110722610723,255.658436213992,252.98353909465,252.100840336134,262.375,265.925925925926,289.277830284553,290.454310379122,299.866666666667,306.533333333333,307.362637362637,304,293.853695324284,299.9,302.060412224591,300,298.506751954513,296.969696969697,296.394485683987
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.828220858896,149.55985915493,143.397887323944,162.027027027027,155.737778162112,168.448340874811,172.141404857398,166.112956810631,162.668918918919,175.263157894737,175.507032205463,174.324324324324,162.192393736018,172.863158202896,170.040485829959,175.297818123905,182.390510948905,173.509842736171,175.085520564671,178.884692540735,184.367034834325,185.366821352999,191.011235955056,193.498452012384,194.449315834045,192.933072550885,196.734487820756,198.717948717949,193.11408016444,192.998164862536,196.670953101362,198.884758364312,195.500072843823,201.631701631702,198.018648018648,190.089671896773,190.036342451312,182.608695652174,176.651353921797,176.163610719323,176.204211998666,179.358974358974,182.177615571776,186.480186480186,181.616832779623,189.142144812012,189.897316259445,189.57345971564,185.546875,183.333333333333,185.070063201626,185.972838910339,185.185185185185,186.224489795918,178.675496688742,177.623284738678
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.895705521472,117.49226006192,122.741922913508,129.082255129099,149.874371859296,136.503067484663,135.141414694712,136.503067484663,143.207855973813,146.725543478261,139.745873590982,144.283413848631,134,128.189300411523,140.350877192982,134.43072702332,146.889969005354,131.616518542314,124.735729386892,126.016260162602,132.996632996633,137.454981992797,133.587648770114,131.125367767244,130.518234165067,129.301420255272,146.396396396396,135.587373167982,131.693172861572,139.41742110378,134.603893946943,140.819080668705,149.650003441721
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,375.352775164628,374.482233771779,386.548913043478,372.079439252336,364.04557466651,362.548614180188,348.181993510766,335.247292183218,332.115171650055,321.607640967148,315.701754385965,315.22400282427,315.701754385965,321.040974529347,318.818631106432,316.139585605234,312.916111850865,310.734463276836,311.92,314.774364979283,314.366439571358,314.366439571358,311.345939933259,311.345939933259,315.884333507885,309.510435222259,314.366439571358,305.651672433679,302.690246394265,300.421868569077,304.278118374516,314.833770652519,317.843218474124,317.677903871829,317.501262945188,310.707456978968,312.5,315.88785046729,319.938962360122,323.443223443223,310.064777720341,292.705843338739,306.239716507752,299.857142857143,302.357442722943,317.695686900958,322.101090188305,332.422802850356,322.101090188305,333.955223880597,342.032967032967,333.99298245614,330,331.477831682501,330.158045977012,338.689566728506,337.767721779864,329.725609756098,330.284552845528,328.552646690287,336.021505376344,335.637987604812,337.65227021041,333.707885304659,345.509359852917,348.348348348348,337.65227021041,333.904701692816,336.494131288715,344.109195402299,351.432277877793,357.142857142857,363.451086956522,365.710522995998,365.02808988764,376.600411783339,351.049171087277,354.26290419763,360.482654600302,340.288924558587,362.762237762238,352.697095435685,337.310195227766,330.650496141125,338.617886178862,356.25,365.853658536585,364.932323773787,359.780907668232,361.145703611457,372.353673723537,367.039377734565,358.585330389359,367.916498438569,379.440122312079,374.902190923318,370.3125,374.521866379707,379.363544257161,384.255338775887,383.211678832117,384.773916804208,370.444149328612,377.262194799004,377.166156982671,380.973925705462,384.984600577478,385.027845312436,379.363544257161
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.43956043956,181.4575727896,169.438681420009,172.890733056708,175.103191573612,173.267326732673,182.607804960345,179.806362378976,184.255319148936,179.806362378976,193.64979642725,193.479618947609,200,201.703369785061,200.462962962963,192.74840737983,197.216785555798,197.735605241015
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.017587098009,370.678414327608,378.995433789954,375.272765922372,372.402186591396,382.38446969697,393.081761006289,387.399463806971,399.288043478261,395.833333333333,387.423349056604,380.241148622633,373.737373737374,392.716535433071,383.025210084034,391.004710398164,385.789473684211,396.22641509434,395.617510473159,412.219365856539,415.346539260181,436.25,429.411764705882,426.470588235294,436.842105263158,436.446917808219,451.427250773527,457.379574468085,461.487698986975,464.220778414873,463.096960926194,462.382445141066,457.886676875957,473.805507250685,470.437438824614,458.870345737249,456.923057514022,452.342467159277,451.505016722408,467.040731806557,470.455400828002,476.831091180867,472.304568710735,473.71194524112,478.995745006115,481.534090909091,486.569399472471,493.707647628267,485.507246376812,491.906493457378,503.545722240427,499.297683365338,511.25,511.221590909091,502.037845705968,526.315789473684,525.548072291029,521.023765996344,525.817394504895,521.263669501823,514.948284146372,522.702087393383,530.494436524374,535.275519421861
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,153.151618398637,151.653543307087,144.463985088985,141.062176165803,141.79319410392,141.47411474675,134.090909090909,129.826732673267,127.353025852384,128.137651821862,125.834230355221,126.056338028169,125.834230355221,124.891304347826,127.394433904312,127.527405602923,125.834230355221,126.982093606059,128.487841693859,125.173852573018,122.381039605098,122.352285395764,123.333083273411,117.521367521368,122.352285395764,124.709976798144,125.448028673835,133.852763695784,135.057011340232,135.213032581454,132.312555456965,123.703207427997,123.376049717915,129.482071713147,129.434850863422,128.022759601707,136.222005842259,126.528117359413,133.219327958421,138.117349182561,136.95652173913,140.804597701149,140.862204510952,143.79622021364,154.639175257732,149.369364116915,147.756500203354,143.952299829642,149.609375,148.005057380964,149.29557710343,151.538785943149,154.075546719682,146.893019559362,138.326585695007,132.622614067443,133.462282398453,137.506207457511,135.787089467724,136.703296703297,141.946308724832,138.989576835419,145.815953009279,164.814291101056,162.454873646209,172.253258845438,171.640076855482,167.884022850067,166.538461538462,161.03515625,156.543985115414,174.698795180723,177.62076671824,182.584269662921,187.968357416368,199.353448275862,203.464027407689,204.431818181818,204.389822134387,204.663990801823,202.718646083971,208.957036158034,202.047413793103,204.195818151753,203.989120580236,198.860589812332,203.469603496426,217.5933368163,216.268260901483,206.344521138149,215.267260232943,217.391304347826,209.780255975908,209.282416801948,203.905388315596,204.352861035422,212.673611111111,215.384615384615,224.458204334365,228.203678103138,227.436823104693,214.84375,213.244781641001,212.687584345479,221.285469026549,236.808846761453,235.731132075472,220.588235294118,217.672233383559
"Austin","TX","Austin-Round Rock","Travis County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.130598621878,323.842592592593,318.916669100681,322.636564900435,321.467098166127,317.428571428571,317.177248677249,310.244029075805,315.789473684211,329.262355060227,333.333333333333,345.238095238095,356.76532769556,338.624338624339,336.240793350168,333.916546416546,338.032467340691,332.06132449763,343.949044585987,379.464285714286,376.237623762376,374.122048127143,398.095238095238,374.474882317199,372.70087124879,375.95649964071,368.023255813953,367.043496985357,363.636363636364,359.859577535445,379.032258064516,370.531869078381,386.253630203291,387.909491006506,415
