"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,327.437769043608,316.799420709631,338.15062670035,328.676758980246,329.578775668743,330.207370228504,314.586994727592,312.671469422981,310.152126668736,314.782170737849,314.517909162415,302.219107162051,289.100896212778,298.398045071952,299.319750053755,295.997446622585,301.389819156062,294.538434997799,296.896006106119,282.045571037813,285.177095543611,281.562957431206,272.323296151168,266.388695853602,256.114743603199,257.014437492884,274.01972024765,278.414908337048,295.761830473219,312.908496732026,314.84399621809,320.648744908155,320.682068206821,312.869042791412,310.107284037494,307.132879400263,314.506333987188,309.032983508246,332.712111210324,364.178445229682,370.096021947874,375.854657591851,378.726629610915,377.799404293297,390.615801544204,388.417404920185,398.556452668119,394.592358736005,378.399179066188,375.368007850834,374.675511970003,374.675511970003,396.294608379593,396.256192501818,396.888394983331,382.623766854455,393.919013692103,398.593017196457,401.411879259981,395.310517253408,390.687322613068,410.168718650251,426.661007651735,438.612716017539,457.122720816994,454.74372955289,443.937387969778,447.401143994031,447.405329593268,447.058588235294,456.455309396486,466.585120036899,492.463768115942,505.053798500163,491.559086395233,510.730710270823,514.590747330961,525.433077897291,519.891500904159,516.362383740958,524.233432245302,543.90452005392,536.168666613983,499.464680092421,516.39979338843,559.26724137931,547.478895551889,566.429481779813,569.063631660631,556.290064102564,540.21121039805,519.608960399543,515.164203168965,539.120013696285,535.54040895813,544.616673648932,549.763388311953,540.95873630798,536.523216308041,540.132770066385,540.132770066385,541.163815283246,531.868892156015,514.434890418814,513.576547748786,512.903762903763,525.907539559417,520.543855148787,520.381721066544
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,206.731768127987,218.018691588785,235.955555555556,235.587002096436,235.164393066997,237.002564102564,217.528735632184,216.638888888889,199.888888888889,216.657863105802,217.347590850004,202.676864244742,194.505733355992,190.810334703464,187.690862109467,196.417033312382,214.326001128032,223.92523364486,223.168878670966,223.310409231415,218.943968374492,204.08556941295,180.74834037417,166.675383428919,166.638888888889,186.204861497483,187.779083431257,188.322875048962,189.591265597148,187.336625036306,181.781818181818,173.603284117325,173.700231481481,170.918724279835,187.5589066918,181.25,172.994231385536,168.719250885777,173.443008225617,190.999006770539,202.664160760375,200.449787918313,200.224251161301,196.963028169014,208.669044692361,182.9,170.990015895049,149.724192277384,146.755773987917,154.36089332383,166.045181306961,188.08287037037,203.725,212.909448058534,212.57253384913,212.096774193548,210.371863799283,204.109589041096,218.579234972678,205.326323289152,194.498539435248,201.58064516129,207.25,222.84184697747,227.600700525394,218.659364312141,226.524333221112,227.741441064857,224.608979884209,215.905898876405,214.624037892244,208.201075605681,201.947457944927,220.663291796469,247.91749305831,243.193717277487,243.17760561402,249.49358541526,232.846885574084,229.72207636204,229.851250845166,226.166666666667,228.21770725029,227.159090909091,224.375352056007,242.62141452373,256.642512077295,266.666666666667,262.894736842105,257.545454545455,255.609800495122,251.262626262626,256.09756097561,259.6,256.666666666667,252.280589293747,252.035677879715,258.547691392752,256.547619047619,266.242603550296,264.720175438596,262.80701754386,261.745056119722,259.532093782691,261.355443403028,252.432231711846,255.012952893576,254.551951280139,257.156746996319
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,116.994784120545,114.898639815956,113.771089831281,112.615332767204,112.528618693887,112.055764129499,110.66483423206,108.052775250227,106.344253770151,101.276264109938,102.61166320177,101.664134400646,101.45957225588,99.8275209900056,102.576379388965,103.188821211035,104.347549950864,103.892123812443,103.632793323515,101.405922823811,98.1833578792342,98.0417356933061,97.7634167693273,100.162265820918,98.8035080923623,100.697134004648,103.844326716225,112.843182875756,109.743560241732,115.641883200412,111.886868032576,103.226083944587,105.754178125661,101.905453818596,106.124514931669,104.158829412899,101.969014084507,106.124514931669,107.780642137333,110.336817653891,110.713117418233,116.729767726137,118.232569478303,111.291030249458,111.291030249458,115.577031349224,116.845397676497,117.264174871095,118.792770621356,131.916880691104,130.149812734082,134.700939199209,139.623750734862,134.394851091578,133.944765045342,144.326844793132,143.620574482298,150.409047727347,161.295489728286,150.410209662717,161.765169123859,164.622295259761,163.023679417122,160.854737228224,161.634757224508,156.840681590134,155.411877394636,147.634228187919,147.812298387347,148.084713883676,154.601267396339,153.664732960341,158.098045803049,175.568798585056,161.81468893158,170.204978038067,166.904618108328,161.854768153981,159.525979945305,152.275115432046,152.047814705016,149.693362193362,146.909227488934,142.072040776911,142.718894009217,147.172224664452,158.752458555774,164.190335748002,168.770896733944,160.486789168073,152.64196587726,148.880790588084,156.440471353109,157.99028342153,162.457912457912,156.576178451178,156.765676567657,159.741103224891,160.441729716861,164.076431611255,160.25641025641,161.059802178926,158.87724396788,157.634332328427,159.907098925186,158.455953614814,155.779465112055,150.695651598751,147.954771718555
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,93.0518617021277,94.1218100828442,93.3487252124646,93.1844473007712,93.7818279281694,93.0871469562405,92.7338314867302,93.3046517881151,91.8006416720035,91.3520097442144,92.4209378407852,91.4623633839448,90.4596307206844,90.0765519309823,89.8315378676631,92.4317617866005,93.0155792818233,91.998656654384,92.7272727272727,92.4317617866005,93.6329588014981,91.9708806818182,91.5545718285569,90.4860392967942,91.1962952534841,89.3084112149533,90.1217228464419,91.8471135601255,92.5530368669365,93.7861974162588,93.4625226431184,92.7529062577294,93.7898889625238,94.1270347909352,94.8763111559851,94.1305712492153,94.1270347909352,95.7333815028902,99.598478652495,101.064112795956,100.240577385726,101.31259605189,100.578034682081,100.343803930654,99.9245147375989,99.4013256360915,101.098282174035,102.091614440928,101.428898643891,103.49167681689,101.169558458704,102.848852545503,104.346540508575,103.927702467848,103.065274841438,106.317044100119,105.577499050115,105.337078651685,103.682523104845,104.206012910928,104.327075482515,105.019426232127,102.97285316049,104.367731763096,103.285570577355,104.867245122009,104.261025029797,102.564720661736,100.950118764846,100.985094536999,101.159420289855,100,101.377952755906,105.242999678146,106.60118211231,108.349681334474,109.379090857125,109.254870984729,109.462809917355,109.297520661157,109.427100096556,108.549986598767,107.301023039359,107.860153731713,107.668476416695,108.297803034692,108.662843344401,109.354565952649,110.205248980253,111.4876571305,110.863422296802,110.039192041001,112.29031368355,109.803104884513,107.881773399015,106.88272636151,106.528189910979,106.52971995549,106.528189910979,105.915541709934,105.73224852071,106.315766883706,107.834332294414,105.244338498212,106.812243867581,106.528189910979,107.275372862859,105.610901107383,105.413846954711
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,117.866004962779,116.168658698539,116.666666666667,116.481654047758,116.574160357212,116.168658698539,109.375,108.383510884669,109.375,109.797891036907,107.615629984051,103.832367149758,100.595238095238,101.845969451672,104.611578947368,107.660455486542,106.444444444444,103.970125786164,101.684027777778,101.253616200579,101.408058100289,97.2199074074074,95.5395866187131,97.2199074074074,92.5902777777778,97.047305764411,105.263157894737,109.625970413839,118.371212121212,120.091866153702,119.112236897654,115.055248618785,113.8671875,111.539925546766,102.712700369914,100,90.2483069977427,97.8835978835979,111.348908747979,118.055555555556,117.712418300654,120.723684210526,119.270833333333,119.270833333333,116.610738255034,112.435776942356,112.445924132365,107.288559972452,106.619890176937,115.486220191347,129.898314868675,122.997925002971,129.188049853372,124.407908374793,121.852895905518,114.92168275601,116.086235489221,117.343197635882,119.047619047619,121.145374449339,120.986828638811,122.774988589685,121.672453703704,132.303921568627,133.421339601524,132.020117351215,128.528225806452,126.651982378855,118.450797266515,122.112441387988,122.112441387988,116.85393258427,118.988368947796,126.010520727346,128.329297820823,130.666472738,127.719705768486,129.592592592593,130.168269230769,132.148716859357,139.802631578947,142.471664256945,144.958333333333,139.973958333333,146.784486990673,150.76071922545,146.784486990673,146.623428713903,146.649517935361,151.401869158878,146.707963442496,146.784486990673,146.462370437134,142.671105820567,137.969094922737,137.462121212121,135.252315600885,148.769191928354,153.702456464076,158.135144376913,170.486459378134,190,193.04954954955,183.435926133184,170.178282009724,172.318378681535,164.659006184172,165.188659134513,159.105011394661
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.316714693609,136.547293891526,132.085855344842,131.141022474685,136.780448473013,137.792675970645,137.402988526261,138.105091839107,145.520807061791,137.325716950338,138.105091839107,136.235179995689,127.505088688572,124.027316955917,123.14502239063,133.48467209934,137.171129220023,135.744343891403,137.753201396973,135.458967620146,135.17359134889,129.243309002433,124.183934147034,124.22050493905,123.660151324086,119.166099773243,120.13651328864,118.477891156463,123.280724694796,131.540631625607,124.867384453782,129.291269057223,137.734045892257,138.916758544653,140.019294377067,140.294928335171,143.020594965675,137.99325798136,141.948732083793,142.775633958104,142.498668809287,141.246261839758,138.600401158904,160.089352196575,159.358793022159,157.601649970536,159.724072609367,168.824120603015,171.066163866987,159.358793022159,154.162817943084,179.444337861582,162.766721372598,159.67814651108,148.981612446959,164.355585262122,191.970191919268,181.515151515152,151.338991041961,154.293463908603,143.377464788732,157.831889179701,158.022014895481,173.199422862021,168.948508890271,155.820367751061,180.666646545303,163.041062801932,159.358793022159,179.071940205543,176.939963958378,166.664251207729,174.807987711214,179.524312896406,168.547977606376,168.690958164642,169.516232268481,169.804347826087,174.186608637493
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,102.154361182579,101.867905439737,99.7876733746417,99.5136145704884,93.7799945935218,93.0627705627706,92.2928295405754,88.9536288638912,89.974293059126,88.5276545133814,89.0413221563076,85.562015503876,85.6510128913444,84.4712517787073,83.102216066482,81.0778842377355,80.3535080992549,79.8895386614685,79.1427026683594,79.7702616464582,79.2349454524592,79.5892707460184,78.8772911942756,77.4762976526273,76.6609880749574,77.339076729223,77.6850830846258,79.1713317693378,81.3994910941476,83.3333333333333,81.3994910941476,83.3333333333333,83.1436013513489,84.2529570473051,85.4664319839075,86.5645210604699,88.350165816124,89.0511045042678,90.2485752063101,94.4707740916272,96.4677945978035,99.0055794563036,102.428507846718,106.523838398385,107.066381156317,107.905405405405,107.945095890411,107.923143350604,107.079646017699,107.942973523422,109.64781765041,111.708021916096,113.318023024022,113.076923076923,112.699525700696,113.199800945509,113.199800945509,113.683427041822,113.671672708441,113.578680203046,113.744075829384,114.956692913386,116.185897435897,116.46725440806,117.557830868411,118.344470791119,119.402755453502,119.568890684115,119.390103567319,118.244585587335,117.970123022847,118.129099886834,119.923719165085,121.681272314184,122.576808307777,122.836337066432,124.665617623918,125.406215921483,125.047108591611,125.661031642826,126.24584717608,125.449304849101,126.133546818188,126.188966391883,127.254545454545,127.861635220126,129.262926292629,130.332496863237,131.262240917392,131.267408800585,134.342940889106,135.724278965721,136.451398135819,136.776814438078,138.572877891913,140.885338703971,142.184170471842,146.096109166131,146.400434664493,149.059334298119,149.535477284329,150.519899174852,151.091703056769,153.52593266606,152.836244541485,151.683095886584,151.879806511858,152.094664724289,151.186440677966
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,319.210317079944,319.896996512094,315.091210613599,317.159105735534,311.522533495737,303.427265201924,305.525223848002,302.416350964565,291.825396825397,284.98658789243,283.822138126774,284.432949609005,281.258840169731,277.158774373259,281.156156156156,282.837991622946,276.746109733854,276.260195901776,269.81981981982,267.240398789158,260.885885885886,250,251.873438800999,253.503004928674,259.063952981827,256.54874426141,262.886072441831,265.017437337451,289.137647285397,280.49504950495,275.931290602817,283.419933868682,280.621467510944,278.051181102362,281.393826428648,277.676503474408,289.447850193535,306.438364819612,317.527519051651,337.859824780976,331.792357275335,332.250292108188,349.934181658622,347.305533279872,351.680338713946,347.016920267247,328.438948995363,335.326228229789,328.502415458937,351.02792360855,350.572220102439,350.302419354839,350.392367233689,350.443079020492,339.588952322173,341.871625674865,342.315597168303,345.124066168623,353.800910700734,334.966477565756,343.206951026856,374.896911187471,383.56842365751,378.026381823013,395.661472655057,358.215629474603,371.287128712871,374.895862260483,386.636965485013,390.374331550802,391.822827938671,400.14684287812,393.735264398787,393.573945099668,392.761445980122,396.987364978246,392.888001366386,388.002901991822,372.885572139303,373.705408515535,373.705408515535,368.654028824667,370.516026369629,394.592368926709,392.062737642586,397.26177605632,398.188405797101,398.12943779788,395.957193816885,400.181104152086,408.771929824561,405.826558265583,404.070720008214,409.279421089437,406.169060513304,412.936433198905,413.737155219037,422.034494896163,426.158940397351,416.897998888271,443.622641509434,443.26887599616,412.483741816805,438.44642517445,442.896604423209,434.333001843673,427.786614825435,430.228402482212,422.793320320972
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,183.220202703947,181.546347714652,175.298256963867,175.452010475482,168.592625899281,163.080301129235,165.417124503931,158.042942625836,159.480071421314,153.610239056814,148.074787115883,148.5006703941,145.949660682072,153.256051824071,151.886308659894,152.462946978392,152.253349573691,156.053885329391,156.437712196396,153.907922912206,151.04559067892,151.237607825786,153.595952294904,148.480662983425,153.341594795463,159.554831644823,164.411368826333,165.044942879969,165.702264776284,164.299669377688,160.120725725976,151.159997151446,150.565708568492,146.575984990619,146.631087391594,146.22641509434,149.999376209024,148.654561365128,161.123240921641,165.24370656076,170.201851498378,171.231444699979,174.770275669197,171.903881700555,183.001719479243,192.459526144269,201.680860600628,201.804521095489,197.521316779847,191.629438043734,196.944854751354,196.897624226071,196.487349545566,201.890880441205,200.270557802903,205.458964292391,199.316141900556,199.600798403194,197.565543071161,198.980271938329,200.099304920432,212.007474698476,206.336796749453,201.207507560782,200.889106886261,207.081393449318,201.52321995163,203.010308668373,203.010308668373,209.66782387775,208.380546075085,206.643269335829,194.86143187067,202.97699594046,217.484748823007,223.607038123167,223.891924711597,232.333010648596,234.953912886318,232.802994852597,234.991926503039,227.913459319778,221.126466462256,232.574780439778,234.792130025663,237.043795620438,247.199388680807,259.228535877229,261.488883356036,258.069801736851,263.213308064856,259.319286871961,264.041331802526,259.308986752596,265.541892368259,264.045925903406,266.439869984129,259.217786614244,263.778056093002,269.905591392264,270.062233868326,268.069269326833,263.184506024091,264.896246744148,268.079847908745,264.686768468616,256.984883630675,252.930221160326,253.751103265666
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",10,333.274988923578,336.250894347722,335.481833223348,334.318553455154,331.693150375251,325.835740270025,318.695980345726,321.187584345479,323.877596604869,321.483362724887,322.641250257372,309.061768294261,312.5,314.874436574372,314.084507042254,320.647773279352,320.613409415121,323.62427184466,318.942765536665,308.728722135203,308.405557511162,308.078502966682,302.308265078183,292.167695807605,294.191919191919,301.553062985332,305.873873873874,301.73589943849,318.921139662628,321.478802491461,335.330776605944,321.931589537223,315.8953722334,314.458177637252,324.094145722618,312.316503391108,319.43407147048,336.548121358248,332.562174667438,351.288056206089,345.461583123669,371.811078443254,381.716075063874,366.299137699784,359.838274932615,362.862903225806,374.975,366.502849555505,359.316133826734,366.266178266178,402.634451901566,407.199857000215,417.543502966644,425.373105134474,421.575585521647,412.583717989993,399.195442359249,406.543519098309,398.550724637681,403.522658075771,415.343748551795,437.999484403197,434.942367065905,423.938446670874,423.385195662423,431.848852901484,437.052322025562,431.034482758621,444.414071311424,439.474663908997,446.744041526539,440.504835839071,439.721792890263,448.104241297778,481.572481572482,497.287522603978,496.583850931677,486.669487939061,495.365380469929,486.201298701299,477.328992087164,481.099656357388,475.498188405797,471.569551947457,472.039905487004,485.122435460534,502.881973744032,490.188679245283,485.116404630328,482.004039381089,484.292506479749,492.505130799426,497.927113590027,504.352872896111,494.296407430249,514.780889621087,519.823788546256,570.816164117886,542.676050393987,554.078014184397,559.006211180124,551.355479190531,560.330319432669,573.41650671785,556.999939988216,552.660679036715,565.298429130057,560.922280333558,551.453622519612
"Austin","TX","Austin-Round Rock","Travis County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.779685966634,218.252730109204,204.462199312715,209.423205902079,188.328549295263,182.721483942414,190.938864628821,187.639060568603,189.113877312038,183.704000557569,180.348258706468,181.96682464455,177.162629757785,174.404027281585,176.608721804511,182.618552073436,197.033394072908,208.333333333333,202.238191507249,206.614812379052,200.448113207547,217.150249491776,193.455968625802,174.653686437441,163.738343390016
"Jacksonville","FL","Jacksonville","Duval County",12,131.234931690329,130.108991825613,125.625420293974,123.276757880152,120.403953674988,115.311418685121,114.197922281366,111.789137380192,109.004473734767,106.673975124138,106.414395214853,106.362460825735,103.853887399464,103.747021875677,105.194656315805,110.877030537023,110.778080532849,104.92436433859,101.912825337096,101.177769598822,98.1700505579938,95.2216066481994,88.4175829087334,85.9430847666253,85,86.4169582218563,85.8369098712446,89.6099362715789,91.6695794527336,91.6695794527336,93.0846117703954,90.364238410596,93.3326842710732,93.3382570162481,93.3981004707409,93.392527725566,96.2368728121354,97.3707664884136,102.7162748231,103.024002592775,102.906316536551,104.150680153471,106.031128404669,100.796478886186,96.5943283080057,96.5878877400295,94.519940915805,93.2498073515625,91.4222763288643,94.2869540063639,96.6701913393756,102.193088931649,103.64891413038,102.775311215349,101.93539765151,98.2568738225673,97.4651810584958,99.5259261774593,95.7798181966178,102.340900632676,102.458894176535,103.690340909091,104.815662600743,107.287449392713,107.800143781452,110.30618367009,110.224501530058,113.252197430696,108.040618955513,113.799869195553,113.375850340136,111.645312632382,109.094082736952,127.935684647303,130.005243288591,129.492244582845,128.588516746411,130.298818624044,127.764217285371,123.550561797753,120.791990769203,116.534482758621,115.884244466867,113.364136458862,117.763343688224,128.300599252489,129.356357927786,127.501160336893,131.262415695892,132.274642293448,132.379793061473,132.379793061473,133.557800224467,131.461675579323,122.748962655602,122.293504410585,119.671512198381,122.617581876385,125.61353194711,126.483207683441,128.499677664123,123.705633344188,125.719478945774,123.698096885813,125.348189415042,123.024136299101,121.50466045273,121.102941176471,121.102941176471
"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.610169491525,886.850111092121,920,908.713692946058,781.563126252505,880.38672165506,785.059476605868,796.923076923077,835.829838226483,950.545246093958,890.292223873205,861.45648312611,903.294367693943,1029.11616161616,1059.34343434343,1041.70008019246,1020.89230769231,1026.8857356236,1026.8857356236,949.346925772539,883.723181727907,850.852547056289,829.08728918544,821.264846178925,850.801479654747
