"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439000,430650,479000,481950,475000,479000,499000,485000,493000,575000,579000,499900,560000,510000,530000,545000,549000,550000,565000,575000,580000,599000,629000,625000,625000,635000,645000,635000,625000,629000,629000,635000,635000,639000,660000,699000,695000,699000,699000,699000,695000,699000,699000,699499.5,725000,735000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355000,359950,377000,362450,362450,359000,349000,366750,359000,349000,349000,362500,374000,368500,354500,349499.5,359000,409000,415000,429000,449000,429000,415000,399900,409000,425000,448777,425000,429950,465060,469000,475000,475000,475000,479000,475000,493500,499000,505000,505000,519500,512450,515000,5e+05,499998,498000,499000,499000,549000,549000,537000,539000,539000,530000,515000,539000,539000,575000,555000,550000,550000,575000,549000,575000,575000
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174835,189000,189450,199000,185000,199900,199900,198500,172000,169900,190000,184900,215500,209000,218250,224450,220000,219999.5,213000,225000,219450,217500,214500,2e+05,215000,225000,224900,225000,224900,229999.5,215000,210000,209900,209950,210000,225000,229900,247500,245000,245000,240000,239000,239000,239900,240000,237250,235000,235000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104950,100975,99750,105000,114900,115000,120000,127000,125000,124900,131000,127500,140000,145950,144500,139000,141000,145000,139950,133000,145000,145000,149700,158500,147450,149900,149000,150000,148500,162500,169900,169900,167500,170000,172150,168000,172000,172000,169625,169000,169900,168250,160000,160000,155130,149990,149900,149900,149900,149900,150000,149500,150000,154950,155000,153050,150000,153800,159000,155000,159000,150000,149900
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000,105000,89949.5,87900,89900,95000,91900,99100,99750,99000,97444,1e+05,96444,93200,99450,93325,96250,103450
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,299999.5,304949.5,319000,309900,305000,3e+05,299900,294900,289900,279000,275000,275000,276000,275000,269887.5,252500,251950,249000,249000,249000,249900,259000,259000,259000,259900,250000,259900,259250,249000,250000,250000,259000,249900,249000,243000,244900,249900,249000,249900,259000,249750,239900,250000,254900,255010,263000,269900,269900,265000,266000,269900,271920,266250,269900,279450,280000,282000,279000,275000,279444,280000,279900,279950,279900,285000,285000,274900,275000,289000,289900,295000,294000,292000,299000,295000,295000,289900,289450,289900,284500,298000,292450,297900,293774,289999,291837,310000,3e+05,3e+05,3e+05,299900,299900,294500,289900,299000,299000,299900,3e+05,315000,317000,315000,302250,299211.5,299000,299000,299000,299700,299900,299900
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145300,145000,131000,135000,136450,130000,141950,140000,147000,139900,140000,140000,149900,155500,150000,146499.5,149900,148250
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255990,250000,260000,255000,250000,262000,270000,269000,287000,287500,269900,259000,265000,275000,265000,259000,259450,269450,267000,279499,288000,309999.5,304950,295000,310000,310000,315000,322000,329000,329000,329000,323700,324500,329000,332450,319450,324900,319250,324900,335000,335000,339000,329900,344000,344900,344000,341950,347400,344450,345000,349000,349900,364900,359800,349900,383400,369000,369000,359900,355000,349900,374000,379000,375000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,129500,125000,115900,114900,115900,118500,119000,111250,109000,1e+05,108860,105900,99900,99900,104850,105000,106920,109950,110250,108000,107500,104500,1e+05,98750,99900,99949.5,104900,109500,110000,107700,101450,99900,96000,99900,99000,99500,109000,99999,114500,120000,119900,119900,115450,119900,125000,117950,122500,117500,123500,124450,127000,135000,134900,127700,114990,115000,116500,117200,118000,121250,126900,124900,121950,136900,132500,135000,135000,135950,129900,126950,126950,140000,146500,146000,150000,165000,165000,167500,168500,170000,170000,173750,169900,171250,172500,171250,179950,205000,185950,175000,182500,185000,170000,179900,175500,175000,179000,185000,185000,185000,180000,170000,164950,164950,172500,195000,181200,179450,184000
"Austin","TX","Austin-Round Rock","Travis County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,299999,295000,299990,339000,342445,334900,327000,309500,325000,330375,315000,324900,320450,323400,347000,349900
