"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,1277000,1237000,1375000,1297000,1249900,1249900,1149000,1175000,1175000,1179000,1177000,1095000,999999,1099000,1092500,1080000,1108750,1120000,1152500,1099000,1075000,1022000,999000,995000,978500,995000,1058455,1075000,1099000,1200000,1199000,1250000,1222000,1200000,1192450,1144642.5,1200000,1195000,1299000,1437000,1400000,1495000,1499000,1495000,1549000,1537000,1595000,1599000,1499000,1495000,1498000,1496500,1512500,1595000,1569950,1499000,1499000,1595000,1649000,1599000,1495000,1639000,1699500,1795000,1899000,1799000,1699000,1749000,1735000,1714500,1795000,1849500,1995000,1999000,1977000,2049500,2074000,2150000,2089000,2095000,2147497.5,2295000,2200000,2125000,2196000,2325000,2249000,2288000,2299499.5,2200000,2099475,1999000,1999000,2199000,2200000,2299499.5,2297000,2199000,2157475,2149000,2159000,2182500,2125000,1999890,1999000,1999000,2165000,2072500,2100000
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810000,819947.5,849000,849499.5,775000,749000,749000,729500,739000,774995,799947.5,849995,849900,863995,850000,850000,849000,863995,875000,875000,868995,840000,839497.5,875000,849900,875000,875000,869995,867995,847662.5,849000,834497.5,839500,799900,847000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,504999.5,505000,499000,489000,494200,489950,480000,472000,450000,425000,435000,429900,437500,437750,445000,429450,437500,436900,435000,425000,4e+05,409900,399999.5,449250,434949.5,439700,448800,453752,449900,469500,449643,412170,430133,399900,435500,434933,439500,459900,475000,463995,463995,495000,519387.5,475990,478945,495000,486445,489990,519000,559000,559000,6e+05,599900,579000,579000,619000,606067,669947.5,699990,665000,7e+05,719000,692000,676500,673000,640000,653265,647884,637525,649649,685945,669945,699000,750000,699000,705990,682500,651450,649950,629900,620000,615450,599500,586990,599556,619450,649900,674950,689000,652500,632585,599949.5,632256,649945,675000,649900,645011,637450,646000,649950,645000,669900,658705.5,625000,624585.5,632450,621723.5,599000,595000
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,314000,319900,319353.5,319000,325000,339777,334863.5,330000,324900,328450,333950,325115,319300,317500,315000,320246.5,324900,317750,332950.5,335000,329418.5,324498.5,320275.5,315000,324796.5,314000,317701.5,319950,319925,327958.5,323200,315000,329450,330678,339000,329999,339450,349450,354900,360300,362757.5,365521.5,368500,359945,363147,359400,359850,359999,359450,369889.5,355000,369700,369990,362995,365000,374999.5,375000,370150,365000,370050,364950,364900,364900,365350,354950,355990,360911,349995,343900,340495,348490,335000,349990,359900,373495,374883.5,384308.5,375000,379000,375490,379000,374990,369945,370000,366450,365000,369900,374500,384650,379900,390495,379825,384500,369999,355135,353200,349900,345853,347803,341982.5,348500,347000,349700,341999.5,347900,343000,346450,335000,329000
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280784,299900,290000,299000,299900,289000,289000,279450,249900,274900,295000,299950,3e+05,299900,275000,260000,279000,264800,274950,275000,270000,269900,279990,295000,315000,299699.5,290950,289450,278000,277000,285500,265000,272500,3e+05,3e+05,324950,325000,304000,314900,322400,339450,349900,350000,350000,349950,349900,350000,366000,399950,399900,374949.5,359949.5,354450,362900,330000,329900,330000,349250,380450,394450,409900,425000,454500,424900,425000,463750,419900,437400,412400
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,359450,352900,340000,339900,313900,299999,299900,282500,289900,289900,289900,275000,275000,274825,267000,255000,252100,255000,254900,255000,256137,255000,255000,254900,254900,256500,255000,264900,276353,283487.5,275000,275000,270800,279000,285000,291000,299000,299000,299000,3e+05,3e+05,309990,328640,340000,340000,350000,360000,359900,350000,350000,359995,369000,374000,375000,374900,375000,375000,376432.5,379900,380000,369999.5,379975,389925,389500,399000,395000,399999.5,399999,399999,399000,399000,399900,399000,399900,399999,399900,402500,419450,419000,424900,425000,425000,429250,433000,439000,433000,429900,439900,449894,449900,465000,469900,475000,479499.5,485950,498500,5e+05,524999,5e+05,509990,525000,524900,515000,530000,519000,499999,510499.5,508750,509000
"San Diego","CA","San Diego-Carlsbad","San Diego County",7,1099700,1083950,999950,1050000,1020950,977000,975000,985000,929000,921000,921000,922999,899000,890422.5,896175,899000,896175,899000,872438,849888,799995,794000,791500,789000,802250.5,815388,850000,854500,915000,899995,899500,929995,929995,944000,975000,972900,1054950,1100000,1199499.5,1229000,1249500,1247000,1280935,1289000,1310960,1292800,1259000,1275400,1260990,1299000,1295000,1325000,1299050,1289995,1250000,1299900,1299000,1312497.5,1299500,1248900,1294262.5,1367462.5,1445000,1449944,1498000,1377000,1417495,1424500,1394000,1474900,1482900,1499000,1450000,1487500,1495000,1450000,1399000,1422500,1399000,1375000,1384000,1349000,1379999,1485000,1450000,1410000,1449900,1485000,1449900,1498000,1495000,1499000,1520000,1575000,1515000,1543162,1570000,1572500,1595000,1575000,1695000,1695000,1549500,1700000,1795000,1699000,1695000,1738000,1749000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010000,995000,935000,965480,965480,899900,962000,977000,999900,925000,921000,921000,915000,922000,1024975,925000,917500,962000,949000,899000,899000,897000,925000,932450,925000,849000,899000,999000,1075000,1109500,1175000,1195000,1175000,1160000,1112500,1098444,1112500,1099000,1170999,1225000,1299000,1370000,1299000,1395000,1350000,1375000,1395000,1399500,1396000,1362500,1339000,1380000,1392000,1395000,1399000,1350000,1350000,1385000,1349000,1299000,1286500,1259000
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",9,850000,785900,875000,868000,849950,849000,849000,889950,889500,837000,845000,799995,799888,819250,799999,835000,862500,899000,865000,819000,799000,790400,749444,699286,749444,799900,799900,799950,858200,866400,899500,875000,868975,8e+05,836500,828888,848500,899000,899000,947950,9e+05,9e+05,978000,9e+05,899000,924000,990000,922500,947500,960000,1098000,1053500,1083500,1165000,1199000,1144500,1095500,1049000,999444,1083944,1059444,1183900,1198900,1264944,1199000,1162700,1165000,1198898,1198949,1138000,1144000,1099444,1099000,1227000,1250000,1348000,1358888,1349000,1449000,1449000,1385000,1349000,1331500,1325000,1275000,1299000,1396500,1398000,1485000,1391944,1365000,1425000,1396500,1388000,1344499.5,1350000,1425000,1498975,1536500,1497777,1475000,1385000,1397500,1398000,1370000,1344499.5,1399889.5,1381500,1339999
"Austin","TX","Austin-Round Rock","Travis County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728687,765000,765000,809450,7e+05,699000,736495,759000,754500,705245,645000,659900,610567.5,606745,612045,634990,739000,798999.5,744450,798999,737000,744500,694990,672990,618170
