"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,223400,219900,219000,219000,219000,219000,219000,220000,223000,219000,210000,209000,208000,192998,199000,199000,199000,199000,199000,198888,195000,193943.5,189000,189000,187900,189000,186000,185000,185000,185000,185000,185000,182500,180000,185000,185000,185000,185000,185000,185000,184000,179999,180000,180000,185000,185000,183000,185000,188000,188000,188500,189000,189000,189000,189000,190000,194000,190000,189000,189900,195000,190000,195000,195000,195950,199000,199000,199000,199000,199000,199999,199999,199000,199000,199000,199000,200400,209000,209000,210000,210000,210000,214900,214900,210000,210000,215000,219000,219900,225000,227273,227273,229000,234614,235000,239000,239000,240768.5,245000,249000,249000,249999,250000,249949,249999.5,250000,252000,259000,265000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,229000,225000,223945,225000,230000,230000,230000,235000,230450,229900,230000,230000,229980,224900,229000,229900,229000,229000,225000,224000,220000,219945,218200,217250,215000,215000,215000,215000,219900,219000,220000,219900,219900,225000,227950,230000,239900,240000,244900,249000,259000,269900,274975,279559,283000,289450,289900,293000,295000,295250,285000,3e+05,310000,310000,315000,319900,319000,318000,319000,317059,319900,319900,322250,325000,329000,329900,335000,335000,339000,339000,329900,345000,344900,343000,349000,350000,359000,360000,369000,369000,369900,372500,375000,376000,379900,380000,385000,385000,395000,399000,399900,399000,399999,4e+05,409000,409000,417500,424999,425000,425000,425000,434900,435000,439000,439900,439500,437000,434000,434999
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,85000,89900,90000,91950,89900,84900,84000,85000,87000,84000,85000,82000,79000,74900,76900,75000,75000,75000,74900,74900,73900,69300,69000,68500,65000,64900,64900,64900,64100,63000,64000,63900,64900,64900,64900,64250,64900,64900,62500,62900,64900,64900,64900,64000,65000,67000,65000,65000,65000,65000,67500,68250,69900,69900,70000,71900,72550,72600,74900,74900,74900,74900,74350,74900,75900,78500,79000,79000,79900,79000,78500,80000,80000,80000,84500,85000,88900,89900,90000,89900,89900,87980,89000,89000,89000,89000,90000,95000,99000,99900,99900,99900,99900,99000,98850,99000,99000,99900,105000,109900,112000,114900,114900,115000,114482.5,114900,112999.5,110000,114900
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,79000,79500,79900,79900,79900,79900,79000,79850,79900,79000,79000,76500,75000,74900,74900,74900,74900,75000,74900,74900,74000,72500,70000,71185,70000,70000,70000,69900,70000,70000,71000,72500,70000,70000,70000,70000,71000,72000,72900,69900,69900,72000,75000,76700,75000,75000,76000,75000,75000,76000,75000,75000,75000,79000,79000,79900,79900,78000,79000,79500,80000,80000,80000,80000,83950,85900,89000,88000,89000,89900,89900,89900,89999.5,93000,96900,96900,99000,99970,105000,105000,104994.5,105000,110000,107761.5,105000,107000,110000,115000,115000,117350,118000,118000,119000,117500,117950,118000,118900,115000,119500,120658,125000,123000,124660.5,125000,125000,124900,125000,127000,128700
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,75000,74999,75700,77000,75500,77500,77000,75000,75000,75000,75000,75000,74900,72500,74500,74700,73000,72650,72000,72000,72500,72600,70000,69997,69900,70000,70000,70000,72500,72000,70000,69900,69900,69900,69900,70000,69900,69900,72000,70750,71000,70000,71950,71400,70000,72000,73850,74249.5,75000,75000,75000,75000,75000,75000,75000,76000,75000,75000,75000,75000,77500,79900,79900,78995,79000,77900,79900,84786,83000,82000,80000,82250,82500,85000,85000,85000,85000,85000,86450,87900,89900,92000,95000,99000,95250,98000,99000,99900,99999,1e+05,101489,105000,105000,109900,108250,110000,110000,109000,110000,111500,111364,110000,115000,119000,119000,115722,115000,115650,119900
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,84900,84900,85900,88900,84900,85000,86900,85950,87500,87500,88999.5,85000,84900,80000,85000,84900,85000,85000,84999,80000,80000,79900,79900,79000,79900,79000,79900,79000,77500,79000,79000,75900,75000,75000,74900,74900,74900,74900,74999,74900,75000,77500,75000,76950,79000,77900,75000,75000,74900,75000,75000,76250,75000,75000,77500,78000,79000,79900,79900,79900,79000,79000,79000,78500,79900,79900,79900,79750,79750,77300,75900,75000,74900,74900,75000,75000,79900,79945,79900,79900,79900,77000,75000,76009,79900,80000,85000,87910,89900,89900,89900,89250,90000,90000,89900,89108.5,89900,89900,89900,93000,95000,97500,99500,99900,99999,1e+05,1e+05,1e+05,103950
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,71450,72900,73900,74000,72900,70000,69900,69900,68950,65900,65900,65000,64000,60000,60000,60000,60000,60000,59900,59900,59000,59000,59900,59000,59900,60000,62500,63000,63455,65000,66300,70000,69900,74900,74000,76000,79900,80000,84900,85000,90000,90000,92000,94900,98900,99900,1e+05,102437.5,105000,108000,110000,110000,110000,114713,114900,112900,110000,112000,114900,114900,114900,115000,114900,115000,119900,120000,115000,122395,125000,125900,128000,129999,132000,133900,132000,134900,136500,138900,142050,144000,145000,145000,146500,147900,149000,150000,153000,154000,154900,157000,156200,158900,159547.5,160000,161250,162495,160000,164900,164000,167000,169000,169950,170000,174900,174900,175000,179000,177700,178500
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,74900,70000,70900,70000,69900,69900,69900,70000,69900,69500,69000,69000,69900,64900,65000,65520,65000,64999.5,63900,64000,63000,62000,60000,60000,59900,60000,60000,60000,63900,64050,65000,64000,63500,65000,63500,69900,69900,70000,72000,73150,75000,77000,78000,84000,84000,85000,85700,89900,89900,89900,89900,89999,90000,91000,89999,94900,94900,94900,94900,96000,99000,1e+05,1e+05,101000,105000,103000,105000,105000,109900,109900,110000,110300,111900,115000,115000,115000,115000,119900,119997.5,120000,121500,125000,125500,125000,125000,129900,132900,135000,135000,139900,140000,142000,145500,145000,148000,149000,150000,150000,154900,155000,155000,157625,159900,160000,164427.5,165000,169000,169990,170000
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,194900,199000,199900,2e+05,208000,205000,205000,209000,209000,209900,211388,210000,205000,199900,199900,199999,199900,199000,199000,195000,195000,190000,190000,189000,189000,189000,189900,190000,195000,190000,192000,195000,189000,195000,195000,2e+05,209500,215000,215900,225000,225900,239000,249000,249900,259900,264000,265000,271450,275000,275000,280000,289000,279900,285000,289900,293500,290000,289000,286000,289000,295000,290000,295000,296400,299000,288750,317000,317000,315000,315000,309450,315000,318500,320000,324900,324500,329000,330000,340000,345000,345000,349000,349000,349900,355000,360000,359000,355000,360000,365000,367000,369000,369900,375000,379950,380000,379900,385000,381000,389900,395000,395000,396000,395000,399000,399000,399000,399000,395000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,68500,68949.5,69900,69900,69000,69400,69000,68795,68900,69900,70000,69500,68900,67500,65500,65000,65000,67500,66310.5,68000,69500,65000,63950,60500,60452.5,62000,63000,64000,64900,64900,64900,63500,61900,64900,65000,65000,65000,65000,66500,69000,69000,67600,65000,64950,67900,69900,68850,67500,65900,64900,65000,68000,69900,66950,60000,67000,67000,65000,61750,60000,63900,65000,69000,69999.5,74000,72000,72500,76957,79900,80000,80000,85000,80300,80000,85900,89900,89999,91000,95250,94900,94900,95000,99250,1e+05,101000,1e+05,109900,110000,118900,119900,119900,122900,120997,122500,125000,125000,125000,128000,129900,135000,135000,135000,138560.5,135000,139900,139000,140000,140000,140000
