"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687500,699000,699000,699000,699000,699000,740000,769970,765000,775000,885000,889000,825000,899000,829000,837500,829941.5,806500,825000,836500,849000,850000,860000,899000,908250,919880,940000,940000,905625,895000,899000,925000,925000,9e+05,893000,865000,849000,840000,879000,860000,850000,830000,849000,850000,850000,849949.5,849000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,329000,299250,330000,335000,339000,330000,332950,330000,330000,325000,324450,315000,315000,324000,319000,314900,319000,324450,324500,319000,314900,300450,3e+05,299000,299000,299000,299000,299000,310000,325000,339000,339000,339900,339000,335950,339500,349000,359000,385000,399925,406500,420000,428500,429000,425000,425000,429000,420000,425000,439000,435000,445000,449900,449000,445950,445000,449000,450000,449000,449000,439000,459000,488000,489000,499000,499000,489000,495000,499000,499999,499000,509000,515000,519000,515000,525000,525000,534970,529000,529000,530000,539000,539500,535000,549524,561503.5,569982.5,579000,585000,579000,575000,575000,579819,585000,589000,579000,579000,599000,599000,599999.5,599000,599999,599000,599000,599000,599000,599000,599000,598000
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,294900,295000,289900,289000,285000,284900,279000,284900,270000,275000,274900,265000,261950,262450,262000,265250,268700,264900,259000,250000,249900,249000,239900,239000,239000,244900,249000,250000,249900,249000,235000,230000,229000,225000,225000,225000,229000,245000,250000,260000,269000,272700,275000,269900,275000,279000,270000,264250,270000,281750,295000,299000,299000,299000,299000,294000,295000,294900,285000,278457,279000,288900,294900,294200,289900,289000,285000,279900,280000,279900,279100,279900,282500,299000,299999,307450,309000,309000,310000,309000,320000,325000,327900,325000,339000,349900,349900,349900,349900,350000,349900,340000,349500,349999.5,350000,350000,370000,372500,359999.5,363000,359000,357900,350000,349900,350000,352000,350000,358000,363888
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149875,162400,164900,179900,180000,179900,179900,189000,189000,175000,160000,184500,186900,190000,197500,198000,199900,202250,209000,210000,212000,218000,215000,219900,225000,219000,205000,214900,212000,205000,204900,209900,209500,2e+05,203200,189900,185900,189000,184999,182000,188000,192500,195000,199000,199995,199000,195000,194500,195000,202370,199900,208000,199000,193000
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,317450,325000,329000,318500,319894,310000,314995,308750,310000,299900,299100,295000,294000,295000,289900,275000,279450,274950,275000,275000,275000,280000,289900,289500,289900,289900,299000,289500,289000,282222,289000,289000,289999,289900,289000,287950,289900,295000,309000,299450,299900,296000,294900,299000,299000,299000,3e+05,299000,289000,299000,299000,299900,295000,298000,299000,299900,314000,299700,299900,317000,312499.5,315000,321250,314900,319975,325000,319500,315000,324900,335000,345000,348450,339000,335000,329900,329000,325000,325000,325000,329900,347350,335500,345000,341000,349900,350000,355000,355000,349000,348000,350000,350000,350000,349850,350000,350000,350000,350000,349900,350000,349000,349000,339999,339999,339994.5,349000,349900,350000,355000
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,125000,129900,129900,129900,129900,129900,132900,130000,130000,134900,135900,139900,140750,148000,149000,144900,148500,149900,150000,139000,141000,150000,158760.5,162250,160000,169900,170000,169900,169799,173250,175000,169900,168922.5,172000,177750,185000,185000,189000,189900,189900,189900,190000,194500,189950,192500,189900,194200,189900,194950,190200,199250,2e+05,199925,2e+05,199000,199000,199900,199900,2e+05,199937.5,199500,199384
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,78000,75000,74900,72000,70000,69900,69900,69000,68000,65000,65000,64500,64900,63497,63900,61700,59949.5,58900,56800,60000,63900,64900,62000,62000,62000,59900,59900,60000,69000,70000,70000,64900,64900,65000,64000,67000,69900,70000,74900,75000,81999,85000,80000,89900,89000,89500,89500,89000,89000,89000,89900,91900,94900,94900,89999,94900,95000,95000,96825,96000,98000,104800,104888,103000,1e+05,99998,105000,107500,109900,112950,119000,119000,120450,121500,119999,120000,119000,119900,119900,120000,125000,125000,125900,125000,125000,129900,134700,139900,139900,140000,145000,149000,150000,150000,153450,159900,159900,165000,165000,161000,162250,165000,165000,169900,169900,165000,165000,165000,165000
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,325000,328250,325080,324900,329460,319900,315000,320000,310000,299000,299000,290000,284947.5,279950,285000,285000,280000,284900,280000,275000,268302.5,260178.5,268750,269000,269000,269900,275000,274500,285000,295000,295500,295000,295000,296500,289937.5,295000,3e+05,325000,335000,340000,345900,349900,355000,359000,359950,359000,349250,350000,355000,366500,379000,374950,358000,369000,389650,389900,389000,379250,390000,385000,382000,380000,395000,399900,409000,385000,419000,410250,419000,418888,415000,419000,419000,425000,429000,439000,445000,449000,449000,445000,439900,439700,435000,435000,448000,444950,439000,449000,469000,465000,469450,460000,459000,474999,465000,460000,475000,475000,475000,485000,515995,519900,525000,519000,524888,509000,515000,515000,519950
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315900,3e+05,298000,290000,269900,286000,297000,296500,289000,295000,308100,3e+05,309000,314900,294750,289000,270000,278500,290950,299900,285000,284250
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",10,329000,329000,329000,319919,319950,315000,299925,299500,298000,287450,279894,284281,276165,274900,275000,279900,283900,295000,294500,294900,279894,275000,275000,275000,283000,289000,294900,299000,299894,299000,305000,3e+05,314500,334900,329950,349000,350000,369000,379850,395000,409999,4e+05,414950,420000,425000,410000,411250,399988,423499.5,425000,449000,449000,449950,464499.5,459888,451194,474999.5,466995,450000,446425,439419,450000,485000,495000,499950,519444,510000,525000,539000,539000,531500,529888,529919,568000,570000,569475,589000,585000,570000,575000,585000,582500,575000,575000,589000,598000,599000,599000,609999.5,599888,625000,615000,626500,643500,636500,639000,639975,675000,696500,710000,720000,745000,748000,729000,718944,699000,698900,698000,699900
