"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,569000,565000,569000,569000,569000,559000,559000,559000,550000,549000,549000,549000,549000,535000,539999,529000,529999,530000,529000,529000,529000,529000,529000,529000,524999,525000,524444,525000,539000,539000,539000,535000,529900,529000,529000,529000,529000,529000,530000,539000,539000,539000,539999,549000,550000,556000,559000,575000,575000,569000,569000,589000,599000,625000,629000,630000,629000,629000,599000,599999,619000,599000,619000,659999,679000,649000,669000,699000,699900,725000,769000,790000,799000,799000,795000,849000,849000,850000,849999,849000,829000,833875,849000,845000,825000,819000,849000,875000,899000,908561.5,905000,9e+05,899999,925000,940000,928000,9e+05,935000,930000,950000,969000,975000,980000,972500,985000,979000,979000,968000,949444
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,4e+05,390000,399000,396000,395000,370000,359900,364450,365000,359000,349999,344925,339450,329700,336000,324700,330000,325000,315000,325593,325000,330000,339000,334999,330000,334999,341450,339500,340000,349900,349903,350000,349900,365000,375000,380000,389900,399000,401900,430000,449900,450000,472500,497450,499000,499000,499000,499900,499000,499000,499000,499900,525000,547000,549000,575000,580000,570000,559000,579000,580000,587900,589000,649999.5,650000,685000,698500,699000,699000,699000,699000,699000,699000,699000,699000,695000,699999,719900,719000,745000,749000,749000,750000,749900,775000,779250,789000,8e+05,799000,799000,799000,8e+05,799500,829000,829900,849000,850000,899000,9e+05,925000,970000,995000,995000,999000,999999,1e+06,1e+06,999000,999000
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,139900,149450,149900,150000,150000,150000,155000,155000,169900,155000,149900,151250,159500,158091.5,169900,189000,189000,183250,189900,189000,184000,175000,159900,159200,169000,175000,182425,189000,190000,199000,195000,199000,195000,189900,185000,180000,194900,210000,215000,210000,2e+05,199000,195000,190000,189700,185000,179900,180700,199900,199995,215000,219900,215000,214900,215000,225000,215000,205000,199900,2e+05,219000,235000,249000,259900,269000,265000,269000,269900,260000,250000,249000
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000,184949.5,157450,165000,159797,159500,185000,189900,195000,185000,189900,193000,189900,182000,210000,195000,212000,212400,205950,195000,207500,225000,220000,244000,244999.5,222900,235000,230000,215000,217250,225000
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160912,170000,169900,168999,167000,169000,169900,169500,169000,169000,175000,169000,159450,167200,165000,169000,175000,174900,174500,175000,179950,179900,194900,198900,212400,210000,215000,220000,242450,234000,234000,239950,229000,223950,224900,229000,224900,229000,224900,235000,234950,249900,269888,275000,272500,287500,275000,295000,299000,295000,299000,299000,299900,322000,298950,299900,295950,309500,319000,317000,316000,319000,319000
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,175000,175000,179000,186500,193500,195000,195000,199000,195000,193400,194750,199900,199000,191900,189000,172900,175888,190000,190000,195000,199000,189900,199000,195444,197444,199000,199999,199000,2e+05,215000,215000,226500,225000,225000,220000,229499.5,228000,235000,235000,235000,239000,243750,249900,249450,265000,274900,275000,280000,285000,289000,285000,285000,299000,307499.5,325000,322000,324950,330000,330000,330000
"San Diego","CA","San Diego-Carlsbad","San Diego County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049000,949450,9e+05,949950,954950,960000,999949.5,1025000,1090000,1099500,1100000,999999,987000
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1324500,1300000,1337500,1375000,1335000,1300000,1258944,1294000,1299888,1250000,1225000,1298000
"Jacksonville","FL","Jacksonville","Duval County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128500,150000,155000,139950,152000,147500,152500,179450,164000,156000,146250,157000,154450,147500,159950,157450,160000,152500,157350,175000,175000,189500,2e+05,220000,197675
"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695000,1612500,1399000,1495000,1680000,1829000,1814000,1790000,1749000,1625000,1724500,1800000,1800000,1849000,1700000,1850000,1850000,2150000,2197500,2e+06,1998000,1939500,1995000,1995000,1999000,1875000,1995000,1988000,1995000,1995000,1997000,1960000,1950000,2045000,2259000,2195000,2295000,2318900,2300000,2400000,2500000,2650000,2760000,2500000,2450000,2300000,2295000,2350000,2395000,2350000
