"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,399000,399000,399000,399000,399000,398000,395000,395000,390000,389000,385000,385000,379000,379000,375000,375000,375000,374000,370000,369990,369000,369000,365937.5,368000,365000,365000,360000,362000,365000,362250,365000,360000,365000,360000,359000,359900,360000,365000,369000,369000,375000,370900,375000,375000,375000,379000,379000,379000,382000,381750,385000,389000,388000,389000,389000,389000,389000,395000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,4e+05,4e+05,409000,415000,419000,425000,425000,429000,429000,429000,430000,430000,430000,429900,439000,439000,439999,439000,448000,445000,449000,449000,449000,449989,450000,450000,459000,459000,459000,459000,460000,469000,470000,475000,475000,475000,475000,475000,479000,485000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,429950,429900,430000,429000,429900,429000,429000,429000,425000,425000,424950,424900,419000,415000,414000,399900,399900,399900,399000,399000,399000,398100,397500,395000,395000,395000,395000,395000,399000,399000,399900,399900,399900,409000,414000,420000,425000,425000,435000,441950,450000,469900,475000,475000,479500,489250,489900,495000,499000,496500,499000,499900,509000,516250,519000,520000,519700,519000,520000,515000,525000,529000,530000,549000,549900,550000,550000,559000,559900,565000,565000,574700,575000,577838.5,575000,580000,589000,589000,589000,589999,599000,599000,599999,609000,619000,620000,624250,620000,625000,644000,645000,639000,639950,645000,649000,649000,649750,659000,669000,675000,674500,675000,675000,675000,679000,679000,679000,679000,680000
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,215950,217900,218500,217000,210876,210000,209900,209000,208000,199900,199900,199000,199000,199000,194900,189900,189900,189000,185981.5,185000,184900,179900,179000,178500,175000,174900,174900,174900,174900,174900,174900,174900,174000,174900,173400,170250,174900,175000,175000,177500,179000,179100,179900,180000,189000,185000,189000,187635,184900,189000,190000,195129,199000,199000,199000,199000,199500,199000,199000,199000,197000,199000,199000,199900,2e+05,204900,204900,204900,204900,2e+05,199900,204900,205000,209900,214500,214900,210000,215000,217250,215000,215000,215000,215000,214900,215000,219000,219900,222900,224900,225000,225000,225000,225000,225000,225000,225000,229000,229900,235000,239873,239900,239000,239000,239900,239000,239000,237900,235000,238000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,145000,145500,147000,147000,146990,146500,145000,145710.5,145990,145900,145374,144900,142000,140000,140469.5,143000,143000,142900,142500,140900,140651,142000,141990,140000,140000,139900,139900,139900,139900,139900,140000,140000,142000,142000,142500,144900,143800,144000,144900,145000,146925,148000,148900,149900,149900,149900,149900,149900,150000,152990,153000,154900,154950,155500,157000,157900,159900,159900,159900,160570.5,163450,164000,165000,168000,169450,169900,170000,170000,174900,178000,179000,183900,184000,185000,187352.5,189000,189000,189090,190000,190000,192000,192900,192500,193000,195000,197500,197500,199500,199900,199990,199990,199990,2e+05,199950,200139,204999,204904,204900,205000,209900,212000,214900,214600,213000,214900,214500,215000,215000,215000
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,141485,141900,142500,144900,145000,145000,144900,141900,142900,141900,140900,140000,141900,141995,141900,141400,143500,143322,142497.5,139990,139950,140000,140000,140000,140000,141250,140000,141650,143000,144900,144000,145000,145000,145000,146869,146718,146053.5,148000,148992.5,149000,149900,149900,150000,151000,153995,154900,154995,156422,157411,156995,159043,159500,158995,159814,159000,159000,159900,160000,160250,160000,160000,165000,169995,172900,172490,174900,176000,179000,178000,179900,179900,182500,179000,174999,175000,177000,179000,179490,179000,178000,179500,180000,181000,185000,185000,185000,185900,189000,189450,190000,192000,190000,190000,189900,190000,192990,194999,195000,198905.5,199990,2e+05,201003,200500,204900,205000,206500,209900,213000,214995
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,210000,214900,211900,214900,209900,209250,205450,205000,2e+05,2e+05,199900,199900,199900,199500,199900,195250,195000,194900,190000,189900,189900,189500,189000,185499,188250,184900,184900,184900,184514,184557,180000,179997,180000,183900,184500,182500,179999,179900,182900,184945,185000,185000,185000,184875,183500,183950,185000,185000,185000,185000,189000,189900,189900,189900,189000,189000,189000,189900,189900,189900,189900,189900,189999,194900,194900,193450,192000,194900,194900,194900,194900,194999,195000,195000,195000,195500,199000,199900,199900,199900,199900,199950,2e+05,202500,209000,209000,209900,210000,213488,214900,215000,219900,224500,224775,224500,224900,225000,224945,225000,229900,229999,230000,234999,232472,230000,234900,235000,235000,235000
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,159000,159000,158700,156900,154900,150000,149925,149900,149000,145000,144900,144493,142900,141000,140000,139900,139000,139000,134950,134000,133900,133500,134900,135000,135000,137450,139900,140000,143000,146000,149500,150000,150000,155000,155000,158000,159900,160000,165000,169990,175000,175000,180000,180000,189000,185900,189000,189000,189900,193495,198875,199500,199900,199900,2e+05,199999,2e+05,204900,207400,208100,208500,206000,207500,209900,210739.5,213300,214900,215000,215000,219500,220000,224500,224000,225000,225000,229500,229900,229900,235000,233250,232000,232000,235000,235000,239000,240000,240075,245000,245000,247000,249000,247334,249900,249992.5,250000,251300,254900,255000,259000,260000,264200,264900,262900,267000,265955,267000,269999.5,269900,270000
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,145000,145000,144925,143950,144900,141750,140000,140000,139990,139900,138970,135894,135000,134900,132000,130750,129990,129900,129900,129000,127900,126995,125000,124900,124900,125000,126990,127000,129000,129900,128000,129500,130000,130000,134900,139000,139900,140000,145000,146500,149990,151000,155000,161000,165000,169900,169900,174900,175000,175000,175000,177500,179900,179900,180000,185000,185000,185000,186800,189900,189900,189900,190000,195000,196945,198850,199000,199888,199999,2e+05,2e+05,2e+05,204000,205000,205000,209888,210000,215000,215000,218000,219900,220000,220000,223000,224000,225000,229000,230955,234900,239900,239900,240000,241000,245000,249000,249900,250000,255000,259000,260000,265000,265000,270000,275000,275000,279800,280000,284000,284674.5
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,394320,399000,395000,399000,399000,399000,399876,399000,399000,399000,399000,390000,385000,379000,379000,379000,379000,379000,375000,369000,366900,361600,360000,360000,359900,359000,359900,360000,364450,365000,369000,370000,374895,380000,385000,389800,392900,399000,399894,4e+05,419000,425000,432800,439000,449000,449000,449000,449000,450000,450000,450000,460000,464900,469000,470000,475000,475000,475000,479000,475000,479000,484900,489000,495000,495000,498000,499000,5e+05,510000,515000,519000,525000,525000,525000,525000,529900,535000,535000,539900,545000,549000,549000,549900,549900,559500,565000,562000,570000,575000,580000,589000,585000,587900,589444,595000,594995,594995,599000,6e+05,619000,620000,620000,624900,629000,625000,625000,625000,624450,629000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,154900,151731.5,153000,154900,150000,150000,150000,149900,150000,151440.5,150000,150000,150000,150000,150600,149950,153000,153638.5,153900,150000,149900,149900,149000,149000,145550,146737,149000,149900,149900,149900,149900,149997,150000,150000,154000,149900,150000,150565,150000,150000,150000,149999.5,152000,150000,151000,154900,155000,156388.5,155000,154500,155000,156900,159900,160000,159999,159900,159900,164200,160000,159900,162500,169900,169900,169900,170000,171500,174900,175000,174900,175000,175000,179900,180000,180000,179700,185000,185000,187000,189900,195000,195000,2e+05,2e+05,205000,205000,209900,209000,210000,210500,213000,219900,220000,220000,220000,225000,225000,229900,235000,238950,240000,245000,243750,242499,239900,239900,242000,249500,249900,250000
