"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,749000,739000,725000,725000,740000,740000,739000,733000,739000,749000,749000,755000,749999,740000,759000,775000,775000,770000,769000,760000,760000,775000,779000,785000,795000,798000,795000,825000,838000,849000,839000,825000,849000,849000,849000,859000,875000,850000,889950,880000,880000,895000,875000,875000,883750,895000,949000,940000,949000,899000,899999,945000,999000,1095000,1055250,1050000,1075000,1162500,1198944,1200000,1250000,1250000,1250000,1250000,1249000,1199000,1198000,1190000,1225000,1250000,1250000,1250000,1357405,1349000,1293750,1345000,1275000,1250000,1220000,1199000,1199000,1200000,1225000,1250000,1250000,1285000,1288000,1295000,1299000,1299000,1290000,1275000,1288000,1299000,1300000,1309050,1299999,1299000,1279000,1275000,1275000,1250000,1225888,1199000,1200000,1202087,1225000,1241000,1230000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,970000,971500,995000,990551,980000,979000,950000,950000,949000,939250,945000,929945,9e+05,935000,925000,899000,919000,899000,899000,899000,899000,899000,899000,899000,899000,899000,899000,9e+05,925000,949949,959000,959900,950900,989000,980000,950000,990000,995000,999000,1e+06,1095500,1100000,1125000,1100000,1125000,1149000,1150000,1179000,1189000,1195000,1175000,1195000,1199000,1196500,1187000,1154500,1185000,1189000,1199000,1199000,1199000,1248000,1249000,1275750,1295000,1295000,1288000,1298944,1299000,1298000,1299999,1324000,1375000,1375000,1350000,1349000,1395000,1390000,1389000,1395000,1395000,1399999.5,1449000,1475000,1495000,1479000,1495000,1474997.5,1495000,1499000,1499000,1499000,1500000,1549000,1589000,1599000,1649475,1600000,1600000,1599000,1599000,1599000,1599000,1599000,1599000,1599000,1599000,1599900,1615000
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,429000,425000,424000,419000,419000,423564.5,419950,424500,409000,414900,414500,408500,4e+05,409000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399834,399900,399900,4e+05,399900,399900,399000,399000,399900,399999,4e+05,399900,4e+05,409800,409000,419900,424000,420905,425000,425000,439900,439900,435000,440000,449000,439900,439000,439000,430000,434900,439000,435000,440000,440000,445000,449000,449900,449000,445900,442000,449000,449900,449900,449900,459000,459000,465000,475000,475000,479000,475000,475000,475000,495000,495000,496000,499900,509900,525000,539000,545000,534900,519000,515000,525000,525000,524900,504900,519000,520000,529000,542000,550000,549900,539000,545000,539000,529900,529000,525000,528000,525000,529000,534995,539900
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,369500,364000,356900,354900,359900,359900,350000,350000,349900,349000,348990,340000,339000,342034,345000,348000,349000,349017,349000,349556,347700,349000,345000,349000,345900,349900,350000,349900,349500,349800,349000,349000,349900,350000,355000,359000,365000,368500,374000,379500,379900,385000,385000,389000,396900,399000,399900,399900,419000,425000,418916.5,421900,425000,429900,439000,439500,449000,449000,449900,450000,457306,459900,459000,464000,459900,459000,450000,449924,449950,450000,450000,464900,459900,465000,461307.5,465950,464900,459900,457420,455000,459000,454765,455321,450000,450000,454900,459000,459900,459900,450000,450000,450000,450000,450000,450000,449900,449800,449900,450000,455000,450000,450000,450000,449900,450000,455000,455031,450000,450000
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,279000,279900,279970,280000,279900,284500,286001,279500,270990,272000,272490,273131.5,269133,270000,269116,270500,272500,269500,274850,275000,274900,275000,274900,275000,275000,275000,279900,279900,280000,287770,285000,285000,289000,289500,289990,290055,289990,292900,296490,295900,295000,291390,291784.5,294945,298500,299000,299997,304900,300860,301500,297995,301251,302003,299988.5,299850,299900,3e+05,305000,309900,316916,317000,314995,304915,310000,308379,309000,306900,299999,310000,303069.5,305990,310945,317000,329900,329900,339000,339500,329900,329900,330000,335700,336600,338000,339900,339990,342150,344900,345000,343900,344900,343551,341990,339990,338714,334990,331282.5,334900,333945,339000,339999,339900,339900,339900,343900,341449.5,342499,340990,344990,342000
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,425000,429900,429900,420000,424900,425000,419000,409900,404900,409900,399900,399000,399900,399900,399900,399900,399900,395000,395000,397750,395000,389900,389900,389900,389900,389900,389900,399000,395000,389000,389949.5,395000,399000,398949.5,399000,399900,399900,399900,409000,399899,399900,399000,395900,399000,399000,398980,399900,399900,404900,404900,409800,414500,4e+05,4e+05,399900,399900,409900,407949.5,407949.5,407900,4e+05,407900,409000,407900,419900,415000,419900,420000,420000,420000,421000,425000,429000,425000,425000,429000,429900,425000,425000,429945,449000,446900,449900,450000,440000,439000,439900,445000,450000,449900,450000,459000,458000,450000,450000,450000,451000,450000,450000,450000,449992.5,455875,459900,459000,459000,465000,460000,469900,475000
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,350000,350000,350000,349900,349000,344900,340900,335000,335000,329900,331990,329500,329000,329900,329900,329900,325000,322000,324900,319900,320000,320900,320000,324900,329900,339900,342900,341900,349000,350000,350000,349999.5,359000,361990,367700,374900,373500,375000,379000,389000,395000,389900,399000,397800,399000,399000,399000,399900,399900,4e+05,409000,4e+05,399900,399900,399900,4e+05,408994,409900,415000,419000,418950,419900,424900,425000,424900,424900,424900,424990,425000,429000,430000,434900,439000,439000,439000,439900,445000,445900,449900,449000,449800,449900,450000,453500,457000,459900,469000,460000,459900,459000,450000,450000,459000,460000,459900,465000,469900,475000,479900,479750,479900,479000,478200,485000,489900,489975,495000,498426,499900
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,325000,320000,315000,305640,299999.5,299900,299900,294900,289000,280000,279000,275000,274900,275000,274945,266000,259900,259900,259900,255000,259900,259900,255000,255000,254900,259000,260000,265075,269900,270000,269900,274900,275000,280000,284160,289000,289000,290000,295000,299500,299000,299900,3e+05,308939,315000,324900,325000,330000,330000,335000,339999,348135,349999,350000,350000,359000,359000,359000,359925,364990,364000,360000,369000,375000,369999,369990,369950,370000,374999,369990,375000,375000,375368,380000,379999.5,389000,389500,389500,388880,389000,390000,392130.5,399000,399900,399999,406495,404900,410000,415000,422500,425000,430000,430000,435000,445000,449000,449900,455962.5,453690,457970,459900,459000,465990,468995,468990,469000,474999,477500,475000
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,849950,825000,8e+05,799000,815000,820000,799000,799000,799000,795000,792075,775000,765000,757875,750000,765000,756750,749900,746591.5,740000,745000,732950,739900,749000,749900,755438,769000,779949.5,798500,799000,799000,799000,799000,799000,799000,848000,849000,849950,849000,859000,889000,895000,899000,899000,924950,899900,917000,935000,940000,939999,929000,939000,929650,920750,925000,945000,949000,929000,950000,950000,949900,995000,996500,999000,995500,973900,979000,984995,995000,1038259,999999.5,1049000,1072500,1096500,1099000,1072000,1055000,1059000,1075000,1075000,1075000,1070645,1092500,1150000,1140000,1150000,1125000,1150000,1125000,1175000,1195000,1195000,1199000,1199000,1199000,1210000,1199350,1225000,1249000,1230000,1274888,1250000,1199000,1229900,1249000,1249000,1240500,1249000,1250000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,399000,395000,394012.5,388999.5,384999.5,379900,379000,375000,375000,369950,371000,369500,374950,375000,375000,379000,379000,379000,379000,375000,369900,374900,374900,375635,379000,380000,389000,395000,395000,395000,395000,395000,399000,399000,399000,399900,399900,4e+05,415000,414450,419000,417500,417450,419995,425000,425000,425000,428000,425000,425000,425000,435000,438000,449000,450000,450000,450000,449900,449900,459900,465000,474900,475000,479900,475000,481610,483950,479900,480000,489700,493500,489900,499000,5e+05,515000,520000,525000,524900,524249.5,515000,525000,530000,529800,535000,530000,543750,549000,559000,550000,549990,548400,545000,539900,539000,535000,548000,549000,549900,549900,552510.5,559000,549900,549000,549000,549000,549900,544000,542995,549900
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",11,1042000,1095000,1089000,1050000,1059000,1063500,1054000,1069000,1088000,1088000,1088000,1088000,1025000,998900,995000,985500,985000,995000,995000,995000,985000,979000,979000,999000,999919,1028500,1018888,1045000,1099000,1050000,1099000,1099000,1134500,1175500,1198000,1199000,1228000,1199999,1199999,1237000,1250000,1295000,1320000,1299950,1349000,1345000,1375000,1374950,1400000,1393400,1348000,1371975,1388800,1398000,1400000,1398500,1419000,1448000,1474999,1449475,1599888,1559000,1590000,1589000,1524500,1558800,1598000,1659000,1599950,1598000,1659000,1673500,1745888,1699000,1649499.5,1650000,1650000,1659999,1620000,1599444,1649000,1668000,1684444,1748800,1788000,1750000,1796500,1788450,1750000,1765000,1699999,1749900,1799919,1894500,1899250,1899000,1999000,1999000,1999888,2e+06,2e+06,2030000,2099000,2049888,1998888,2098000,2149500,2149000,2196500
