"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,2300,2450,2495,2400,2600,2795,2650,2900,2600,2350,2595,2695,2700,2700,2800,2853.5,2850,2800,2650,2595,2450,2600,2550,2595,2650,2600,2650,2695,2700,2750,2750,2800,2800,2800,2800,2800,2900,2800,2700,2800,2850,2850,2900,2900,2916,2924.5,2895,2850,2949.5,2995,2895,2900,2900,2950,2895,2817.5,2900,2950,2950,2950,2900,3000,3000,3000,3000,2995,2984,2995,2995,2950,2990,2990,2985,2900,2950,2955,2928,2950,2900,2885,2900,2995,2995,3000,3000,3000,3000,3000,2999,2950,2950,2925,2900,2899,2850,2864,2900,2900,2900,2900,2900,2850,2815,2800,2800
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2375,2700,2650,2600,2600,2600,2800,2800,2895,2900,2995,2950,2990,2995,2995,2995,3049,3200,3200,3295,3300,3395,3300,3295,3200,3250,3350,3400,3400,3450,3295,3300,3295,3195,3495,3195,3500,3250,3300,3400,3500,3500,3550,3512.5,3500,3567.5,3500,3500,3500,3500,3495,3450,3461,3500,3500,3577.5,3500,3600,3600,3599,3600,3564,3500
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,1600,1500,1500,1500,1550,1500,1500,1600,1650,1700,1800,1600,1600,1600,1600,1625,1621.5,1650,1650,1650,1650,1600,1600,1613.5,1630.5,1650,1600,1600,1650,1650,1650,1599,1600,1568.5,1600,1597,1590,1590,1575,1600,1600,1636,1632,1663,1700,1695,1700,1700,1689,1695,1700,1765,1764,1785,1800,1800,1800,1796.5,1790,1750,1750,1783,1750,1785,1781,1795,1800,1750,1720,1726.5,1700,1737,1750,1758.5,1775,1750,1750,1750,1750,1700,1708,1700,1695,1700,1700,1744,1750,1795,1800,1850,1800,1799,1750,1750,1710,1700,1733,1750,1755,1800,1845,1830,1850,1800,1780,1750,1750,1733.5
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1236.5,1250,1250,1299,1350,1395,1400,1400,1401,1400,1400,1400,1413.5,1425,1425,1472,1500,1500,1550,1500,1500,1500,1499,1500,1500,1500,1500,1550,1515,1495,1477.5,1450,1475,1450,1400,1427,1399,1450,1495,1495,1500,1500,1500,1500,1500,1500,1495,1475,1475,1475,1475,1500,1500,1549,1550,1563,1550,1545,1500,1500,1500,1500
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,1160,1160,1162.5,1100,1197.5,1095,1100,1112.5,1150,1150,1195,1200,1195,1150,1100,1100,1100,1125,1150,1150,1050,1050,1100,1100,1100,1095,1075,1095,1040,885,900,889.5,915,909,995,939,950,1000,1095,1068,1075,1067.5,1075,1100,1100,1100,1130,1150,1150,1125,1102,1100,1099,1100,1100,1120,1100,1125,1150,1135,1125,1100,1100,1105,1105,1135,1140,1100,1082,1075,1075,1087.5,1095,1064,1059,1095,1029,1150,1189,1196,1200,1225,1285,1275,1250,1250,1250,1240,1225,1245,1250,1250,1250,1295,1295,1300,1300,1275,1275,1295,1295,1295
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,1350,1292.5,1250,1300,1450,1500,1500,1450,1495,1472.5,1500,1400,1390,1450,1500,1495,1462.5,1475,1495,1400,1350,1325,1327.5,1250,1350,1400,1425,1400,1400,1350,1285,1200,1200,1225,1150,1150,1200,1295,1350,1400,1350,1300,1295,1300,1275,1250,1250,1250,1200,1250,1300,1500,1500,1500,1452.5,1400,1375,1350,1300,1395,1400,1500,1550,1595,1550,1500,1500,1475,1425,1425,1400,1400,1425,1500,1575,1550,1500,1450,1400,1395,1300,1395,1300,1350,1392.5,1500,1549.5,1550,1550,1500,1495,1425,1450,1450,1400,1400,1400,1495,1500,1550,1500,1500,1475,1405,1400,1450,1400,1400
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,1300,1200,1200,1200,1100,1150,1195,1100,1100,1099,1099,1025,1025,1050,1050,1050,1050,1050,1050,1025,1000,995,995,995,995,1000,1000,1000,1050,1050,1000,1000,1000,1000,1000,999,1000,1000,1000,1000,1000,1000,995,1050,1050,1050,1050,1050,1050,1050,1095,1100,1100,1125,1150,1130,1130,1125,1150,1150,1195,1195.5,1200,1200,1200,1200,1200,1195,1200,1195,1200,1215,1225,1250,1250,1200,1215,1200,1200,1200,1200,1200,1195,1220,1250,1295,1300,1325,1325,1325,1300,1300,1299,1295,1300,1300,1300,1345,1350,1395,1395,1400,1400,1399,1395,1395,1400,1400
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,1295,1250,1250,1250,1200,1200,1200,1250,1225,1200,1175,1195,1150,1125,1150,1195,1175,1150,1150,1150,1145,1100,1100,1100,1100,1100,1095,1100,1100,1100,1100,1100,1095,1095,1095,1095,1095,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1150,1150,1150,1175,1175,1195,1195,1195,1195,1195,1198.5,1200,1200,1200,1225,1200,1200,1245,1249,1225,1225,1245,1225,1250,1250,1250,1250,1250,1275,1200,1200,1200,1250,1275,1200,1250,1295,1300,1330,1325,1350,1350,1350,1350,1325,1345,1350,1350,1350,1380,1400,1400,1400,1444,1425,1450,1475,1450,1450,1460
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,3500,3000,2797.5,2500,2550,2100,2200,2200,2295,2295,2295,2250,2250,2200,2150,2099.5,2095,2000,2095,2000,1900,1895,2000,1995,2000,2000,1995,1995,1995,1975,1900,1900,1950,1995,2000,2000,1900,2200,2250,2195,2200,2200,2200,2195,2150,2250,2295,2295,2300,2350,2395,2350,2300,2350,2395,2300,2300,2290,2300,2325,2350,2350,2350,2395,2400,2400,2400,2400,2400,2325,2395,2385,2350,2395,2350,2300,2350,2400,2495,2500,2500,2597,2600,2600,2595,2550,2500,2500,2512.5,2500,2600,2595,2695,2695,2700,2750,2750,2700,2695,2625,2695,2690
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1150,1075,1000,1115,1115,1200,1195,1100,1122,1200,1195,1199,1250,1295,1238,1250,1250,1248,1300,1250,1235,1225,1250,1300,1300,1350,1335.5,1300,1300,1299.5,1300,1300,1300,1375,1395,1400,1400,1473,1475,1400,1400,1400,1400,1425,1469,1497,1495,1495,1450,1450,1450,1405,1450,1495,1450,1500,1550,1600,1600,1650,1695,1650,1650,1655,1600,1600,1600,1600,1600,1600,1650,1650,1650,1670,1644.5,1600,1600,1650,1625,1650
