"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,2800,2723,2775,2800,2800,2900,2995,2995,2995,2700,2595,2400,2600,2566,2600,2695,2750,2750,2800,2800,2900,2895,2950,2900,2950,2900,2900,2940,2850,2700,2800,2895,3000,3150,3150,3195,3195,3195,3195,3197,3200,3100,3100,3100,3100,3085,3095,3150,3100,3150,3167.5,3200,3200,3200,3200,3200,3200,3155,3178,3150,3100,3100,3100,3100,3000,3050,3100,3000,3000,3000,3000,3050,3198,3195,3200,3200,3200,3200,3195,3195,3150,3100,3100,3100,3050,3000,3000,3100,3100,3100,3100,3025,3000,3000,3000,3000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695,2600,2650,2650,2695,2675,2782.5,2895,2850,2850,2895,2895,2900,2950,2885,2950,2950,2950,2962,2950,2800,2875,2925,2850,3150,2800,3000,2850,2900,2975,2999,3000,3000,3034,3100,3195,3000,3000,3000,3075,3100,3095,3095,3150,3200,3195,3100,3100,3100,3125,3200,3007.5,3095
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,1500,1500,1500,1500,1550,1500,1500,1600,1650,1675,1800,1650,1650,1600,1650,1650,1650,1650,1674,1700,1700,1675,1670,1679,1700,1700,1695,1650,1700,1695,1700,1701,1743.5,1699,1665,1660,1700,1664,1650,1640,1650,1650,1649,1695,1775,1750,1775,1782.5,1795,1795,1800,1800,1813,1850,1850,1850,1845,1800,1829,1800,1807.5,1845,1800,1800,1809.5,1811,1825,1800,1796,1800,1795,1800,1850,1850,1850,1800,1845,1800,1825,1800,1800,1800,1795,1800,1800,1800,1850,1850,1900,1900,1900,1850,1825,1800,1800,1800,1800,1850,1850,1875,1900,1900,1950,1900,1850,1850,1800,1825
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326,1350,1303,1285,1317,1303,1300,1300,1300,1303,1295,1300,1300,1300,1300,1300,1300,1300,1303,1300,1400,1390.5,1375,1356,1350,1370,1350,1375,1400,1400,1400,1400,1400,1400,1375,1350,1350,1346,1300,1319,1357,1300,1300,1300,1300,1300,1300,1295,1295,1300,1295,1295,1300,1300,1300,1300,1303.5,1325,1350,1350,1348,1325,1300,1300,1304,1300
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,770,782,850,851.5,850,875,840,825.5,853,877,850,850,875,879,880.5,882.5,995,960,950,900,900,925,950,1000,999,1017.5,1000,979,950,900,899,881.5,875,900,884,876.5,1025,1040,1105,1100,1025,1040,1050,1095,1100,1100,995,1000,950,995,995,975,955,1017.5,960,1025,1050,1050,1025,1050,1100,1127.5,1200,1200,1150,1150,1100,1100,1150,1120.5,1132.5,1095,1100,1100,1100,1150,1150,1150,1147,1149
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,1800,1800,1647.5,1672.5,1900,1900,1950,1850,1895,1850,1675,1650,1650,1600,1645,1700,1650,1750,1750,1750,1700,1700,1700,1550,1650,1550,1582.5,1600,1600,1575,1597.5,1595,1550,1600,1475,1450,1500,1500,1500,1500,1400,1350,1395,1450,1650,1600,1600,1600,1600,1595,1600,1650,1650,1650,1650,1700,1700,1700,1575,1650,1700,1725,1700,1700,1682.5,1695,1750,1700,1750,1725,1675,1700,1700,1700,1775,1750,1700,1700,1700,1700,1600,1650,1697,1625,1725,1760,1775,1800,1750,1775,1750,1750,1700,1695,1700,1710,1730,1750,1795,1795,1795,1750,1750,1700,1750,1700,1695,1700
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,895,800,799.5,835,795,835,950,937.5,950,950,925,899,875,895,900,900,895,900,900,895,850,850,850,850,850,800,800,825,850,800,850,850,850,867,850,850,875,895,875,865,850,845,850,900,895,900,900,900,925,950,975,950,950,975,950,950,950,960,975,985,975,1000,1034.5,1050,1000,1069,1050,1000,1005,1000,1050,1095,1075,1050,997,1000,1000,1000,975,999,1000,985,1063,1075,1100,1100,1100,1135,1147,1150,1150,1150,1145,1150,1195,1150,1175,1175,1200,1195,1200,1200,1200,1200,1200,1200,1200
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,899,895,895,895,895,900,940,900,800,795,800,800,800,850,850,800,815,825,825,800,800,825,800,800,800,795,795,795,795,775,795,795,800,800,825,800,850,850,825,825,900,900,850,825,825,825,850,850,850,850,850,850,850,855,895,900,900,900,925,900,925,950,947.5,935,925,925,900,900,900,900,900,907,907,907,925,995,925,950,950,1100,1200,1100,1195,1200,1250,1250,1100,1075,1050,1052,1050,1040,1042,1050,1050,1095,1100,1125,1135,1147.5,1150,1147.5,1150,1177.5,1150,1150,1150
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,,,,,1950,1895,1950,1900,1850,1800,1850,1895,1895,1895,1850,1800,1800,1825,1750,1695,1750,1750,1700,1795,1800,1800,1800,1790,1787.5,1795,1795,1795,1800,1795,1700,1995,1999,1950,1995,2049,2000,1995,1989,1995,2050,2050,2100,2150,2150,2150,2100,2100,2100,2100,2000,1997.5,2050,2050,2100,2150,2182.5,2197,2195,2195,2195,2195,2100,2100,2195,2199,2100,2195,2100,2025,2100,2150,2200,2249,2295,2350,2395,2395,2350,2300,2300,2300,2300,2300,2300,2350,2395,2400,2400,2400,2495,2450,2400,2400,2400,2400
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1246,1300,1358.5,1364.5,1260,1250,1250,1250,1275,1295,1325,1300,1250,1295,1300,1250,1300,1325,1350,1350,1351,1300,1400,1353.5,1350,1376.5,1400,1395,1395,1395,1400,1395,1367,1350,1325,1395,1300,1375,1395,1395,1400,1420,1471,1480,1458.5,1469,1450,1450,1465,1400,1443,1458.5,1422,1475,1480,1500,1495,1500,1500,1495,1502,1500,1495,1500,1500
