"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,2600,2600,2695,2650,2695,2700,2700,2700,2750,2800,2800,2800,2800,2800,2800,2800,2750,2799,2800,2800,2845,2895,2895,2895,2895,2900,2800,2800,2750,2795,2800,2800,2895,2895,2550,2525,2550,2567,2525,2500,2500,2595,2600,2650,2695,2650,2600,2650,2650,2600,2600,2595,2555,2555,2550,2600,2600,2625,2625,2650,2695,2724,2650,2500,2561,2506,2500,2550,2599,2600,2621,2683,2600,2595,2500,2500,2500,2500,2500,2550,2600,2650,2695,2680,2625,2593,2512,2500,2500
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,1587.5,1795,1535,1535,1547.5,1500,1550,1500,1550,1600,1495,1450,1450,1495,1525,1500,1578,1581,1545,1450,1400,1450,1545,1425,1400,1400,1495,1450,1450,1495,1500,1495,1450,1425,1495,1495,1400,1499,1475,1450,1475,1495,1595,1545,1695,1625,1600,1675,1650,1695,1695,1700,1750,1750,1695,1750,1795,1795,1748.5,1750,1850,1850,2032,2125,2200,2195,2295,2000,2195,1850,1925,1900,1825,1825,1995,2100,2095,2100,2095,2095,2095,2095,2000,2099.5,2095,2000,1995,1998,2000,2000,2095,2100,2150,2150,2100,2149,2147,2100,2189
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,1215,1300,1350,1215,1300,1263,1345,1400,1450,1400,1345,1350,1355,1425,1432,1495,1445,1404,1410,1401,1400,1430,1340,1300,1325,1425,1525,1550,1525,1525,1460,1496,1495,1500,1503,1589,1525,1560,1627,1613.5,1600,1629.5,1600,1565,1600,1650,1600,1550,1550,1550,1508.5,1565,1700,1625,1655,1680,1705,1590,1643,1800,1600,1650,1700,1700,1729,1651,1888,2047,2150,1950,1800,1895,1600,1510,1550,1579,1500,1525,1495,1475,1500,1510,1495,1500,1500,1500,1500,1525,1550,1575,1595,1635,1650,1662,1630,1647,1650,1685,1700,1730,1750,1733,1770,1700,1699,1650,1700
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214,1275,1319,1375,1400,1250,1200,1200,1190,1229,1295,1250,1200,1100,1125,1100,1189.5,1200,1152,1215,1200,1200,1195,1180,1174.5,1195,1150,1180,1166.5,1100,1095,1095,1070,1095,1150,1130,1150,1100,1100,1100,1095,1075,1025,1077,1100,1100,1100,1100,1100,1052.5,1075,1080,1095,1100,1100,1100
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,950,995,899,950,935,902.5,900,995,1040.5,1000,990,975,980,1000,997.5,1010,1075,1087,975,995,925,915,925,950,925,950,950,950
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1200,1300,1295,1175,1150,1175,1200,1275,1295,1250,1250,1200,1250,1325,1395,1350,1330,1350,1395,1370,1400,1400,1349.5,1365,1365,1450,1350,1395,1425,1400,1487,1450,1395,1300,1250,1250,1250,1300,1285,1295,1300,1350,1395,1400,1395,1400,1350,1350,1300,1350,1300,1300,1295,1377.5,1400,1400,1395,1395,1375,1325,1350,1400,1395,1375
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,550,550,595,550,550,555,550,550,550,595,575,575,675,725,750,702.5,775,685,630,625,630,625,625,625,650,650,620,625,600,600,625,650,680,699,650,650,675,675,675,675,625,650,650,675,650,650,625,600,650,631,650,699,695,702.5,700,712.5,695,687.5,650,695,685,692.5,730,742.5,727.5,725,725,725,700,749.5,690,680,775,795,795,795,795,822,850,850,841.5,850,850,850,850,850,850,850,850,880,895,895,895,899,887.5,875,900
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,862.5,885,870,885,800,799,795,850,950,950,925,925,950,950,900,950,995,950,1027.5
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,,,,,,,,,,,1299,1272.5,1295,1299.5,1282.5,1350,1385,1325,1312.5,1325,1275,1212.5,1250,1200,1175,1199.5,1250,1275,1300,1315,1300,1300,1300,1300,1400,1375,1300,1320,1400,1450,1395,1395,1445,1595,1495,1495,1495,1412.5,1395,1395,1395,1395,1450,1395,1395,1395,1450,1550,1550,1595,1497.5,1500,1595,1625,1650,1650,1595,1650,1595,1550,1550,1555,1595,1525,1500,1635,1695,1650,1650,1675,1650,1700,1700,1712.5,1795,1695,1700,1750,1750,1750,1800,1850,1885,1850,1895,1850,1875,1800,1835,1875
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297,1147,1200,1150,1295,1212.5,1300.5,1423,1423,1415,1300,1275,1275,1230,1200,1135,1145.5,1100,1095,1145,1195,1165,1150,1299.5,1400,1397.5,1309,1208.5,1190,1240,1195,1200,1150,1271.5,1299,1341.5,1392.5,1350,1377.5,1389,1515,1395,1370,1350,1364.5,1250,1200,1195,1095,1097,1095,1100,1095,1095,1189,1099,1095,1197.5
