"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,2200,2400,2500,2450,2595,2500,2395,2550,2610,2500,2595,2299,2200,2450,2500,2550,2500,2646,2695,2695,2600,2500,2495,2495,2550,2550,2600,2650,2700,2700,2750,2780,2795,2795,2775,2700,2795,2782,2800,2850,2895,2800,2825,2885,2899,2800,2800,2750,2795,2795,2800,2800,2900,2500,2500,2500,2500,2500,2450,2475,2500,2500,2550,2595,2550,2500,2575,2550,2500,2500,2495,2450,2495,2500,2500,2550,2599,2600,2600,2600,2658.5,2600,2400,2495,2500,2500,2500,2575,2599,2600,2600,2566,2500,2499,2475,2450,2450,2495,2500,2599,2600,2600,2600,2567,2500,2499,2475,2475
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,1762.5,1750,1947.5,2000,2100,2100,2200,1950,1921,1897,1975,1795,1795,1799,1850,1939,1995,1995,1950,1850,1650,1500,1500,1595,1649,1650,1650,1695,1650,1675,1695,1705,1695,1700,1633,1645,1730,1750,1750,1755,1735,1725,1700,1795,1799,1650,1800,1795,1750,1750,1795,1870.5,1890,1974.5,1995,1999,2025,2040,2095,2100,2100,2130,2120,2167,2195,2195,2194.5,2200,2200,2195,2195,2299,2320,2350,2350,2350,2300,2275,2250,2325,2200,2245,2185,2265,2395,2400,2395,2395,2390,2400,2400,2395,2395,2350,2350,2350,2390,2387,2350,2391,2453,2500,2550,2550,2555,2566,2550,2565
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,1645,1350,1315,1325,1317.5,1362.5,1300,1295,1395,1500,1550,1550,1400,1415,1400,1456,1475,1490,1450,1458,1465.5,1450,1400,1425,1437,1400,1395,1400,1425,1461,1483.5,1500,1529,1550,1500,1512,1500,1610,1550,1575,1600,1633,1625,1625,1615,1595,1600,1645,1600,1565,1560,1567,1600,1650,1700,1623,1706,1709,1674.5,1561,1610,1708,1600,1620,1650,1650,1650,1636,1700,1745,1796,1700,1685,1750,1650,1650,1650,1650,1641,1603,1600,1595,1600,1595,1600,1600,1600,1645,1650,1655,1659,1675,1693,1680,1675,1650,1650,1675,1700,1705,1728,1750,1750,1734,1725,1700,1700,1700,1745
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126,1185,1172,1200,1255,1236,1320,1285,1375,1382,1380,1265,1408,1250,1194,1234,1373.5,1366.5,1385,1341,1371,1384,1345,1349,1335,1375,1382.5,1424,1425,1418,1402.5,1407,1420,1400,1500,1484,1500,1475,1485,1469,1471.5,1450,1409,1357,1379,1336,1300,1314.5,1340,1374,1356.5,1379,1375,1350,1344,1364,1360,1377,1405,1405,1400,1425,1440,1450,1436,1432.5,1419,1421,1402,1398,1399,1385,1367
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,950.5,980,921,809.5,750,791.5,800,750,787.5,775,795,819,877.5,800,789.5,800,805,860,866.5,821,800,800,810,855,850.5,830,845,815,800,834,908.5,905,851,860.5,859,877,893,899,906.5,946.5,985,975,975,982,959,1000,1000,989,995,975,975,1000,979,999,961.5,942,950,979,985,989,990,975,1018.5,1020,1000,1012,1063,1040,997,1025,995,1046.5,1014,955,1007,950,1000,1021,1020,1045,1100,1079,1060,1053.5,1075,1079,1075,1080,1085,1148,1127,1109,1125,1144,1150,1150,1150,1125,1172,1141,1166
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,1400,1375,1315,1300,1322.5,1332.5,1395,1400,1400,1350,1300,1300,1200,1200,1200,1200,1300,1350,1390,1350,1347,1350,1300,1275,1270,1275,1250,1275,1430,1395,1355,1390,1325,1300,1298,1350,1300,1350,1355,1285,1295,1294,1300,1400,1400,1400,1375,1320,1350,1395,1325,1350,1390,1400,1450,1440,1410,1400,1400,1380,1395,1400,1380,1400,1425,1450,1450,1500,1450,1400,1400,1400,1450,1400,1450,1400,1468.5,1500,1500,1550,1500,1500,1520,1500,1495,1495,1500,1500,1500,1575,1595,1595,1550,1575,1575,1595,1600,1650,1650,1645
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,710,750,750,825,775,792.5,795,849,847,850,799,777,795,825,825,849,825,825,840,775,730,725,742.5,750,763,755.5,750,760,775,780,795,779,777,760,750,756,778,785,788,790,778,785,800,800,775,795,825,825,825,840,849,850,840,850,850,850,844,850,875,875,885,900,899,895,896.5,900,904,900,905,975,975,970,1000,983.5,975,1016.5,960,969,951,960,949,945,996.5,1062,1150,1185,1136,1133,1110,1086,1067,1060,1045,1050,1062,1085,1095,1105,1099,1099,1100,1118,1100,1142,1141,1123,1149
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,800,850,895,895,895,860,895,795,766.5,750,738,780,780,795,800,805,800,800,825,800,790,750,767,750,763.5,760,750,750,750,750,750,750,750,795,775,758,772,799,799,799,850,894,895,925,925,895,950,995,995,995,995,1000,1000,950,900,900,925,935,989,925,914,925,950,950,950,931.5,940,900,900,939,970,925,939,965,970,950,1035,1100,1099,1085,1100,1149,1050,1100,1150,1150,1149,1075,1045,1015,1040,1000,1000,1000,980,1000,1050,1100,1100,1100,1135,1150.5,1150,1145,1150,1125,1135,1148
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,,2060,1925,1995,1695,1700,1710,1795,1795,1782.5,1795,1800,1850,1775,1600,1626.5,1630,1600,1642,1595,1591,1645,1614,1600,1645,1550,1593,1615,1600,1595,1622,1600,1625,1650,1650,1670,1807.5,1775,1649,1795,1845,1785,1760,1795,1900,1950,1900,1950,1900.5,1925,1900,1895,1890,1905,1900,1900,1900,1935,1955,1995,2000,1995,1980,1955,1960,1959,1980,1995,1975,1995,2080,1995,2020,1950,1900,1950,1985,2000,2035,2080,2105,2100,2135,2135,2129.5,2125,2100,2096.5,2100,2155,2134,2210,2250,2295,2292,2295,2283,2295,2300,2295,2295
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,1050,1000,995,1033,1000,919,948,920,938,1030,973,949,1020,975,1100,1150,1100,1061,1119,1100,1130,1200,1290,1200,1218,1216.5,1167,1217,1232,1179,1285,1337,1335,1325,1350,1300,1300,1320.5,1285,1295,1275,1250,1250,1279,1328.5,1325,1309.5,1297,1250,1290,1280,1280,1300,1318,1355,1325,1289,1319,1338,1375,1395,1371,1355,1375,1350,1324,1410,1410,1350,1327,1395,1400,1425,1436,1437,1430,1443,1479,1455,1445,1479,1479,1480,1529,1481,1475,1491.5,1490,1495,1500,1490,1503,1480,1459,1475
