"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"New York","NY","New York-Newark-Jersey City","Queens County",1,1995,2300,2495,2200,2300,2200,1900,1950,2100,2000,2350,2100,1900,2000,2000,2045,2050,2100,2200,2195,2150,2100,2095,2095,2100,2100,2150,2195,2195,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2225,2200,2235,2290,2285,2299,2300,2295,2300,2295,2295,2300,2333,2300,2270,2295,2300,2300,2300,2323,2330,2350,2400,2395,2400,2395,2400,2400,2400,2375,2350,2350,2350,2350,2350,2325,2349,2350,2349,2310,2350,2375,2199,2295,2400,2400,2430.5,2475,2475,2492,2450,2400,2375,2350,2350,2315,2350,2368.5,2400,2400,2413.5,2400,2400,2395,2350,2350,2315,2325
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,898,895,945,950,950,925,900,950,995,950,985,960.5,983,1050,1055,1050,1095,1095,1025,1100,1098,1095,950,1063,1096.5,1095,1050,1075,1127.5,1177.5,1275,1324.5,1295,1295,1275,1325,1345,1345,1350,1390,1370,1425,1445,1425,1402.5,1450,1407,1395,1500,1545,1600,1575,1675,1595,1695,1550,1595,1542.5,1550,1450,1500,1710,1937,1815,1735,1865,1960,1950,1960,1925,1866.5,1879.5,1850,1863,1860,1850,1893.5,1820,1886,1923,1875,1900,1895,1800,1830
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,1450,1450,1425,1499.5,1499,1425,1322.5,1520,1600,1625,1750,1500,1440,1350,1355,1375,1349.5,1300,1306,1349,1315,1289.5,1295,1271,1225,1225,1280,1295,1290,1338,1396,1400,1395,1395,1388,1400,1430,1415,1400,1433,1441.5,1450,1495,1500,1495,1450,1475,1485,1466,1450,1450,1495,1530,1582.5,1500,1600,1595,1515,1472,1528,1625,1550,1500,1530,1550,1525,1500,1550,1550,1550,1525,1525,1564,1513,1500,1495,1450,1450,1450,1450,1500,1505,1495,1500,1500,1495,1490,1481,1495,1500,1535,1553,1550,1541,1511,1518,1500,1485,1450,1462,1485,1500,1512,1485,1465,1465,1464,1500
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1202,1195,1218,1200,1170,1195,1239,1239,1270,1250,1200,1227,1227,1359,1349,1350,1325,1325,1359.5,1322,1339,1293,1253
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,900,950,935,915,900,995,975,975,999.5,999,1050,1100,1083,1057.5
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,1450,1262.5,1362.5,1275,1250,1400,1275,1350,1550,1450,1250,1250,1295,1350,1300,1300,1400,1400,1400,1200,1150,1175,1100,1125,1142,1100,1195,1100,1100,1150,1175,1100,1100,1150,1100,1100,1250,1200,1200,1095,1075,1150,1200,1200,1100,1100,1100,1100,1150,1150,1200,1200,1250,1200,1212,1250,1250,1185,1200,1200,1200,1267.5,1295,1250,1217.5,1250,1250,1200,1220,1221,1250,1250,1300,1300,1300,1315,1200,1253,1250,1300,1250,1300,1226.5,1265,1300,1300,1300,1275,1272.5,1296.5,1325,1320,1300,1300,1350,1334.5,1395,1395,1359,1350,1345,1370,1375,1395,1445,1427,1400
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,1275,1200,1212.5,1225,1175,1195,1195,1100,1095,1099,1099,1049,1050,1050,1050,1050,1050,1050,1050,1025,1000,995,995,995,995,1000,1000,1050,1050,1050,1049,1025,1000,1000,1000,995,1000,1000,1000,1000,1000,1025,995,1050,1050,1050,1050,1075,1050,1050,1095,1125,1150,1150,1179,1150,1150,1150,1150,1150,1195,1200,1225,1225,1225,1200,1200,1200,1200,1190,1200,1242.5,1250,1250,1250,1225,1250,1200,1200,1200,1200,1200,1200,1250,1250,1295,1300,1325,1335,1325,1300,1300,1297,1295,1300,1295,1299,1325,1339,1370.5,1350,1395,1381,1385,1365,1385,1395,1395
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484,1517.5,1561,1594,1589,1543,1595,1620,1650,1705,1705,1495,1500,1608.5,1595,1599.5,1595,1500,1599.5,1635,1465,1600,1437.5,1500,1595,1682.5,1748.5,1685,1728,1750,1695,1750,1670,1700,1680,1670,1685,1758.5,1793,1790,1850,1850,1870,1880,1868,1849.5,1810,1840,1850,1845
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,,,,,,,,,,,,950,790,835.5,825,812.5,812.5,885,770,750,749,750,700,675,695,756,750,850,855,786.5,710,743.5,750,840,877.5,850,800,845,863,795,795,850,866.5,925,975,995,990,975,945,950,970,968.5,1065,1050,1059,999,1082.5,1100,1050,1059,1035,1030,1077.5,1066,1093,1195,1187.5,1050,999.5,1071.5,1079,1072.5,1040,1050,1127.5,1155,1053,1103,1100,1097,1152,1155,1098,1170,1170,1165,1165,1170,1180,1192,1230,1240,1253,1269,1295,1295,1310,1266.5,1258,1225,1209.5,1200,1225,1205,1225,1240,1226.5,1225
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2107.5,2147.5,2120,2115,2195,2144.5,2219,2314,2395,2376,2340,2365,2366,2305,2330,2290,2200,2242.5,2285,2367.5,2055,2205,2085,2135,2052,2269,2235,2300,2244.5,2233,2313,2295,2262,2216,2288,2235,2195,2200,2181.5,2230,2310,2418,2450,2412,2500,2465,2438.5,2365,2360,2348
