"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-01-31,6181,"New York","NY","New York-Newark-Jersey City","Queens County",0,680000,-0.00117508813160987,0.00443131462333826,0.0492207992593736,0.0675149853630648,0.0380913846494511,"2018-12","2018-Q4",680800,-0.00117508813160987,"2018-11"
2019-01-31,12447,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,689500,0.0015979081929111,0.00730460189919649,0.047553934974172,0.0781509085462755,0.045943341167864,"2019-01","2019-Q1",689500,0,"2019-01"
2019-01-31,17426,"Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,228500,0.00307287093942054,0.00483729111697449,0.0110619469026549,0.0488725987929819,0.000350785237213547,"2007-02","2007-Q1",263900,-0.134141720348617,"2004-11"
2019-01-31,39051,"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,185600,0.00650759219088937,0.0192202086765513,0.072212593876372,0.0845302112352853,0.0396561646838856,"2019-01","2019-Q1",185600,0,"2019-01"
2019-01-31,6915,"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,175800,0.00457142857142857,0.0191304347826087,0.0851851851851852,0.0772171280124354,0.0369534034606311,"2019-01","2019-Q1",175800,0,"2019-01"
2019-01-31,13271,"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,160200,0.0100882723833544,0.036222509702458,0.127375087966221,0.0910899393219111,0.0338845903154483,"2019-01","2019-Q1",160200,0,"2019-01"
2019-01-31,40326,"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,241500,0.00415800415800416,0.0142797144057119,0.081989247311828,0.0867765826089069,0.0385129434186815,"2006-05","2006-Q2",252300,-0.0428061831153389,"2005-12"
2019-01-31,18959,"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,273500,-0.000365497076023392,0.00922509225092251,0.117238562091503,0.104089668938376,0.0400939337409238,"2006-06","2006-Q2",312200,-0.123959000640615,"2004-12"
2019-01-31,54296,"San Diego","CA","San Diego-Carlsbad","San Diego County",8,632700,-0.00110514682664983,0.00221764612703944,0.0351767015706806,0.0607595393560512,0.0451573739900624,"2018-12","2018-Q4",633400,-0.00110514682664983,"2018-11"
2019-01-31,38128,"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,211600,0.0197590361445783,0.0617160060210738,0.169707020453289,0.145682226151407,0.0635231390979256,"2019-01","2019-Q1",211600,0,"2019-01"
2019-01-31,33839,"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",10,1082600,-0.00368120743603902,-0.0119558273249977,0.0805469607745284,0.102242227952195,0.0686559249743572,"2018-10","2018-Q4",1095700,-0.0119558273249977,"2018-06"
2019-01-31,10221,"Austin","TX","Austin-Round Rock","Travis County",11,364100,0.0019262520638415,0.0153374233128834,0.0888157894736842,0.0854873078523564,0.0547307691962999,"2019-01","2019-Q1",364100,0,"2019-01"
2019-01-31,25290,"Jacksonville","FL","Jacksonville","Duval County",12,175600,0.00515168860904408,0.0203370133643231,0.0933997509339975,0.103121145232544,0.0225506255430623,"2006-10","2006-Q4",182000,-0.0351648351648352,"2006-04"
2019-01-31,20330,"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",13,1378200,0.00261894369271061,0.00627920560747664,0.0579565517770784,0.0907891368473217,0.0647686266907956,"2019-01","2019-Q1",1378200,0,"2019-01"
2019-01-31,32149,"Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",14,141000,0.0100286532951289,0.0382916053019146,0.145410235580829,0.103423856522289,0.0272118839887519,"2019-01","2019-Q1",141000,0,"2019-01"
2019-01-31,24043,"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",15,224200,0.00764044943820225,0.0265567765567766,0.0952613580850024,0.0897228643483279,0.0363376265410504,"2019-01","2019-Q1",224200,0,"2019-01"
2019-01-31,18172,"Fort Worth","TX","Dallas-Fort Worth-Arlington","Tarrant County",16,196100,0.00770811921891059,0.0277777777777778,0.104788732394366,0.101930146752534,0.0479195018626166,"2019-01","2019-Q1",196100,0,"2019-01"
2019-01-31,10920,"Columbus","OH","Columbus","Franklin County",17,152300,0.00660938532716457,0.0207774798927614,0.0702740688685875,0.0895261196805091,0.0293889575970474,"2019-01","2019-Q1",152300,0,"2019-01"
