"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-01-31,"New York","NY","New York-Newark-Jersey City","Queens County",0,2340,0.0094909404659189,0.029023746701847,0.00386100386100386,1561505
2019-01-31,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,2948,0.00683060109289617,0.0204222914503288,0.0387596899224806,732998
2019-01-31,"Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,1674,0.0120918984280532,0.043640897755611,0.021978021978022,761697
2019-01-31,"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,1450,0.00415512465373961,0.015406162464986,0.00904662491301322,527527
2019-01-31,"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,1300,0.00541376643464811,0.0196078431372549,0.0180109631949883,438493
2019-01-31,"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,1247,0.00726978998384491,0.0263374485596708,0.0254934210526316,514715
2019-01-31,"San Diego","CA","San Diego-Carlsbad","San Diego County",6,2666,0.0106141015921152,0.0325329202168861,0.0373540856031128,363102
2019-01-31,"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",7,1488,0.006765899864682,0.0240880935994494,0.0283344851416724,293299
2019-01-31,"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",8,3458,0.00115807759119861,0.00464846019755956,0.0105201636469901,228343
2019-01-31,"Austin","TX","Austin-Round Rock","Travis County",9,1793,0.00617283950617284,0.0228180262407302,0.0210706150341686,232440
2019-01-31,"Jacksonville","FL","Jacksonville","Duval County",10,1243,0.0113913751017087,0.0375626043405676,0.0669527896995708,282443
2019-01-31,"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",11,4376,0.0120259019426457,0.0389363722697056,0.0188591385331781,186640
2019-01-31,"Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",12,1138,0.00976042590949423,0.0345454545454545,0.0233812949640288,276417
2019-01-31,"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",13,1395,0.00867678958785249,0.0310421286031042,0.0340993328391401,279283
2019-01-31,"Fort Worth","TX","Dallas-Fort Worth-Arlington","Tarrant County",14,1466,0.00686813186813187,0.019471488178025,0.021602787456446,227252
2019-01-31,"Columbus","OH","Columbus","Franklin County",15,1196,0.0016750418760469,0.00504201680672269,0.0274914089347079,259618
2019-01-31,"Tucson","AZ","Tucson","Pima County",16,1173,0.00946643717728055,0.0253496503496504,0.0435943060498221,179690
2019-01-31,"Louisville","KY","Louisville/Jefferson County","Jefferson County",17,1027,0.000974658869395711,0.0148221343873518,0.00983284169124877,133367
2019-01-31,"El Paso","TX","El Paso","El Paso County",18,1000,0.0050251256281407,0.0204081632653061,0.00401606425702811,174293
2019-01-31,"Denver","CO","Denver-Aurora-Lakewood","Denver County",19,2108,0.00428775607432111,0.0183574879227053,0.0353634577603143,208869
2019-01-31,"Seattle","WA","Seattle-Tacoma-Bellevue","King County",20,2509,0.00159680638722555,0.0108783239323126,-0.0137578616352201,213825
2019-01-31,"Memphis","TN","Memphis","Shelby County",21,847,0.00355450236966825,0.01194743130227,0.01194743130227,209413
2019-01-31,"Boston","MA","Boston-Cambridge-Newton","Suffolk County",22,2611,-0.00305460099274532,-0.0106100795755968,0.018728053062817,183080
2019-01-31,"Washington","DC","Washington-Arlington-Alexandria","District of Columbia",23,2593,0.00659937888198758,0.0244962465428684,0.00542846064366033,178673
2019-01-31,"Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",24,1573,0.00382897255902999,0.0141843971631206,0.0109254498714653,199669
2019-01-31,"Portland","OR","Portland-Vancouver-Hillsboro","Multnomah County",25,1869,0.00268240343347639,0.0119112073632918,-0.0142405063291139,207327
2019-01-31,"Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",26,1689,0.0107719928186715,0.0374692874692875,0.0311355311355311,141944
2019-01-31,"Baltimore","MD","Baltimore-Columbia-Towson","Baltimore City",27,1284,0.0015600624024961,0.00626959247648903,-0.00696055684454756,222869
2019-01-31,"Milwaukee","WI","Milwaukee-Waukesha-West Allis","Milwaukee County",28,1046,0.00191570881226054,0.00673724735322425,0.0204878048780488,157339
2019-01-31,"Fresno","CA","Fresno","Fresno County",29,1338,0.00601503759398496,0.0252873563218391,0.0364058869093726,132696
2019-01-31,"Omaha","NE","Omaha-Council Bluffs","Douglas County",30,1334,0.00831443688586546,0.0261538461538462,0.0144486692015209,323813
2019-01-31,"Albuquerque","NM","Albuquerque","Bernalillo County",31,1236,0.0048780487804878,0.0231788079470199,0.03,177189
2019-01-31,"Oklahoma City","OK","Oklahoma City","Oklahoma County",32,1069,0.00564440263405456,0.0190657769304099,0.00469924812030075,196408
2019-01-31,"Raleigh","NC","Raleigh","Wake County",33,1443,0.00487465181058496,0.0169133192389006,0.029243937232525,140757
2019-01-31,"Atlanta","GA","Atlanta-Sandy Springs-Roswell","Fulton County",34,1608,0.0113207547169811,0.0421257290991575,0.0489236790606654,148200
2019-01-31,"Kansas City","MO","Kansas City","Jackson County",35,1101,0.00273224043715847,0.0110192837465565,0.0119485294117647,165584
2019-01-31,"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",36,2522,0.0100120144173008,0.0310711365494685,0.0277098614506927,105002
2019-01-31,"Colorado Springs","CO","Colorado Springs","El Paso County",37,1541,0.00390879478827362,0.0118187787261983,0.0384097035040431,144910
2019-01-31,"Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",38,1574,0.00446713465220166,0.0174531351001939,0.018111254851229,156604
2019-01-31,"Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",39,2052,0.00686947988223749,0.0224215246636771,0.0123334977799704,144203
2019-01-31,"Oakland","CA","San Francisco-Oakland-Hayward","Alameda County",40,3062,0.0125661375661376,0.0390227349847302,0.0227120908483634,103935
2019-01-31,"Tulsa","OK","Tulsa","Tulsa County",41,950,0.00316789862724393,0.0138740661686233,0.00529100529100529,141306
2019-01-31,"Minneapolis","MN","Minneapolis-St. Paul-Bloomington","Hennepin County",42,1664,0.00483091787439614,0.0158730158730159,0.0290661719233148,121688
2019-01-31,"Honolulu","HI","Urban Honolulu","Honolulu County",43,2335,0.00603188280913399,0.0192055870798778,-0.0118493440541684,127657
2019-01-31,"Cleveland","OH","Cleveland-Elyria","Cuyahoga County",44,854,0.00234741784037559,0.00945626477541371,0.00707547169811321,121584
2019-01-31,"New Orleans","LA","New Orleans-Metairie","Orleans Parish",45,1446,0.025531914893617,0.0782997762863535,0.0508720930232558,112690
2019-01-31,"Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",46,1545,0.00782778864970646,0.0286284953395473,0.026578073089701,96828
2019-01-31,"Baton Rouge","LA","Baton Rouge","East Baton Rouge Parish",47,1298,-0.000769822940723634,-0.000769822940723634,-0.0349442379182156,131573
2019-01-31,"Wichita","KS","Wichita","Sedgwick County",48,913,0.00772626931567329,0.0281531531531532,0.0121951219512195,132515
2019-01-31,"Knoxville","TN","Knoxville","Knox County",49,1141,0.00973451327433628,0.0344514959202176,0.0335144927536232,76354
2019-01-31,"Tampa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",50,1409,0.0136690647482014,0.0429311621021466,0.0514925373134328,124863
2019-01-31,"Aurora","CO","Denver-Aurora-Lakewood","Arapahoe County",51,1900,0.00795755968169761,0.0281385281385281,0.0445299615173172,105869
2019-01-31,"Riverside","CA","Riverside-San Bernardino-Ontario","Riverside County",52,2000,0.010611419909045,0.0314595152140279,0.0576414595452142,68734
2019-01-31,"Bakersfield","CA","Bakersfield","Kern County",53,1395,0.00649350649350649,0.0234776228906823,0.0287610619469027,101358
2019-01-31,"Pittsburgh","PA","Pittsburgh","Allegheny County",54,1137,0.00176211453744493,0,0.0326975476839237,123684
2019-01-31,"Cincinnati","OH","Cincinnati","Hamilton County",55,1208,0.0151260504201681,0.0504347826086957,0.0550218340611354,94824
2019-01-31,"Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange County",56,2803,0.0111832611832612,0.0358462675535846,0.0320324005891016,63907
2019-01-31,"Columbia","SC","Columbia","Richland County",57,1111,0.00634057971014493,0.0183318056828598,0.0155393053016453,36589
2019-01-31,"Marietta","GA","Atlanta-Sandy Springs-Roswell","Cobb County",58,1664,0.00483091787439614,0.0103217972070431,0.00909642207398423,99782
2019-01-31,"Corpus Christi","TX","Corpus Christi","Nueces County",59,1372,0.00219138056975895,0.0140428677014043,0.0178041543026706,91751
2019-01-31,"Saint Louis","MO","St. Louis","Saint Louis City",60,933,0.0141304347826087,0.0436241610738255,0.0412946428571429,113297
2019-01-31,"Lexington","KY","Lexington-Fayette","Fayette County",61,1236,0.0048780487804878,0.0172839506172839,0.0214876033057851,104734
2019-01-31,"Fort Wayne","IN","Fort Wayne","Allen County",62,1043,0.00384985563041386,0.0136054421768707,0.0686475409836066,92979
2019-01-31,"Vancouver","WA","Portland-Vancouver-Hillsboro","Clark County",63,1690,0.00715137067938021,0.0273556231003039,0.0298598415600244,51018
2019-01-31,"Silver Spring","MD","Washington-Arlington-Alexandria","Montgomery County",64,2234,0.0076680198466396,0.0271264367816092,0.0136116152450091,80831
2019-01-31,"Toledo","OH","Toledo","Lucas County",65,793,0.00379746835443038,0.0166666666666667,0.0166666666666667,99807
2019-01-31,"Anchorage","AK","Anchorage","Anchorage Borough",66,1803,0.00445682451253482,0.0163472378804961,-0.00825082508250825,87469
2019-01-31,"Saint Paul","MN","Minneapolis-St. Paul-Bloomington","Ramsey County",67,1485,0.00951733514615908,0.0298196948682386,0.0531914893617021,77299
2019-01-31,"Durham","NC","Durham-Chapel Hill","Durham County",68,1363,0.0051622418879056,0.0148920327624721,0.0209737827715356,81406
2019-01-31,"Tallahassee","FL","Tallahassee","Leon County",69,1267,0.00715421303656598,0.0193081255028158,0.0436573311367381,80421
