"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-01-31,"New York","NY","New York-Newark-Jersey City","Queens County",0,2395,0.0101223112610713,0.0332182916307161,-0.000417362270450751,712714
2019-01-31,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,3071,0.00920144594150509,0.0288107202680067,0.0434930343187224,590425
2019-01-31,"Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,1690,0.013189448441247,0.0483870967741935,0.015015015015015,586181
2019-01-31,"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,1450,0.00207325501036628,0.00904662491301322,0.00764419735927728,485720
2019-01-31,"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,1304,0.00384911470361817,0.0132090132090132,0.0132090132090132,414849
2019-01-31,"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,1247,0.00808407437348424,0.0305785123966942,0.0305785123966942,477888
2019-01-31,"San Diego","CA","San Diego-Carlsbad","San Diego County",6,2714,0.0077979948013368,0.0249244712990937,0.0398467432950192,321667
2019-01-31,"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",7,1490,0.00743745774171738,0.0254645560908465,0.0304287690179806,268357
2019-01-31,"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",8,3467,0.00202312138728324,0.00697066511762997,0.00872854233343032,210950
2019-01-31,"Austin","TX","Austin-Round Rock","Travis County",9,1843,0.00600436681222707,0.0221852468108708,0.0176697956929873,200290
2019-01-31,"Jacksonville","FL","Jacksonville","Duval County",10,1254,0.0121065375302663,0.0406639004149378,0.0663265306122449,267594
2019-01-31,"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",11,4328,0.015485687470671,0.0454106280193237,0.0294957183634634,145529
2019-01-31,"Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",12,1149,0.00437062937062937,0.0177147918511957,0.00877963125548727,251979
2019-01-31,"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",13,1405,0.00644699140401146,0.0225618631732169,0.0255474452554745,260348
2019-01-31,"Fort Worth","TX","Dallas-Fort Worth-Arlington","Tarrant County",14,1479,0.00749318801089918,0.0235294117647059,0.0270833333333333,207309
2019-01-31,"Columbus","OH","Columbus","Franklin County",15,1233,0.00488997555012225,0.0164880461665293,0.0292153589315526,225801
2019-01-31,"Tucson","AZ","Tucson","Pima County",16,1183,0.0102476515798463,0.031386224934612,0.0413732394366197,165426
2019-01-31,"Louisville","KY","Louisville/Jefferson County","Jefferson County",17,1040,0.000962463907603465,0.00775193798449612,0.010689990281827,125142
2019-01-31,"El Paso","TX","El Paso","El Paso County",18,1016,0.00594059405940594,0.021105527638191,0.0099403578528827,160541
2019-01-31,"Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",19,1440,0.0112359550561798,0.0344827586206897,0.0794602698650675,78072
2019-01-31,"Denver","CO","Denver-Aurora-Lakewood","Denver County",20,2134,0.00423529411764706,0.0161904761904762,0.0374331550802139,195034
2019-01-31,"Seattle","WA","Seattle-Tacoma-Bellevue","King County",21,2586,0.00388198757763975,0.0177095631641086,-0.0110898661567878,185016
2019-01-31,"Memphis","TN","Memphis","Shelby County",22,855,0.00352112676056338,0.00944510035419126,0.00825471698113208,194167
2019-01-31,"Boston","MA","Boston-Cambridge-Newton","Suffolk County",23,2691,-0.000742666171555886,-0.00111358574610245,0.0251428571428571,90446
2019-01-31,"Washington","DC","Washington-Arlington-Alexandria","District of Columbia",24,2695,0.00936329588014981,0.0345489443378119,0.0282334986646318,149699
2019-01-31,"Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",25,1598,0.00313873195229127,0.0133164235890932,0.0050314465408805,175521
2019-01-31,"Portland","OR","Portland-Vancouver-Hillsboro","Multnomah County",26,1895,0.00105652403592182,0.00477200424178155,-0.0145605824232969,189225
2019-01-31,"Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",27,1714,0.0124040165386887,0.0400485436893204,0.0343995171997586,128115
2019-01-31,"Baltimore","MD","Baltimore-Columbia-Towson","Baltimore City",28,1288,0.0015552099533437,0.0046801872074883,-0.00540540540540541,213918
2019-01-31,"Milwaukee","WI","Milwaukee-Waukesha-West Allis","Milwaukee County",29,1149,0.00612959719789842,0.0204262877442274,0.00966608084358524,104426
2019-01-31,"Fresno","CA","Fresno","Fresno County",30,1350,0.0022271714922049,0.00746268656716418,0.0360706062931696,123551
2019-01-31,"Omaha","NE","Omaha-Council Bluffs","Douglas County",31,1340,0.0075187969924812,0.0283960092095165,0.0113207547169811,310074
2019-01-31,"Albuquerque","NM","Albuquerque","Bernalillo County",32,1240,0.00404858299595142,0.0180623973727422,0.0256410256410256,170768
2019-01-31,"Oklahoma City","OK","Oklahoma City","Oklahoma County",33,1087,0.00555041628122109,0.0206572769953052,-0.000919117647058823,187936
2019-01-31,"Raleigh","NC","Raleigh","Wake County",34,1455,0.0041407867494824,0.0118219749652295,0.0174825174825175,129831
2019-01-31,"Atlanta","GA","Atlanta-Sandy Springs-Roswell","Fulton County",35,1651,0.0141277641277641,0.0469245402663285,0.0536056158264199,131201
2019-01-31,"Kansas City","MO","Kansas City","Jackson County",36,1145,0.00526777875329236,0.0214094558429973,0.0214094558429973,152897
2019-01-31,"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",37,2640,0.0118819471061709,0.037328094302554,0.042654028436019,79736
2019-01-31,"Colorado Springs","CO","Colorado Springs","El Paso County",38,1550,0.00258732212160414,0.00649350649350649,0.0354041416165665,133834
2019-01-31,"Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",39,1599,0.00125234815278647,0.00629326620516048,0.0101073910296905,145014
2019-01-31,"Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",40,2098,0.00768491834774256,0.0239141044411908,0.0154888673765731,93379
2019-01-31,"Oakland","CA","San Francisco-Oakland-Hayward","Alameda County",41,3157,0.00959385992964503,0.0310254735467015,0.020032310177706,81222
2019-01-31,"Tulsa","OK","Tulsa","Tulsa County",42,963,0.00417101147028154,0.0158227848101266,0.00943396226415094,134459
2019-01-31,"Minneapolis","MN","Minneapolis-St. Paul-Bloomington","Hennepin County",43,1707,0.00826934435912581,0.0283132530120482,0.0307971014492754,101817
2019-01-31,"Honolulu","HI","Urban Honolulu","Honolulu County",44,2343,0.00514800514800515,0.0191387559808612,-0.0147182506307822,122635
2019-01-31,"Cleveland","OH","Cleveland-Elyria","Cuyahoga County",45,887,0.010250569476082,0.0386416861826698,0.0254335260115607,87864
2019-01-31,"New Orleans","LA","New Orleans-Metairie","Orleans Parish",46,1456,0.0275229357798165,0.0841399851079672,0.049747656813266,82198
2019-01-31,"Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",47,1557,0.00581395348837209,0.020983606557377,0.0203145478374836,90692
2019-01-31,"Baton Rouge","LA","Baton Rouge","East Baton Rouge Parish",48,1300,-0.00153609831029186,-0.00306748466257669,-0.0377498149518875,126930
2019-01-31,"Wichita","KS","Wichita","Sedgwick County",49,956,0.0105708245243129,0.0357529794149512,0.0181043663471778,120380
2019-01-31,"Knoxville","TN","Knoxville","Knox County",50,1151,0.0043630017452007,0.0149911816578483,0.0185840707964602,70368
2019-01-31,"Tampa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",51,1442,0.0112201963534362,0.0351758793969849,0.0456852791878173,110153
2019-01-31,"Aurora","CO","Denver-Aurora-Lakewood","Arapahoe County",52,1911,0.00897571277719113,0.0307443365695793,0.0442622950819672,101299
2019-01-31,"Riverside","CA","Riverside-San Bernardino-Ontario","Riverside County",53,2010,0.0100502512562814,0.0328879753340185,0.0578947368421053,64138
2019-01-31,"Bakersfield","CA","Bakersfield","Kern County",54,1409,0.00356125356125356,0.0114860014357502,0.0136690647482014,93373
2019-01-31,"Pittsburgh","PA","Pittsburgh","Allegheny County",55,1146,0,0.00350262697022767,0.0287253141831239,103639
2019-01-31,"Cincinnati","OH","Cincinnati","Hamilton County",56,1237,0.00897226753670473,0.0291181364392679,0.0465313028764805,75557
2019-01-31,"Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange County",57,2808,0.00898311174991017,0.0281948004393995,0.0297029702970297,56876
2019-01-31,"Santa Ana","CA","Los Angeles-Long Beach-Anaheim","Orange County",58,2708,0.0134730538922156,0.0403380714560123,0.0443501735441573,44356
2019-01-31,"Columbia","SC","Columbia","Richland County",59,1142,0.0088339222614841,0.0353581142339075,0.0124113475177305,31993
2019-01-31,"Marietta","GA","Atlanta-Sandy Springs-Roswell","Cobb County",60,1696,0.00533491404860699,0.0155688622754491,0.00832342449464923,94525
2019-01-31,"Corpus Christi","TX","Corpus Christi","Nueces County",61,1379,0.00363901018922853,0.0177121771217712,0.0177121771217712,86987
2019-01-31,"Saint Louis","MO","St. Louis","Saint Louis City",62,1004,0.0131180625630676,0.0371900826446281,0.0329218106995885,83202
2019-01-31,"Lexington","KY","Lexington-Fayette","Fayette County",63,1252,0.0016,0.00724054706355591,0.0121261115602264,93780
2019-01-31,"Fort Wayne","IN","Fort Wayne","Allen County",64,1053,0.00285714285714286,0.0105566218809981,0.0384615384615385,87654
