SizeRank,RegionID,RegionName,RegionType,StateName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
1,6181,New York,City,NY,0.9083333333333333,0.9196488988616471,0.8941621101526211,0.9206128133704735,0.9217634199659946,0.9179258487194759,0.9312698902769202,0.9272918861959958,0.888858670385867,0.9303621169916435,0.9249289019176306,0.9259259259259259,0.9192200557103064,0.9229721431144803,0.92,0.9199872727272728,0.9248197895724705,0.9220985691573926,0.9327790538997829,0.9335839598997494,0.9266409266409267,0.917686318131257,0.9217346158209017,0.9223300970873787,0.9088311688311688,0.9070354813287054,0.9139784946236559,0.9175760061463454,0.9141321044546851,0.9242761692650334,0.9347879721838349,0.9329896907216495,0.9360730593607306,0.9354120267260579,0.934375,0.9295707472178061,0.9265442404006677,0.9299763634335063,0.9292351679771265,0.9407407407407408,0.947357282765183,0.9593062041360907,0.9574516582516582,0.9631435694608215,0.9652173913043478,0.958807663386406,0.9574468085106383,0.9556547056547056,0.9606986899563319,0.9559748427672956,0.9575289575289575,0.9541456405943369,0.9663865546218487,0.9685264663805436,0.9693785622357051,0.9698996655518395,0.9679786381842457,0.9652152288272612,0.9595245701888643,0.960999960999961,0.9651278951375452,0.9630872483221476,0.9557109557109557,0.9582341107503453,0.9692307692307692,0.972972972972973,0.9735349716446124,0.9782608695652174,0.9759358288770054,0.9719005463173426,0.9656160458452722,0.9688195991091314,0.9674643596362706,0.9655172413793104,0.9679507931369375,0.9640102827763496,0.9705014749262537,0.9734513274336283,0.974937343358396,0.9777530314278644,0.9731543624161074,0.9754080335032078,0.9688194444444445,0.9712230215827338,0.9736842105263158,0.9695652173913043,0.9637800262376163,0.9694394076380446,0.9726651480637813,0.9739311762017062,0.9761809409386502,0.9762053757673281,0.9736844667591377,0.9689018286579263,0.9666080843585237,0.9671404032554907,0.9665990652678889,0.961038961038961,0.9640127762907548,0.964824120603015,0.9714285714285714,0.9705014749262537,0.9728958766764225,0.9682539682539683,0.9647746243739566,0.9586336530982629,0.9548387096774194,0.952006294256491
2,12447,Los Angeles,City,CA,0.9617869453041639,0.9515570934256056,0.9657177036003232,0.970873786407767,0.9683544303797469,0.9692307692307692,0.9695210449927432,0.9623430962343096,0.96045197740113,0.9503837814539748,0.9499801429706116,0.9456608695652174,0.9433161216293746,0.9377930603313536,0.9406896551724138,0.9540314640630966,0.9508928571428571,0.9523857142857143,0.9511272384418231,0.9479596233150736,0.9388646288209607,0.9451388116683346,0.9437125697072037,0.9467667023937121,0.9403761504601841,0.9495548961424333,0.9411764705882353,0.9564029460679496,0.9681321220962552,0.9764359351988218,0.9796045029876861,0.9722640957627695,0.9828491617228929,0.9817602602476387,0.9879116298457691,0.9844559585492227,0.9929411764705882,0.995995995995996,1,1,1.002004008016032,1.0015408320493067,1.0007360350658674,1.000250062515629,1,1,0.9850247925647222,0.9827213822894169,0.9784735812133072,0.9787556904400607,0.9897750511247444,0.9883375868877671,0.9906054279749478,0.9880392281527164,0.9876358124256932,0.9842725811106072,0.9830976198689203,0.9777297962435592,0.9734341524889729,0.974937343358396,0.9695044472681067,0.9793458940632775,0.9844032531400261,0.9933082380599207,0.9967273792405602,1,0.9924013660104459,0.996415770609319,0.9936102236421726,0.9871794871794872,0.9849906191369606,0.9836065573770492,0.9803921568627451,0.9843848420197094,0.9935064935064936,0.9966887417218543,1,1,1,0.9949579831932773,0.9889994445999097,0.9873417721518988,0.9859154929577465,0.9819803272666445,0.9815242494226328,0.9829047340736412,0.9924953095684803,1,1,1,1,1,0.9962929811642508,0.9964494604860668,0.9987512484390606,0.9911504424778761,0.990849738869632,1,1,1,1.0000047916917536,1,0.9991567574478968,1,0.9909334516998751,0.984743411927878,0.9794100881401764,0.9726224783861671
3,17426,Chicago,City,IL,0.9013333333333333,0.8882217113924431,0.9026662810873337,0.8907672301690507,0.9073359073359073,0.9207851663308233,0.9249607444759188,0.9162820850666721,0.9152830991911451,0.9109697933227345,0.9006794418572619,0.9019040307787066,0.8925402190301042,0.8989775505667926,0.888468809073724,0.8910256410256411,0.9145720382057627,0.9202510460251045,0.92,0.9113136252500555,0.9076923076923077,0.8976660682226212,0.8911521323997453,0.8947368421052632,0.8979963570127505,0.8962264150943396,0.884904143475572,0.9019607843137255,0.9215376513954713,0.9283083314101085,0.9318181818181818,0.9321132155777825,0.9306829281346589,0.9359290135152204,0.9342332908395556,0.9336364333833992,0.9351145038167938,0.9310728182323513,0.9432951121357358,0.9509433962264151,0.9557522123893806,0.9669305536360091,0.9699769053117783,0.9651177426968061,0.966088004161989,0.9620253164556962,0.9602194787379973,0.9571726811810319,0.9531772575250836,0.9499353016800676,0.9523809523809523,0.9605715599747529,0.9665809768637532,0.972,0.9698996655518395,0.9640102827763496,0.9587628865979382,0.9523809523809523,0.9499562046354841,0.9408740359897172,0.9357857373346241,0.9349237718802936,0.9473684210526315,0.9595753368721928,0.9704142011834319,0.9727272727272728,0.9675431706952191,0.9663835491278057,0.9595959595959596,0.9559336246083234,0.9516091505426381,0.9454545454545454,0.9371940131486921,0.9472759226713533,0.95662100456621,0.9690346083788707,0.9731077243828149,0.9754877438719359,0.9718854123538574,0.9714285714285714,0.964955023532579,0.9631728045325779,0.958244895896503,0.953114450358786,0.9498327759197325,0.9502111580351189,0.9632726676504345,0.9699624530663329,0.9763124199743918,0.9760951188986233,0.9755599800895969,0.967948717948718,0.9654999913749979,0.9601250977326036,0.9569230769230769,0.9501425237542758,0.9484066767830045,0.9474005919444086,0.9697322057787174,0.9744378351583975,0.9733333333333334,0.9728813559322034,0.96875,0.9667740979476921,0.9611195420066105,0.954835020933621,0.9504752376188094,0.9426358134665559
4,39051,Houston,City,TX,0.928836987607245,0.92971,0.9422975040257648,0.9442117741355205,0.9514631785714286,0.9553584644514823,0.9259803921568628,0.9283512176652086,0.9322405103668261,0.9169622019635344,0.9117058823529411,0.9009009009009009,0.8913272688172043,0.898993288590604,0.8894496644295302,0.9140378365011101,0.9078931302342517,0.8917475762475533,0.9059515923566879,0.906,0.8947789934953783,0.9077260273972603,0.9009385783298827,0.9083451947142452,0.8972628174050781,0.9235547041294168,0.9092562284051646,0.9163644889027821,0.915570944906125,0.9275206488321939,0.9307958477508651,0.949257525083612,0.9416151931726744,0.9290217391304347,0.9244871794871795,0.9183209352209352,0.9233428571428571,0.9210079803560467,0.9349115996895316,0.930042632705256,0.929860606060606,0.9402809364548494,0.9400483431952663,0.9398283820229345,0.9406071428571429,0.9396135485337577,0.9315712917350848,0.9208878472222222,0.9272267857142857,0.9383189189189189,0.933579797979798,0.9441355462135809,0.9517703703703704,0.9521061331563421,0.9556107660455486,0.9888169511477339,0.9576492164054685,0.9417476639712489,0.9418510638297872,0.9538461538461539,0.9707406223609796,0.9587328053355565,0.9556156156156156,0.961775639079609,0.965993901189712,0.9648058252427184,0.9546198617679156,0.96,0.9510516129032258,0.9469270676691729,0.9438202247191011,0.9430430430430431,0.9423528201705149,0.9385674400693174,0.9478672985781991,0.949685534591195,0.9569179452968646,0.9625068021252992,0.9626790697674419,0.9630890868596882,0.9387878787878788,0.92976,0.948491212812296,0.9384289647621102,0.9346524805557653,0.9371993197266795,0.9406772778913883,0.9454867307692307,0.9530046511627907,0.9539170506912442,0.9534883720930233,0.9481418181818182,0.941246511627907,0.9507,0.9499749874937469,0.940528224335252,0.94465204957102,0.9427123129476156,0.9430774193548387,0.9515000529175837,0.9584751788545058,0.9523809523809523,0.9546855529244451,0.9497161580335182,0.9483870967741935,0.9483965813655679,0.9273183168658883,0.9180952380952381
5,6915,San Antonio,City,TX,0.9918181818181818,0.9961234817813766,0.9840333333333333,1,0.9943424985838163,0.9937741243745533,0.9886488335824796,0.9860056497175141,0.9841153393487643,0.9661422686581455,0.9735079458505003,0.9487866666666667,0.9706291666666667,0.9629046746834435,0.98406994951113,0.9718327272727273,0.9757497988351407,0.9811495285983658,0.9769480519480519,0.981048162970374,0.9760635451505016,0.9647299503937965,0.9583333333333334,0.9774507936507937,0.969246528527284,0.956232666086452,0.9883618995300006,0.9793257880198283,0.9939896830540822,0.9956735576099982,0.9895764705882353,0.9959016393442623,0.9958735987427972,0.991164399894021,0.9932223436440721,0.9825509433962264,0.9949817752948479,0.9830237288135594,0.9935220883534136,1,1.0029867070521714,1.0026808259811377,0.9974582042423126,0.9857987751531059,1,0.9824121929026388,0.98885,0.9969,0.9934460158675406,1,0.9835526315789473,0.9907407407407407,0.9999415631848064,0.9976521404919583,0.9973417174609192,0.990320399113082,0.9889807692307693,0.9892583554376657,0.981123214602162,0.9847801895209576,0.9844587150468282,0.9805555555555555,1,1,1.007035294117647,1,1,0.9959045263990478,1,1,0.994014598540146,0.9943714821763602,0.9934159519725557,0.9862068965517241,1,1,1,1,1.0003923107100823,1,0.9982813546423135,0.9930275229357798,0.9947783783783783,0.984182776801406,0.9849711071241684,0.9879013657093983,0.9904952476238119,0.9932432432432432,1,1,1,1,0.9909892549533517,0.9921017079640293,0.9880772742200328,0.9783313311725107,0.9817753491388173,0.9840913637879293,0.9918712121212121,1,1,1,1,0.9972222222222222,0.992487149070779,0.988821883395096,0.9903794871794872,0.9885065359477124
6,13271,Philadelphia,City,PA,0.9203681472589036,0.9172413793103448,0.9211404679924109,0.926407839741276,0.9394023615813499,0.9449694274596998,0.9337153772683859,0.9308963912275384,0.9281824370319945,0.8992049243395742,0.906725254433743,0.9089729028070744,0.9109109109109109,0.9027291812456263,0.9090909090909091,0.9041968552920272,0.9126755145220234,0.9181894065867355,0.9174311926605505,0.9119018944390281,0.902940336854125,0.9003126170604456,0.8846520495710201,0.8953652789269229,0.8831322519794433,0.8879083481735113,0.8959595515067944,0.8998998998998999,0.9050955414012739,0.9163879598662207,0.9271237602414834,0.9242894673990925,0.9117647058823529,0.9074241045447639,0.9130697369209657,0.91324200913242,0.9090495679854479,0.8943695652173913,0.9174311926605505,0.9188074254640916,0.9348469715345651,0.9408181026979983,0.9429908464465699,0.9289513524958974,0.9297513748614683,0.9277369230557959,0.9088264175157501,0.9127853881278539,0.9210526315789473,0.9113652609006433,0.9171033883452961,0.9215376513954713,0.931863019735417,0.9447943682845499,0.9407407407407408,0.9292351679771265,0.9236947791164659,0.9259293552939085,0.9230769230769231,0.9188750676041103,0.9130875822536847,0.9187277216934957,0.92,0.9183716075156576,0.9480705097665555,0.9494949494949495,0.9484745762711865,0.9473129610115911,0.9374804565353345,0.9365687526607067,0.9313556398758193,0.9329690346083789,0.9312445604873804,0.9273556764344622,0.932138419845737,0.9453084728288885,0.958904109589041,0.9619084263178146,0.964250573958675,0.9611451942740287,0.9561538461538461,0.9527590373676709,0.9523809523809523,0.9476177941563569,0.9466195006912255,0.9398519319607885,0.9490782422293677,0.9606404269513009,0.9634662515786857,0.9719504240052185,0.9689919226667233,0.9647058823529412,0.961038961038961,0.9608570845193913,0.9583333333333334,0.95,0.9466666666666667,0.9478260869565217,0.9517241379310345,0.9593878752207181,0.9716487576501114,0.9749921826141339,0.9763313609467456,0.9727758807803277,0.9728,0.9593017734135412,0.9599904716531682,0.9550830087033042
7,40326,Phoenix,City,AZ,0.9386733416770964,0.9408650417200429,0.9347279877649115,0.9216425654961033,0.9438639513807442,0.9376263136620857,0.9328481422956931,0.9203681472589036,0.9180836363636364,0.9118541033434651,0.918602120644521,0.9,0.914106863402638,0.8926654740608229,0.8995433789954338,0.9193054136874361,0.9298998569384835,0.9465027144028976,0.9561217619536688,0.9609756097560975,0.952808988764045,0.9682926829268292,0.9651115618661258,0.9614143920595534,0.9669889963321107,0.967908904246177,0.9745792937305364,0.9784490680285927,1,1,0.9972677595628415,1,0.9883705206220419,0.9943659733132469,0.9836612204068023,0.9813437703848662,0.9717928317041752,0.9682387205143564,0.9716088328075709,0.9767447635480032,0.9801400400114318,0.9795918367346939,0.9797853809595493,0.9762218871717552,0.9761904761904762,0.96999399879976,0.9625,0.9577223835817561,0.9568480300187617,0.9612323999367189,0.9554551323434474,0.9570005417219285,0.9576138716356107,0.9602867383512544,0.9609292708485374,0.9555555555555556,0.9601920384076815,0.9565943238731218,0.9523809523809523,0.9575221238938053,0.9548387096774194,0.9622837267589279,0.9673115410273516,0.9687681645544582,0.9727272727272728,0.9701824578326781,0.972972972972973,0.9734991887506761,0.9713088527792848,0.9713541316986669,0.968421052631579,0.967741935483871,0.9646085785728025,0.9694989106753813,0.97026155823154,0.9741114598934504,0.9733661740558293,0.9733333333333334,0.9727626459143969,0.9717868338557993,0.9709005048037779,0.9693877551020408,0.9704259396194611,0.9687304565353346,0.967741935483871,0.9705896626318569,0.9736703528172722,0.975609756097561,0.9763609585846174,0.9771428571428571,0.9768113993816373,0.9774739309958709,0.9728926997131281,0.975,0.9717756341550554,0.9690721649484536,0.9717868338557993,0.974329590970762,0.9783950715421303,0.9816721776098252,0.9826589595375722,0.9808871493803,0.9824561403508771,0.9773462783171522,0.9736842105263158,0.9743589743589743,0.9723889555822329,0.9725458088361314
8,18959,Las Vegas,City,NV,0.9764309764309764,0.9661016949152542,0.9663865546218487,0.966877247023743,0.968421052631579,0.9691395429362881,0.9649122807017544,0.9642601858470335,0.9627329192546584,0.9523809523809523,0.9449760765550239,0.9348996376811595,0.9332954006638217,0.9301033113039283,0.9354838709677419,0.9408411943432544,0.9453551912568307,0.95,0.950920245398773,0.9578947368421052,0.944206008583691,0.9495305198921007,0.9505431761558683,0.9485634314051277,0.9493886913533514,0.9485714285714286,0.9605188576411599,0.9727272727272728,0.9881299329867728,0.9894736842105263,1,1,1,0.9964692036092585,0.9988372093023256,1,1,1,1,1,1,1,1,1,0.9919872693981016,0.9831460674157303,0.9755719886093255,0.9676766357581299,0.9659090909090909,0.9689013908423191,0.9652136725294456,0.9735449735449735,0.9754877438719359,0.975728761922896,0.970873786407767,0.9762875138940348,0.9636363636363636,0.9647058823529412,0.963645457576768,0.9591836734693877,0.9595753368721928,0.960960960960961,0.9680232558139535,0.967741935483871,0.9714285714285714,0.9729271644525882,0.9741969457609269,0.9735708933254831,0.9725025182238213,0.968421052631579,0.9638554714953078,0.9610174538424416,0.9658902748647754,0.9673115410273516,0.968,0.9754877438719359,0.9739130434782609,0.9733135509396638,0.9754797209925717,0.9744949586209388,0.9735936488633465,0.9692307692307692,0.9708108108108108,0.9703688211652405,0.9714285714285714,0.9725436502321452,0.9795748228428511,0.9826129678824691,0.9850496262406561,0.9869852476512103,0.9899561263426853,0.990990990990991,0.9855331018541476,0.9842696629213483,0.9821428571428571,0.9831932773109243,0.9821428571428571,0.9861111111111112,0.9909477794948258,0.993103448275862,0.9925898480918859,0.9955555555555555,0.9922710260511225,0.988,0.982760315106913,0.9796280872899534,0.9732824427480916,0.96875
9,54296,San Diego,City,CA,0.9551860251726944,0.9566257314917231,0.9710945112049366,0.966911838994524,0.9762604266894311,0.9593089338486019,0.9634340222575517,0.9630521427150432,0.9548313321898227,0.9440203562340967,0.9398496240601504,0.9419141522315945,0.9401732107751979,0.9423333333333334,0.9454588754898352,0.9353525069992364,0.9523809523809523,0.9385774768694017,0.9361702127659575,0.9413642809484244,0.943089430894309,0.9377625735205858,0.9378267308404294,0.9342230695900858,0.9346733668341709,0.9375,0.9480988923121991,0.9596731078624696,0.9643832943013271,0.9703153988868275,0.970873786407767,0.9712230215827338,0.9761048304213772,0.9675675675675676,0.9701896471633713,0.9774174566851912,0.9841287017289819,0.9894736842105263,0.9896432681242808,1,1,1,1,0.9869423131571469,0.9774221206058874,0.9710624085624086,0.9666452717158751,0.9621847960877407,0.9611215477964199,0.9712230215827338,0.9710394265232976,0.9737437261897564,0.9749670619235836,0.9742673206621705,0.9716582869049237,0.9671848013816926,0.9607577807848444,0.95991091314031185,0.9538901069696366,0.9531398928108251,0.9558172826652785,0.9619047619047619,0.9698996655518395,0.9759036144578314,0.9769408011343494,0.9835582845778061,0.981702549358574,0.9748551106427819,0.9784735812133072,0.9696875358919644,0.9713701431492843,0.9696969696969697,0.9716170197184131,0.9738550922761449,0.9830617746773956,0.9878968762588347,0.9867452135493373,0.9889987776419602,0.9871821108731555,0.981681136475103,0.979381443298969,0.9771428571428571,0.9774436090225563,0.9761069340016708,0.9773545541892927,0.9848484848484849,0.9934683724235962,0.9957435213057932,1,1,0.9916674930562442,0.9862161008750472,0.9893039631898721,0.9823182711198428,0.9839177820405055,0.9780821917808219,0.9836065573770492,0.9922209874583268,0.9930068006418584,0.9924578984505583,0.9912854030501089,0.9913755913242688,0.9877282450586121,0.9814424128770121,0.9750609451181398,0.967779013718947,0.9635258358662614,0.9566901016653895
10,38128,Dallas,City,TX,0.9496086826033119,0.9123042622547513,0.9524688018439111,0.9351955555555556,0.9514925336597307,0.9346847004250307,0.9283598366013072,0.8947808827571044,0.9536140127706275,0.9289475982532751,0.9078670828883595,0.8906035182679296,0.8708009313154831,0.9315438416152702,0.9020449265204109,0.9174481074481075,0.9112852142023671,0.9215076113245128,0.9401290322580645,0.9231685527099464,0.9070433815350389,0.9258255897069335,0.9173071428571429,0.9259778956875141,0.9293914695734786,0.9562885649709506,0.9472702731362015,0.9454581831132399,0.9536519159852493,0.9292190491803278,0.9500275862068965,0.9354120267260579,0.9627308252002659,0.9462413533834586,0.9510456062291435,0.938047619047619,0.9489351351351352,0.9601938144329897,0.9434644351464435,0.9506606606606607,0.9593436734123808,0.9518367346938775,0.9484723618090453,0.9571791197543501,0.9363507113054843,0.9442021010505253,0.9444347376583095,0.9206490765171504,0.932019305019305,0.9379601154514456,0.9463173076923077,0.9456532134968665,0.9383314932126696,0.9444781953813757,0.9385838563834819,0.9402165991458231,0.953048969072165,0.9330629226411755,0.9319345057610673,0.9397883333333333,0.9386206797315031,0.9286875,0.952669551961824,0.9545741133676872,0.9521984306998317,0.9498893142201726,0.9505024390243902,0.9563675675675676,0.9482120051085569,0.9424622566002379,0.9313778848962898,0.935513147644534,0.9321543408360129,0.9549553660270078,0.9441833333333334,0.9502425416000473,0.9569103967008935,0.9492537313432836,0.9636767976278725,0.9487951807228916,0.9533008252063015,0.9642030769230769,0.9442501786990708,0.9454614072896426,0.9600503597122302,0.932378412577145,0.953225732700002,0.9509276869031239,0.9609733971383619,0.9623777276147479,0.9673283720413997,0.9516368834882059,0.9623529411764706,0.9513947895791584,0.9445258166491044,0.9527888846473804,0.9491890535244538,0.9385470142306158,0.9502803921568628,0.9618319327731092,0.9582637729549248,0.9577204956102401,0.9483053402325325,0.9504112,0.9480842641509435,0.957694763319906,0.9386666666666666,0.9491525423728814
