RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
12447,Los Angeles,California,1,385e3,371500,355200,341800,329100,318400,308300,299e3,283100,270200,265800,262500,259700,248e3,240500,236100,235e3,232900,228300,225900,222800,225400,231900,242100,243800,242200,240500,240800,238400,238e3,238100,237300,230800,228700,230800,237900,237400,233600,229200,229700,228900,229300,225100,224300,215e3,212800,217400,225100,228200,223400,224100,226100,228600,231e3,228100,227300,222800,225400,232800,246700,253300,257500,253100,257800,261900,270800,276200,279900,274300,265500,257900,255500,255800,255700,259900,261900,260900,26e4,263100,267300,268e3,269200,274900,279800,288400,292900,295e3,293400,288800,287600,289e3,291600,287500,291500,292500,299300,298800,298200,302500,301200,308500,307500,306800,297600,300500,301200,307400,307200,309700,307200,305800,308200,308900,312800,310900,319700,328200,339700,344900,349500,355900,358e3,361800,364e3,366100,374800,,,,,
6915,San Antonio,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80900,81500,83300,84700,85600,86500,86e3,84e3,84600,84500,87500,87800,88200,88e3,87500,88600,88800,89500,90300,90600,91800,92400,92700,92600,93600,93900,95300,95200,95500,96400,97400,99300,100400,99800,100400,101300,104e3,105700,106700,106e3,106600,106500,108300,107500,110600,112900,115800,115600,117800,119100,120800,120300,120600,120100,
13271,Philadelphia,Pennsylvania,3,77500,74800,75100,73500,73200,72700,72100,73100,72500,73800,72100,69900,68500,69100,71800,71800,70900,69500,71300,74800,80500,82400,81e3,74e3,68900,69800,74600,79800,75300,68400,59900,57800,58500,56700,58900,58600,63500,59600,61600,60500,61200,59e3,57100,55700,55600,55400,56300,56600,57100,56900,56500,55600,53900,52800,51700,52700,51700,52400,51600,51500,50700,54500,56800,57800,56800,54400,54500,54600,57200,58400,59100,58500,60200,60700,61700,61200,61e3,60800,59600,60100,59700,60400,62e3,62400,62500,61300,59900,58600,56900,57700,58700,61800,61300,61500,63100,62400,58400,52e3,51800,55300,60200,61700,63500,60800,61700,61700,63700,65200,65300,65300,66500,68800,70900,72100,72900,74e3,73500,72700,74800,74700,72900,69100,70100,71800,72600,71600,70700,71500,73200,75400,
40326,Phoenix,Arizona,4,154700,146300,138200,136100,134700,131500,127100,117300,104200,88900,76500,64600,55500,50900,50600,55100,60100,64800,66300,67400,69700,68100,67600,64800,64300,62200,61700,63500,63700,62600,6e4,57800,57500,55300,54500,51500,52400,51600,52200,52e3,54300,56e3,57600,58200,58300,56400,51100,45800,42900,42500,43600,43500,44800,47100,49e3,51800,52800,54600,55600,56800,55400,54600,54300,54500,56100,56700,60500,63800,65800,67200,66300,66400,66100,67600,69400,71600,72900,69800,69600,67700,70700,73900,72200,71100,72500,78400,83e3,83500,84800,87200,87500,88100,86500,87600,89100,92300,96200,99300,102500,102200,102400,104e3,106600,109900,113700,115500,113800,114400,115500,118900,121400,123e3,124e3,124500,127600,130800,134400,131800,131400,127500,133700,135300,139800,137300,141400,142600,148300,151e3,152800,147200,
18959,Las Vegas,Nevada,5,179e3,174100,168500,172400,164300,157900,141200,134700,127300,119900,112100,103800,95300,87500,81900,82500,80100,77900,70500,69300,68600,69600,69300,67900,67800,68600,69100,73200,71600,71700,64800,63600,63e3,63100,63500,62400,62300,61700,61300,64600,63200,62600,56900,57100,57700,58800,58200,58100,58300,58700,58400,64600,65700,65700,60700,62800,65800,68400,68800,69200,68500,69500,71500,78700,80700,83500,81200,83400,84600,87900,89300,89800,88900,89100,90300,81800,83e3,84100,94e3,94200,94400,95300,97e3,99300,101900,103200,104e3,101e3,102600,102800,107700,107800,108500,108400,109700,111500,113100,114800,114300,115100,114200,115300,111400,112600,114e3,119400,118800,119100,119e3,125300,127700,14e4,139100,140500,132500,135500,138300,141800,143600,144600,147700,150900,153500,166100,167700,171400,16e4,164700,167500,173200,171800
54296,San Diego,California,6,282400,275600,270600,263100,251800,236600,227400,220100,216e3,211400,204200,199900,195100,191300,190800,189600,193100,192500,193800,195400,198200,200600,201600,200900,204400,208e3,213300,214e3,213600,210500,209900,209300,210400,210800,207500,202400,198400,197600,201900,201500,198200,189700,191400,192400,195300,193500,194100,189600,188400,188500,196900,201500,205500,204e3,204300,207e3,211700,215800,22e4,222800,225400,229700,235400,242300,245900,255100,256900,261800,261600,265500,271200,273900,276400,275900,279300,283700,288700,291900,294700,292900,293500,292500,297400,298800,304300,306300,308300,306100,303600,304500,307200,312500,309700,313700,314500,321200,320100,322500,322900,326200,327900,331600,332e3,334800,337300,341300,344900,347800,353400,357e3,357600,357800,359700,362400,365900,368500,370600,373e3,376700,378400,380500,382300,387100,388600,385100,386300,388600,391500,385500,386300,
33839,San Jose,California,7,499e3,477600,465500,436200,430100,412800,401800,380600,364e3,351900,348100,344200,331900,313e3,304300,301400,303400,300600,307800,308600,314200,321300,325200,335300,335800,335e3,331700,329700,333200,328900,326700,321700,325800,326400,331e3,322600,312700,308600,304300,302400,303200,309400,314300,310100,303400,301100,301800,312e3,314100,320500,322600,329600,332e3,332400,338400,346700,356900,369400,383800,390800,392200,391700,399100,408200,414400,422e3,427100,433600,429500,430800,433e3,444500,449300,456300,457900,460900,461200,464e3,469700,479800,487e3,492e3,494900,498900,509700,509400,522100,534100,548e3,548800,548300,548500,556600,566300,572200,576300,575100,581700,584300,586200,590200,595200,600400,602100,603600,604500,606800,614900,623500,633500,631500,636500,639e3,650600,654300,662e3,674700,691100,711600,727200,738100,746e3,763800,780900,801200,804400,801100,797900,783900,780900,765700
10221,Austin,Texas,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140500,140200,142700,143700,147100,148100,150100,148700,149800,151500,154900,153400,154400,157400,163100,165100,165700,168600,169700,170900,170400,170700,173e3,172700,176100,177500,180100,181500,181500,180800,180500,181400,182800,183600,182400,185600,187700,190800,19e4,189700,188700,190300,190800,195100,196900,197600,199300,201300,203100,201600,200300,200900,201800,205500,,
20330,San Francisco,California,9,430900,417100,397600,393500,394500,386100,387600,372600,381700,359900,358200,342700,344900,335900,330300,320600,323800,311100,308800,290400,303400,311900,317800,315700,305300,307900,294200,292300,295600,303e3,311700,318900,324400,316700,310200,304100,305900,300600,284100,270900,261500,267800,271200,273600,287500,291200,292100,275200,271200,270200,272200,272900,269800,272900,285800,303200,323600,307500,307200,301900,32e4,326400,332400,342e3,345300,354e3,361700,371300,382800,394300,396600,399500,412700,424100,426900,422100,429100,418800,409e3,406900,417e3,431500,403600,412800,417400,466200,475200,457800,455300,464300,484600,484200,484600,495200,502500,486600,482100,477700,501e3,512200,521700,520700,536500,540800,536400,517500,546200,561800,572600,536600,533700,526100,526100,475900,502400,518300,592100,580300,593800,54e4,548800,545500,594200,590400,569300,573600,590900,640100,653e3,,
18172,Fort Worth,Texas,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110100,110700,112500,114200,114800,116300,117100,12e4,120800,121900,123200,124300,125600,126e3,127100,127800,129200,130300,132800,133700,134100,131500,130800,133100,138700,143100,143600,143e3,143800,145100,149900,149600,
