RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
12447,Los Angeles,California,1,54e4,532600,525500,515500,499100,487700,477e3,471900,466100,463200,460300,453400,451800,451e3,447e3,437100,427900,422900,422300,421400,420900,421300,425400,428e3,430400,424700,424300,422e3,422e3,420200,418800,418100,417500,417e3,417500,410900,404900,400200,402500,402e3,396400,394600,392400,396300,395200,392300,387900,381400,385200,386200,389e3,387200,389900,396400,399e3,402e3,401900,408600,415e3,419800,424200,428800,438900,448100,455400,465900,472200,478300,477600,478700,481200,485600,492400,496300,500700,500100,504200,511200,515500,518500,517800,519900,524200,521700,524500,525200,533e3,536800,54e4,543800,545e3,548500,549100,554600,565600,571700,574400,573400,576200,578900,575200,577400,583300,590500,597800,600100,604300,605e3,612700,617400,618700,619600,620300,626e3,626800,630100,632300,634400,637500,641500,651600,660600,665900,671400,668700,674e3,,,,,
17426,Chicago,Illinois,2,268400,266800,260500,254e3,250400,248400,247300,247600,247500,245400,241e3,240600,241800,242400,237300,231200,225700,221200,219100,217400,220400,216800,217800,215800,218200,217300,213700,211400,206300,203700,199500,197700,198400,197500,196200,192800,190300,186300,183e3,182200,181100,179600,176300,176200,174900,176500,174500,175200,172800,173300,170600,170500,168900,168800,170300,173300,177e3,175600,175500,173800,177400,177100,178600,178200,182100,184400,186900,19e4,192800,194500,192800,193800,193400,194800,195400,198400,199400,200800,200700,202100,201400,200400,200800,200800,202300,204700,206200,206900,206400,207100,208900,208600,209700,209400,210100,211500,213500,216600,217700,217900,217e3,216e3,216e3,217300,219900,226500,229e3,230700,226700,225400,225300,225700,226100,227500,227100,227500,226100,228600,229100,23e4,232500,236500,239e3,237700,235e3,233900,233200,236e3,238700,239200,
6915,San Antonio,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148300,149100,149300,149400,150200,151200,153700,154200,154500,153600,156800,159900,162400,162700,163200,163200,164700,164100,164800,163800,165100,166100,167100,167800,169200,169700,170900,170600,171800,173100,173400,174100,173500,175100,176e3,177200,177500,179500,179700,182e3,181700,184100,184200,184800,185800,187900,19e4,191100,191600,192300,193200,195e3,197100,198700,
13271,Philadelphia,Pennsylvania,4,221900,221100,221700,221100,221200,219200,218500,217700,217400,215100,212300,208900,207200,208500,208900,208600,206400,206900,209400,208800,206300,202700,202900,204600,207700,207400,206e3,200700,202100,201400,202900,204100,206100,206400,199200,195900,193700,194900,192300,190200,188100,187600,187400,189700,188400,188e3,181600,184300,181700,182300,177800,178300,178500,178500,18e4,183900,184700,183800,182400,184400,183400,182800,181400,182800,183300,185100,189e3,188800,188400,184100,185300,183600,184200,182100,182900,183600,183900,184500,188400,189e3,189400,185300,186e3,186500,187600,190200,190500,190500,189200,190500,191800,191500,189400,189100,189400,192500,192400,194100,195100,195900,197200,195300,194800,194900,196700,199e3,199200,200300,201700,203600,205900,206500,207700,208e3,210500,214e3,217100,219200,217600,218e3,219100,22e4,219600,217200,220900,222900,226500,225800,226700,227100,
40326,Phoenix,Arizona,5,244200,240300,234300,231e3,226500,225500,220500,215600,21e4,205e3,201700,198e3,193900,189500,184800,180500,175200,170900,165900,159900,155800,153800,152900,149300,148200,150300,152400,152100,149700,150600,148e3,144300,142100,141800,142300,139900,139200,139e3,137600,136800,135700,133900,131800,130100,131800,133100,135300,135e3,135200,135e3,135900,139600,142700,145400,145600,147700,151500,153700,154800,155700,159700,164300,168200,170500,173200,175700,180800,182500,187e3,187600,189800,189500,192500,195e3,196900,194900,196e3,197200,199500,197700,197300,198900,203e3,205800,206200,205600,206100,207300,209200,209700,211700,213100,215600,216700,218500,219700,221300,223300,224800,226500,226800,228300,229300,227400,228600,228500,232e3,232300,234800,236100,237700,239500,240800,242e3,241200,243100,244500,246e3,247500,247900,250800,252700,256e3,259200,259500,260100,259100,258700,261200,260600,264200
18959,Las Vegas,Nevada,6,263e3,254500,251300,244300,239700,232700,227300,222700,216500,211500,203900,197e3,191200,183200,179300,171600,166900,159600,154700,151e3,148500,146800,146300,143500,142900,141200,143500,142100,141400,138900,138600,137200,135900,134800,134600,132800,131800,129900,130700,129500,128700,127300,126600,126100,125100,123700,123900,123400,125300,124800,126200,125500,127300,127900,129900,131800,133600,135900,138e3,139500,142800,143600,147800,149800,154900,157400,159800,161800,163800,166700,169e3,171200,173900,174400,176100,175700,177e3,179e3,182e3,183600,182400,182800,184400,187500,188100,190100,191900,193600,194800,195300,196700,197600,199700,200200,202100,203300,204300,205400,206e3,208e3,208900,209500,210700,213400,216400,218300,219100,220400,223900,226e3,228700,230400,232800,235700,237600,239300,241100,243300,247500,249600,254900,256500,260900,261400,264100,265900,269800,273100,275500,275400,277300
54296,San Diego,California,7,478700,465200,461800,446900,442800,435e3,432e3,423200,414800,407300,402500,399900,398400,396600,392400,392100,388900,387600,383500,385700,39e4,390500,393500,391900,395800,391100,391100,390200,393300,392200,393800,39e4,392400,383800,384300,378500,382200,382e3,383100,380400,379e3,373e3,367200,365100,366500,364600,362e3,359500,363700,362100,365800,369200,372300,373e3,375500,378800,385300,388400,396900,399600,405800,409600,416400,421100,425500,429300,435400,441500,444800,446200,447800,450700,456100,458400,463900,462700,465400,465100,469600,47e4,471800,472600,475600,479200,482200,486300,489200,489300,490700,493700,498400,502800,504100,510200,518200,521700,522600,523800,525700,528900,528200,530100,532700,537400,546200,549200,552700,556400,560100,562500,564700,569800,574100,577600,580900,583900,589600,593e3,598500,598600,605400,608300,614600,614400,615e3,614300,616500,615600,619300,619400,
33839,San Jose,California,8,743500,730700,711800,698800,689100,688700,680200,670100,653500,655200,643e3,638200,621800,619200,603900,594100,587400,587800,587900,591400,593600,593500,586500,588200,593200,595100,592e3,590700,586600,592300,593700,611500,609e3,603300,588400,587800,577e3,564100,555700,559300,565e3,568e3,566500,566900,560900,559400,557800,558700,557e3,555100,56e4,573e3,587200,599100,613200,624200,63e4,633400,644900,656200,665500,671500,684e3,696600,707900,720200,727500,728700,726e3,726700,731800,737e3,748e3,756500,760500,760100,763500,770400,777700,789100,802100,810300,819e3,822300,828800,831600,840700,859400,872300,893700,904e3,907700,901400,907700,925900,939500,933900,935300,934300,940800,942300,939400,942100,948400,955700,964200,964900,983200,1006900,1023100,1032800,1025200,1016800,1021500,1033900,1068900,1099100,1144900,1168700,1198900,1214600,1234900,1250200,1249500,1259100,1260300,1266700,1268200,1256400,1255300,1252800
10221,Austin,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225300,230200,234600,237100,240500,242200,245600,245100,247100,248600,250400,253400,255200,259e3,260500,262400,261600,261300,261600,267800,269300,27e4,269500,271500,274e3,272300,275e3,276900,280600,282e3,284100,284300,286e3,287100,290100,292500,293600,293700,292800,294100,294900,297500,297600,301700,300300,301300,300700,302200,306e3,307100,310800,312900,315800,316800,317e3,
25290,Jacksonville,Florida,10,200500,199200,194700,190100,185600,183300,183200,181200,179200,176700,178500,177100,174400,167300,163200,159300,158200,156600,154200,151100,151400,152100,154100,149400,147700,146300,147100,143900,140500,139100,143200,145e3,144400,143100,141600,139500,134e3,131100,129600,129600,127e3,128100,126900,127400,127600,129700,131500,128300,126700,124200,125400,123600,125100,125300,126300,126500,128e3,129e3,130500,132600,133100,133700,133500,136700,137100,138300,138500,139400,139500,138400,139100,137e3,139600,141800,145400,145900,144500,144600,145200,146200,147800,149200,149100,147800,146900,148100,149100,149700,150500,153600,153700,154600,153800,155700,159400,160600,162e3,159200,160900,159700,161600,162700,166800,167600,168800,170300,173900,178700,180300,181500,180700,182300,184600,185400,187400,188e3,189900,191e3,195200,198900,200800,202500,202500,201200,199900,202100,205400,207400,209900,213500,
