RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
12447,Los Angeles,California,1,950900,917300,913600,900100,889500,872e3,881600,878100,855500,835300,808400,816700,798100,808400,800800,795400,779900,775800,784e3,795800,795900,815400,841e3,839100,831700,808500,824900,824300,833700,842800,863900,854e3,844100,834500,848800,839500,832400,820700,865800,872600,867900,846e3,835900,828100,794600,804200,805900,809600,794700,824500,848400,852600,841e3,846e3,861900,863200,869300,916500,906300,892700,843600,872800,891900,918800,937100,962900,979e3,1009100,1061900,1064100,1059900,1009e3,1034e3,1043500,1065400,1078400,1076800,1063e3,1026200,1016100,1016100,1031900,1086500,1123600,1124700,1095800,1107200,1125800,1127200,1129400,1194900,1219800,1225800,1189400,1183500,1198e3,1220300,1220100,1207400,1173800,1170800,118e4,1202e3,1219500,1229300,1245500,1276400,1276600,1262300,1250300,1249500,1265100,1294700,1314200,1330500,1316500,1337900,1336600,1362200,1364800,1419300,1406e3,1406e3,1361100,1366300,1415400,,,,,
17426,Chicago,Illinois,2,463600,449700,439e3,437800,438300,436100,426500,425200,426900,429500,425400,423e3,423e3,426300,420100,411500,398900,388900,380800,376700,380300,384e3,392800,409200,412700,413500,398500,395500,393400,394300,403500,400200,407800,402700,408600,408700,412100,408700,398300,392200,393100,392900,394e3,394400,388300,377300,371200,381500,388100,392900,386400,384700,379700,378500,391300,393900,396100,388100,388300,390500,393e3,395300,398800,396400,397100,399200,402e3,408800,409700,414900,413200,418500,418900,418200,414200,414500,416800,420700,421800,421800,421500,431100,432100,430800,419800,420600,423200,426600,426500,425e3,424500,426200,426200,426300,423900,425600,426100,430400,432800,436100,437600,443500,444600,439900,435900,435900,458200,460800,462900,444600,443200,443100,443900,441900,442800,442800,447600,446600,452400,458300,461900,467100,463300,463300,461600,458100,459400,462e3,463700,458700,
6915,San Antonio,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276100,275900,276400,272200,274e3,273600,279300,277100,280700,284200,289300,288800,289800,291900,294700,296200,292200,289800,288300,290300,289900,289100,288e3,289800,291900,294800,295e3,295600,298e3,301500,301500,307500,310500,315100,311700,310600,312900,312800,314e3,311500,314800,319300,318700,322300,318400,320900,316200,318500,32e4,323400,325e3,323e3,322500,322100,
13271,Philadelphia,Pennsylvania,4,449300,446400,428400,409300,403600,403700,405600,406300,397900,396700,388500,389300,389500,384400,386400,401300,409800,407500,385100,385200,379500,376600,383e3,394100,412500,399600,393400,372700,398300,405e3,411800,391200,405e3,441500,442600,416600,389100,458300,479900,470300,392200,379400,381700,399300,391e3,433100,419700,421500,368500,366800,381e3,398900,415e3,409e3,398600,388100,377100,383900,376500,385e3,388900,395200,394400,390600,388300,388600,386700,396900,386700,399600,398500,415300,412200,413400,413500,411700,411800,409800,404200,406700,409300,411600,417600,414300,412e3,399300,400200,405900,408500,414400,426500,418100,412200,399900,403600,403200,397800,409700,411900,415600,409200,408900,416100,418400,419300,413300,420600,443e3,446900,442100,428200,425900,440300,443400,454500,445500,447800,444e3,448100,447900,442400,437300,432500,431500,43e4,433500,439300,443800,427300,427e3,
40326,Phoenix,Arizona,5,47e4,429100,412100,413300,406300,390700,371700,380200,377800,376400,357500,364900,353700,353400,338400,380600,374800,366100,326300,312200,340100,340800,342800,333400,327500,340800,318600,315400,301200,309200,325800,325700,316200,293700,309700,310600,313100,302400,298400,297300,289e3,290800,295200,287400,305e3,302900,311200,302100,303800,311e3,324400,337500,344800,352100,351900,358400,345700,368500,375900,378800,353200,342700,350800,359900,366700,372100,380800,388600,379700,371300,363100,387600,391900,399900,378500,379700,377100,378300,376e3,373900,372500,379e3,391500,403e3,399100,392800,398300,404900,405900,401600,400600,421200,432400,437800,422600,422900,433600,444100,430900,419100,415900,420700,423600,416800,427900,425300,426200,410900,416700,421e3,428200,428500,433500,436200,437800,434e3,434600,441700,456300,469400,467700,457e3,445500,454e3,469600,478e3,472700,469700,475e3,485800,485e3
18959,Las Vegas,Nevada,6,489500,508500,496400,457800,423800,407200,392300,380400,361400,356800,348600,339500,347400,338900,335e3,310400,298800,297100,286600,283900,269200,274800,274900,275800,269900,269200,277600,281500,279900,283400,279500,276300,271800,263400,262700,256900,258500,255600,257400,253600,256100,247600,249900,239200,236300,234e3,236600,237600,235700,241500,245200,251900,255100,265500,266300,266400,265600,268200,270600,273800,276800,282100,284500,292800,296500,298500,299500,304900,305e3,310800,312200,312800,314700,320800,324800,324200,323200,344e3,355100,357600,343800,342900,340300,343400,337100,339800,342100,342200,346300,343700,342500,342600,350900,355e3,363200,359200,366400,360400,358300,354700,352400,354400,351700,351800,356500,359e3,365100,365300,370600,369e3,373900,379e3,384400,388200,395200,397300,395300,391e3,394800,409e3,416300,419100,415200,421500,427500,430500,433200,438600,436100,437700,438300
54296,San Diego,California,7,813500,788800,774600,753600,745e3,737900,745900,752700,737700,730600,711700,708200,686700,677800,673700,679500,687500,683800,687300,683900,690200,697400,696600,698100,683700,691300,690600,691900,691700,705900,711e3,710200,705500,710200,718100,717800,713100,700200,709800,705200,702400,68e4,671600,654100,660400,656e3,661200,651100,67e4,681200,684600,684e3,692100,694100,676800,670100,669800,690700,690100,693200,693700,711e3,728300,743800,755e3,764200,765400,769900,771700,771400,787900,792600,807700,791900,794400,788400,793800,798600,813e3,808900,813500,806800,824100,829900,829800,821100,821200,829e3,831200,836800,842500,847800,859300,862900,871700,867600,878900,882200,885300,882100,888100,888700,885300,887400,888e3,907300,911300,945100,939100,949800,928700,940100,942200,946900,984100,1004200,1018500,1002500,1006800,1010800,1036400,1039400,1045500,1010800,1009700,1007500,1020400,1027600,1039600,1069600,
33839,San Jose,California,8,1145500,1125700,1111100,1091300,1080600,1050200,1049900,1043400,1041500,1068900,1048100,1033300,1009e3,1012400,981e3,945600,955e3,950800,950100,936200,942700,962900,959900,977900,990700,997600,997600,973100,986900,990600,994600,986200,989100,989100,991700,986900,982700,954100,943900,922e3,938e3,921800,923800,939700,953800,969900,958900,958500,973e3,957100,968100,980700,1033400,1045300,1060500,1042300,1086400,1093100,1139200,1127e3,1146200,1137e3,1163800,1186200,1228700,1244600,1248100,1231900,1238500,1277900,1292700,1312300,1288300,1298800,1287900,1299800,1307800,1315e3,1326100,1356800,1386500,1393300,1386500,1427e3,1445200,1482100,1467100,1487300,1493900,1499300,1529300,1529300,1542200,1527500,1534400,1548e3,1565300,1579100,1569200,1559800,1555900,1563e3,1561400,1578700,1562800,1578200,1592300,1614300,1628200,1625e3,1661700,1650400,1655900,1677200,1715600,1739600,1742800,1782500,1847100,1900900,1931600,1938600,1957400,1967100,2025500,2039300,2053e3,2028800,2058e3,2174500,2158800
10221,Austin,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415100,415600,419e3,418600,426800,428500,429800,427100,428e3,436500,436700,444400,447600,452700,445100,436400,436500,445800,458600,454900,453200,448100,450900,450800,451400,453400,454500,457500,457100,458100,458600,461400,465200,464400,466400,465800,468500,470500,471600,474e3,474600,475e3,472700,469900,476500,481900,492600,491100,492600,494200,498200,502400,501500,501200,502200,
25290,Jacksonville,Florida,10,4e5,362400,374700,381e3,379100,364900,350700,344600,338600,347400,334700,325500,303400,303800,3e5,310500,318200,327100,355400,335900,329400,286300,297300,298800,303900,294200,277200,267500,271500,293600,288e3,289e3,279e3,283500,276500,266300,264600,276100,275800,288500,280100,287100,278300,290200,287100,298500,293100,286300,266800,255300,256500,260500,263200,269300,272400,265800,260300,259400,269500,267800,268300,267300,294400,292700,289700,267200,272400,269500,287e3,284600,289e3,273e3,274e3,277200,278700,278400,295400,293500,309e3,295800,303300,290400,281900,273900,276100,284200,289600,289700,292e3,295200,293400,296500,293800,299300,320700,328500,327100,303800,313300,315400,321100,312800,315500,308600,311700,312100,322700,326600,329600,333300,331400,339500,339600,340900,337500,337600,335800,351600,364500,374900,376200,369900,368900,366200,370600,377800,,,,,
